,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,1272,Kentucky,Lexington,4/5/2017,Phoenix,6/13/2018,271,1.08,1189,39,734.65,180.6,23.221545598997096,15.226728217398568,26.914418509015547,0.32971613675266187,1,0,92.16341073336294,,1
1,1371,Kentucky,Lexington,4/5/2016,Contender,9/15/2017,151,0.39,1829,28,615.49,87.4,21.42574251544794,18.84793322231536,26.66611796637298,0.2461361707365786,0,0,,,1
2,1679,Kentucky,Lexington,4/5/2016,AM-09-600,9/16/2015,266,1.82,1565,206,580.43,335.7,24.260426370651572,5.232653061000001,26.090416313484027,0.33032769629285064,0,1,64.68213779143711,,1
3,1624,Kentucky,Lexington,4/5/2016,NF11ALF006,8/16/2016,174,1.11,1383,35,598.66,188.6,13.540583793196847,18.18237784173315,15.91632653,0.35828324366973674,0,0,100.0,,0
4,1441,Kentucky,Lexington,8/9/2012,Contender,9/17/2015,226,1.31,2225,196,683.66,225.4,22.852808379301575,12.121617254861267,15.929979572497952,0.33134178366647854,0,0,,,0
5,1437,Kentucky,Lexington,4/5/2016,Ameristand 403T,8/8/2017,321,1.24,89,34,624.17,86.3,22.21552509831803,18.53671041917095,15.91632653,0.24176551366021173,0,0,99.53705431317447,,0
6,1591,Kentucky,Lexington,4/5/2016,CW 065030,8/13/2018,204,1.43,1848,68,577.05,115.7,10.883573602454899,17.442934642534535,25.643553948477024,0.2776559971215911,0,0,85.89459897294401,,1
7,1551,Kentucky,Lexington,3/31/2015,FSG-426,7/14/2016,240,0.69,89,34,599.81,163.8,22.470524817757383,7.162255804409061,26.2949922851859,0.3422374992363186,0,1,98.60678326560506,,0
8,1564,Kentucky,Lexington,8/9/2012,NF11ALF006,8/18/2016,145,0.74,1214,36,631.71,51.7,25.20294118,15.711910977564187,28.097381417572198,0.3411795178698532,0,0,98.92465862671122,,1
9,1679,Kentucky,Lexington,8/9/2012,GA-505,8/13/2015,201,0.6,1010,246,476.88,66.7,11.61406001407119,6.990082256721532,29.603872551167576,0.34693456797379796,0,0,96.60433739048,,1
10,1555,Kentucky,Lexington,4/5/2016,AM-14-900,11/16/2012,162,1.87,1546,230,614.91,240.7,17.595445485825138,17.240718334088587,27.416663092776844,0.2262441013463257,0,0,100.0,,1
11,1226,Kentucky,Lexington,8/9/2012,Phoenix,5/6/2016,199,1.02,1291,168,682.17,172.5,22.683753213388325,5.232653061000001,27.594092503868296,0.3018048376467332,0,1,94.88019717796766,,1
12,1679,Kentucky,Lexington,4/5/2016,Caliber,9/14/2017,275,1.53,237,33,892.38,119.0,11.232428302145061,17.588600692287386,27.527849616354185,0.3341731671731074,0,0,99.55211759458732,,0
13,1460,Kentucky,Lexington,8/9/2012,Saranac AR,8/13/2018,266,0.87,669,33,649.84,139.6,23.23112094158347,6.372649795403768,27.713170581257035,0.31719964473584084,0,0,72.87512336992,,0
14,1679,Kentucky,Lexington,4/5/2017,AM-09-600,9/15/2017,149,1.53,1299,171,617.76,128.0,22.654969637279187,17.629935988872152,26.217942806521688,0.2761874918215371,0,0,100.0,,0
15,1382,Kentucky,Lexington,4/5/2017,GA-505,6/11/2018,205,0.98,112,27,638.98,175.8,24.131459821316387,5.232653061000001,26.2768066670667,0.35652741549655015,0,0,91.71663173808398,,1
16,1614,Kentucky,Lexington,8/9/2012,Ameristand 403T Plus,6/12/2013,170,0.59,790,229,652.08,189.8,21.975616125081967,16.790097307362796,26.69941462300238,0.3128510889297357,0,0,88.61984728662229,,0
17,1679,Kentucky,Lexington,8/9/2012,Caliber,8/18/2016,265,1.35,89,231,1090.65,174.2,23.45541134303842,6.678011459471446,25.92673504540436,0.3089001322468143,1,0,98.54848382719541,,1
18,1443,Kentucky,Lexington,4/5/2016,AM-09-600,8/18/2016,269,2.3,2225,226,671.14,234.3,14.096426088206833,12.975175035082874,15.91632653,0.23358808732923325,0,0,95.09102467524414,,1
19,1285,Kentucky,Lexington,4/5/2017,Fierce,6/10/2014,267,1.81,930,27,799.13,218.2,25.20294118,5.232653061000001,16.133522398819316,0.3542386820629821,0,0,100.0,,1
20,1576,Kentucky,Lexington,8/9/2012,Caliber,7/13/2016,231,0.92,633,194,506.21,129.7,24.03308372689583,5.232653061000001,23.45781809114849,0.3540338367505608,1,1,70.15315722685362,,1
21,1568,Kentucky,Lexington,4/5/2016,AFX095026,5/8/2014,145,1.39,1294,29,588.24,356.4,18.482010757912185,18.848027995573094,26.227081128539144,0.33260976270397086,1,0,98.16340067291364,,0
22,1679,Kentucky,Lexington,4/12/2018,AFX095026,7/10/2018,124,1.03,1226,37,732.76,140.6,22.31634441008904,5.232653061000001,26.669312009318325,0.26008076535707014,1,0,71.3382565139114,,1
23,1425,Kentucky,Lexington,8/9/2012,Radiance HD,5/8/2014,173,1.07,1457,38,590.53,62.3,24.536492730508932,5.232653061000001,27.553865902101283,0.378285714,0,1,70.96979622278998,,1
24,1398,Kentucky,Lexington,8/9/2012,55V50,8/18/2016,134,1.93,2225,34,658.16,120.4,22.46705424150891,18.87990879591958,28.363891316892666,0.3162943144476691,0,0,93.62370915971668,,0
25,1152,Kentucky,Lexington,8/9/2012,GA-ALFG-1,8/17/2017,229,0.9,1806,193,662.63,150.0,23.796774809988737,18.763488098228528,27.697260528484986,0.31197733627068874,0,1,100.0,,1
26,1560,Kentucky,Lexington,4/5/2017,Caliber,6/12/2013,233,0.86,293,28,523.78,215.8,23.8571234410779,17.534120674278622,28.785742725264985,0.3022607408070792,0,0,100.0,,1
27,1679,Kentucky,Lexington,4/5/2017,4030,7/10/2018,131,0.99,972,201,713.54,149.7,24.1805967704555,17.80964585376453,29.594931047753246,0.32545716421223897,1,0,98.13255129166348,,1
28,1430,Kentucky,Lexington,4/5/2017,Ameristand 427TQ,8/18/2016,153,0.99,147,28,551.18,136.0,17.567540341263516,5.232653061000001,27.828184589118834,0.2886778945362573,0,0,87.824491204246,,1
29,1679,Kentucky,Lexington,8/9/2012,Contender,8/14/2015,249,1.37,1224,39,680.44,140.3,22.516287752063995,13.482368763693461,26.897434794044983,0.27336737978854775,1,0,98.04503417129361,,1
30,1679,Kentucky,Lexington,8/9/2012,Ameristand 403T,8/15/2014,261,0.86,700,44,530.44,171.1,24.16279981346294,7.666512939843081,16.623832379025416,0.2522355867620328,0,0,98.47067198329475,,0
31,1457,Kentucky,Lexington,8/9/2012,Rebound 6XT,5/2/2017,225,1.2,2043,33,594.04,137.0,21.46510078252016,5.232653061000001,24.678077621255696,0.2562073842457949,0,1,87.37478590766871,,0
32,1679,Kentucky,Lexington,4/5/2016,Contender,6/13/2018,275,0.82,488,30,593.47,86.0,10.73673469,17.835590099820802,25.925676717075365,0.3585827986860919,0,0,97.33799876045813,,1
33,1637,Kentucky,Lexington,8/9/2012,Fierce,7/10/2018,124,1.16,1113,35,614.01,140.6,24.331486675867314,16.478946909429308,26.90329711654156,0.32192499394849844,0,0,65.65985889670175,,1
34,1679,Kentucky,Lexington,3/31/2015,Buffalo,9/19/2016,154,1.04,1195,35,658.76,62.9,20.492866115934323,11.722303403962252,26.213032322097717,0.2822084873479935,0,0,72.78010181833963,,1
35,1338,Kentucky,Lexington,8/9/2012,Evermore,9/13/2018,176,0.98,305,43,655.62,99.9,21.479179294617246,20.53920241229223,26.82599437603769,0.3159476298482803,0,1,82.53541625282976,,1
36,997,Kentucky,Lexington,8/9/2012,Caliber,7/17/2015,278,0.54,1078,162,873.14,185.2,22.472037178312874,5.232653061000001,25.41544748687019,0.33866067821316503,1,1,88.80290707155633,,1
37,1556,Kentucky,Lexington,8/9/2012,GA-505,8/8/2017,136,2.35,1441,67,620.51,103.6,22.67349344431596,6.162689198945275,27.692228444351162,0.29683190765377515,0,0,78.1999278846384,,0
38,1230,Kentucky,Lexington,4/5/2016,Saranac AR,8/18/2016,129,0.98,213,29,476.88,138.2,25.06537051933838,14.294547322861373,26.428697239868608,0.33717043941025476,0,1,99.3507986069013,,0
