,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,1440,Kentucky,Lexington,8/9/2012,Saranac AR,9/16/2015,148,1.14,833,30,702.66,119.3,23.301122076712147,17.790950856014007,15.91632653,0.29502162668823334,0,0,92.31133046180383,,0
1,1101,Kentucky,Lexington,3/31/2015,AM-14-900,8/15/2014,186,0.83,294,27,666.36,93.3,24.709946904009282,10.602453657483936,29.149052186094053,0.24696693477809425,0,0,95.21611008902627,,1
2,944,Kentucky,Lexington,4/5/2017,CW 085028,8/8/2017,250,1.51,679,37,603.02,51.3,23.995411079870628,10.878756961558693,30.45,0.34411538622920645,1,0,93.09797647126797,,0
3,1155,Kentucky,Lexington,4/5/2016,55V50,6/6/2017,214,1.92,1008,35,711.77,41.1,13.103864204399835,16.345201961879802,26.920944050794734,0.3233612945700414,1,0,94.5188314121144,,1
4,1505,Kentucky,Lexington,4/5/2017,FSG 415BR,9/17/2015,144,1.27,969,35,589.08,128.7,23.21613151028636,15.373278901684635,26.676218578812826,0.24768616656231257,1,0,100.0,,0
5,1503,Kentucky,Lexington,3/31/2015,CW 085028,7/10/2018,158,0.21,2187,242,689.99,106.3,22.684071160635657,5.232653061000001,27.179409571939065,0.3600895185136118,0,0,76.56585787647569,,1
6,861,Kentucky,Lexington,3/31/2015,AFX095026,9/19/2016,151,0.63,443,41,839.58,76.9,11.95995041412732,5.232653061000001,27.0640738789982,0.2583201937407016,0,0,100.0,,0
7,1275,Kentucky,Lexington,3/31/2015,CW 065030,8/15/2014,255,0.87,1538,27,726.23,224.7,12.722811729347677,16.367765370298002,28.049926372085544,0.2928731899731116,1,1,89.8225362723405,,0
8,1121,Kentucky,Lexington,4/12/2018,55V50,8/17/2017,210,1.92,1776,34,750.64,107.4,10.73673469,15.973416863886545,26.072535045419173,0.2896417757791608,0,0,,,0
9,1448,Kentucky,Lexington,8/9/2012,Phoenix,6/6/2017,212,1.04,721,118,876.2,114.5,24.19583846164364,6.061002343961703,26.51870499519569,0.3077721212798488,0,0,98.84470198815859,,0
