,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,831,Kentucky,Lexington,3/31/2015,FSG 415BR,5/10/2018,202,1.79,813,207,574.61,118.2,19.234470503696375,5.232653061000001,27.095214485809034,0.29274244049791154,1,0,90.47821789116738,,1
1,913,Kentucky,Lexington,3/31/2015,55V50,5/10/2018,232,0.74,624,27,476.88,73.0,23.424371058844503,17.071194459723323,25.789451064172326,0.2737735756467738,0,1,96.55648506543339,,0
2,1670,Kentucky,Lexington,8/9/2012,CW 065030,9/12/2018,266,1.74,793,33,742.14,269.8,23.426360897498604,17.895087031700207,16.731771499290463,0.31832614294542255,0,0,94.78235794770076,,0
3,1574,Kentucky,Lexington,3/31/2015,Saranac AR,8/13/2015,138,2.02,866,279,600.05,47.6,13.210424077209643,17.468406007526575,15.91632653,0.34927494466046854,0,0,88.22108081794754,,1
4,1276,Kentucky,Lexington,4/5/2017,GA-505,6/6/2017,254,1.11,594,185,768.05,125.8,10.73673469,6.7455890388686885,27.899270344215676,0.2589033885796863,0,1,89.3527364843627,,0
5,1551,Kentucky,Lexington,8/9/2012,Buffalo,5/2/2017,172,1.37,89,39,616.73,330.5,22.56675451605061,17.75641477704858,28.671865583050245,0.28267761781517486,1,0,100.0,,1
6,1502,Kentucky,Lexington,8/9/2012,55V50,8/8/2017,238,1.11,1012,43,676.98,127.0,21.738080045019576,14.095266469510763,29.543556611089542,0.3105862137441173,0,0,94.17379211057136,,1
7,1469,Kentucky,Lexington,8/9/2012,Saranac AR,9/17/2015,242,0.91,1170,48,846.99,99.3,20.2184431846568,17.29599006370455,28.130686080208502,0.2671152279000675,0,0,99.42166290445171,,0
8,951,Kentucky,Lexington,8/9/2012,AFX095005,5/8/2015,159,2.6,697,49,642.21,41.1,25.029302141859638,16.1859138712891,25.04805415030031,0.36731173657739546,1,0,85.14273765641781,,1
9,1075,Kentucky,Lexington,4/5/2016,GA-505,5/13/2013,241,0.96,689,27,631.84,246.4,15.056994004776808,14.285464461611967,27.5981209676196,0.27101655878964337,0,0,99.55421697425435,,0
10,1679,Kentucky,Lexington,3/31/2015,Withstand,8/15/2014,231,1.27,731,40,604.07,181.8,24.312709530573017,17.932275420627324,27.995543384602385,0.2979408616865691,0,1,100.0,,0
11,1534,Kentucky,Lexington,3/31/2015,Fierce,7/17/2014,274,0.66,715,27,678.01,41.1,25.20294118,14.514419289385843,25.738390824228865,0.25587386892178543,1,0,100.0,,0
12,1679,Kentucky,Lexington,4/5/2016,Ameristand 427TQ,7/8/2017,160,1.41,1494,43,655.16,248.9,12.799726074937947,5.232653061000001,27.009906439240517,0.2918893415502763,1,1,94.27568509188029,,1
13,1225,Kentucky,Lexington,4/5/2016,GA-ALFG-1,8/18/2016,188,1.24,2168,33,641.12,154.4,20.341769977774835,5.232653061000001,16.52468587156443,0.26658740328007174,0,0,90.53958516497802,,0
14,1335,Kentucky,Lexington,8/9/2012,Caliber,8/13/2018,238,1.37,2225,34,627.57,89.7,21.45491793883111,17.983400496730383,26.61890876563095,0.27492442950895435,0,0,100.0,,1
15,1256,Kentucky,Lexington,8/9/2012,GA-ALFG-1,8/13/2015,197,1.2,1017,32,756.4,134.8,22.323331731820605,6.766840317414722,26.502219114480678,0.2602168906446482,0,1,83.85843239487498,,1
16,1658,Kentucky,Lexington,4/5/2017,Saranac AR,9/14/2017,321,1.27,1697,37,867.12,109.1,21.68462877795387,14.19704644081788,26.741626702890635,0.29362972362363465,1,1,73.55748931476921,,0
17,1572,Kentucky,Lexington,3/31/2015,Radiance HD,8/17/2017,171,1.23,970,27,565.18,111.7,13.1755238435274,18.888350111302724,25.89536343178266,0.299172213996582,1,1,97.90632256087547,,0
18,858,Kentucky,Lexington,8/9/2012,Ameristand 403T Plus,8/13/2018,237,2.06,1782,27,958.19,188.6,18.044738055345153,12.031784657310755,19.4947623417729,0.23317969830455018,0,0,97.15187558905316,,1
19,1462,Kentucky,Lexington,4/5/2016,NF11ALF006,8/17/2017,220,1.16,607,39,901.38,96.8,24.652613998558213,10.932028341008044,27.10215861691641,0.2634223234419561,0,0,99.5458163080046,,1
20,1136,Kentucky,Lexington,4/5/2016,WL 365HQ,6/10/2014,198,0.62,360,45,742.58,114.7,22.03306699308966,5.232653061000001,27.57275180043551,0.29595428047160127,0,0,93.34302486815163,,1
21,1197,Kentucky,Lexington,4/5/2017,55V50,9/14/2017,274,1.79,1020,41,581.15,41.1,21.829939762150058,5.232653061000001,30.45,0.21089900510694246,1,0,,,0
22,1469,Kentucky,Lexington,4/5/2016,55V50,5/8/2014,235,0.69,1302,45,723.15,132.3,22.639231630719326,16.187536410019305,28.27291238638823,0.3286967748862779,0,0,100.0,,0
