,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,42095,55Q27,41919,266,3.01,130,26,2233.92,109.7,18.88710585,14.998930601042703,18.57823174,0.24024960332843184,3
1,Kentucky,Arlington,8/9/2012,X13-9202B,42243,249,8.98,642,54,1856.67,790.1,19.44263989,0.9566579961815357,22.79945982,0.2936041766005707,1
2,Wisconsin,Lexington,3/31/2015,DG 4210,41890,255,7.75,726,402,4651.22,568.8,22.78804709,18.332993700828585,12.51481125,0.34271715657831314,2
3,Kentucky,Arlington,41133,5312,41890,260,6.11,472,1,2455.87,788.2,23.79017857,-0.53,23.43653747,0.08490589912396378,1
4,Kentucky,Marshfield,8/9/2012,MS Sunstra 145154*,41885,260,4.15,1498,340,4630.54,911.8,23.29288579,9.908224080567848,25.63992961,0.5020402803525765,3
5,Wisconsin,Marshfield,4/5/2016,Mssunstra-B13,8/12/2013,232,6.23,175,373,2748.73,788.9,5.53,11.288824584704889,11.56918697,0.07,1
6,Kentucky,Marshfield,4/5/2016,MS Sunstra 144110*,41919,238,4.42,145,53,4731.5,688.9,5.53,13.894004889104385,12.94492819,0.07,2
7,Kentucky,Lexington,3/31/2015,LS 905,9/17/2015,260,1.81,130,1,3400.29,905.2,21.83593232,3.711719052688915,20.4597663,0.22898862870196632,2
8,Wisconsin,Marshfield,41365,GA-ALFG-1,42605,251,4.98,403,375,4823.96,761.5,23.31502827,12.063364381142614,10.92473849,0.07,2
9,Wisconsin,Marshfield,8/9/2012,Contender,41919,245,5.62,369,1,4465.31,739.8,19.33222822,11.29009433715063,10.92,0.07,3
10,Wisconsin,Lexington,42095,AM-09-600,42240,267,7.06,234,393,1856.67,1043.2,5.53,11.776478937541002,17.69019053,0.08791718546884937,4
11,Kentucky,Arlington,41730,CW 085028,9/15/2017,244,1.19,1219,68,4264.98,902.8,22.50105363,8.873738008659357,10.92,0.328352370533738,3
12,Wisconsin,Marshfield,41365,Legendairy XHD,42605,254,4.51,704,354,4375.79,109.7,23.79017857,11.914554701925743,25.52385285,0.32113178739061676,2
13,Kentucky,Marshfield,4/12/2018,55Q27,42249,234,6.02,2225,1,3739.84,922.8,10.93371432,16.53896145503814,26.55599074,0.21885003129933256,4
14,Wisconsin,Lancaster,41730,55V50,9/15/2017,248,5.35,244,1,2214.12,858.1,5.53,17.9171000232662,18.028759,0.2841938074938522,3
15,Wisconsin,Marshfield,4/5/2016,Buffalo,42605,253,2.96,432,29,2933.83,300.3,19.01918838,-0.53,29.25310714,0.3216317763504694,4
16,Kentucky,Arlington,41133, LS 706 ,41889,261,4.33,145,39,3465.69,931.9,10.50548396,9.941625219444347,20.82335837,0.27596918330312914,2
17,Kentucky,Arlington,41133,Contender,42249,247,2.85,262,48,4541.58,109.7,13.75801187,8.312631773019774,10.92,0.07047093370746324,2
18,Wisconsin,Lexington,3/31/2015,Mariner IV,9/14/2017,250,3.87,1546,374,1856.67,254.0,18.87395546,11.534655718065274,14.82413153,0.09739807631346913,1
19,Wisconsin,Lexington,41133,AFX h134094,41890,244,9.62,1305,366,4525.32,781.2,8.76239033,17.236713381323273,26.10534408,0.2669192383507238,1
20,Wisconsin,Marshfield,8/9/2012,Caliber,42605,224,1.91,425,347,4385.32,751.6,20.08831425,11.6010997865184,28.7705218,0.26807294592503017,1
21,Kentucky,Lexington,3/31/2015,AFX 103009,41885,257,2.45,131,15,3600.26,794.3,15.58123894,-0.53,25.88522314,0.253007890551452,4
22,Wisconsin,Lexington,41365,CW 085028,9/17/2015,243,5.67,622,1,2570.68,896.4,6.84535706,12.75404628040625,27.6400889,0.07,2
23,Wisconsin,Arlington,3/31/2015,Evermore,42243,255,4.8,335,2,4340.43,660.9,15.40211839,13.45552616776266,13.1038875,0.23176542768113734,1
24,Wisconsin,Lexington,40664,6585Q,42243,230,10.13,477,347,1856.67,783.6,5.53,-0.22264539355013113,25.19144194,0.5447565399073496,2
25,Kentucky,Arlington,4/5/2017,LS 905,41886,266,1.19,368,387,2831.31,1043.2,17.56144586,-0.53,29.25310714,0.07,2
26,Wisconsin,Marshfield,4/5/2017,Ameristand 427TQ,42243,253,2.23,752,371,4431.13,440.3,16.69625081,-0.53,21.27002618,0.7,2
27,Kentucky,Lexington,41730,DKA41-18RR,42613,245,3.85,142,9,4667.73,712.1,23.79017857,9.830369122387767,12.6200264,0.22065796129805337,2
28,Wisconsin,Lexington,41730,PGI 212,42251,236,4.69,399,67,4546.06,848.3,5.53,11.854709726638196,10.92,0.2766457848334145,3
29,Kentucky,Lexington,8/9/2012,AFX095026,9/17/2015,255,1.2,152,77,2945.45,796.7,8.87502166,12.447685054392444,28.91180218,0.0954569139739383,1
30,Wisconsin,Lancaster,4/5/2016,msSunstra-145159*,41889,262,3.43,743,60,2400.75,642.2,23.79017857,0.7906219394812628,24.5740012,0.6057569752352601,1
31,Kentucky,Arlington,41365,Caliber,42247,253,6.96,1622,24,2402.0,743.1,23.59065647,11.254556844196538,29.25310714,0.07719209557233768,2
32,Kentucky,Lexington,42095,MS Sunstra 145159*,41890,260,2.18,1932,1,2198.21,490.1,23.79017857,18.753355428521107,18.42838263,0.24360381625188338,3
33,Kentucky,Arlington,41365,AFX095026,41886,246,8.25,846,402,1863.52,583.1,20.66414106,1.2996906838210218,19.45864035,0.07,1
34,Kentucky,Marshfield,42095,5312,9/15/2017,254,1.19,294,45,4823.96,874.1,22.99667633,1.0760133894008859,10.92,0.2644857315012991,1
35,Kentucky,Lexington,3/31/2015,Ameristand 403T,42243,246,1.19,216,1,3048.94,739.8,7.14709061,9.780105956475495,26.10481036,0.21377817112211045,2
36,Wisconsin,Arlington,41133,WL 365HQ,42251,264,4.62,326,3,4205.34,109.7,16.56732125,14.381873885499983,19.60509914,0.07,2
37,Wisconsin,Lexington,41365,X13-9202B,9/14/2017,250,1.19,1053,1,2906.96,863.5,19.8623162,12.891307430498584,22.29546068,0.07,3
38,Wisconsin,Lexington,41730,Radiance HD,42604,226,1.19,130,362,4823.96,729.6,18.21985489,12.655157256112053,10.92,0.2568121648676548,2
39,Wisconsin,Arlington,41133,55H94,42243,238,3.71,277,377,3348.36,712.5,23.09220897,16.60743491480199,29.25310714,0.09272779558315003,1
40,Wisconsin,Lexington,40664,Radiance HD,9/16/2015,247,4.38,336,402,4321.19,751.9,8.02046884,14.282316238710097,27.67368093,0.3113220187944114,2
41,Wisconsin,Lexington,41365,Fierce,42240,251,6.99,548,83,4430.0,792.8,11.04060926,14.909836261801033,11.59909098,0.32061514088248594,4
42,Kentucky,Arlington,41730,5312,9/16/2015,268,1.19,347,402,1856.67,755.9,18.11725487,9.779397035580299,21.2546481,0.1062140211069938,3
43,Wisconsin,Arlington,42095,Radiance HD,9/15/2017,242,1.23,245,30,3336.58,1043.2,23.79017857,4.8887907050416315,10.92,0.2581881573740512,2
44,Wisconsin,Arlington,41365,Contender,9/13/2018,250,1.19,169,402,3215.34,865.2,5.53,10.495708149100647,22.33372377,0.07,4
45,Wisconsin,Marshfield,8/9/2012,PGI 212,42251,249,5.91,1215,14,3301.71,711.4,16.632812,-0.53,21.14724509,0.26027465980980885,1
46,Wisconsin,Lexington,3/31/2015,GA-505,42243,258,2.47,1313,36,4393.22,745.7,23.79017857,-0.25172153529698194,10.92,0.0745138239794414,2
47,Wisconsin,Arlington,4/5/2017, SW 4351* ,41885,254,1.5,217,387,4823.96,275.3,23.42161914,5.973271982506481,17.1610666,0.10691076203894287,3
48,Kentucky,Lexington,8/9/2012,HYBRIFORCE-3400**,9/14/2017,260,1.19,130,80,2408.82,623.7,14.97217256,11.869311713592069,29.21476693,0.3929915217950219,1
49,Kentucky,Marshfield,42095,Radiance HD,9/12/2018,246,8.39,520,322,4419.93,832.7,23.14865047,12.32831520049512,11.73334501,0.07,2
50,Kentucky,Lexington,41730,AM-14-900,9/12/2018,248,2.58,1164,402,4441.53,534.8,22.16124175,17.46763541092609,12.66408092,0.3169834718588051,2
51,Kentucky,Lexington,4/5/2017,NF11ALF006,9/17/2015,261,4.4,230,24,4297.06,349.3,5.53,16.275655686173067,22.17481819,0.7,1
52,Wisconsin,Arlington,41730,GA-505,42613,253,2.12,384,1,3034.43,982.0,16.78440668,-0.53,12.57770444,0.09257027258086045,1
53,Wisconsin,Lancaster,41365,Mssunstra-B11,41890,245,6.7,996,333,4447.22,607.5,5.53,1.9239517682894582,10.92,0.2300969681893153,4
54,Kentucky,Arlington,4/12/2018,BYS5028,9/19/2016,257,5.41,130,338,2804.55,425.1,16.6564231,0.647068959869592,29.25310714,0.27824457934001845,4
55,Kentucky,Marshfield,4/12/2018,Saranac AR,41886,243,5.08,341,38,3086.86,902.3,17.26186925,17.126181354183682,26.48452792,0.09369648460513458,1
56,Kentucky,Lexington,41730,GA-ALFG-1,9/16/2015,280,5.31,654,374,3399.46,776.9,16.12532783,1.6890026258949127,28.63122504,0.07045421539214568,4
57,Wisconsin,Arlington,41730, AFX h134091 ,41889,263,2.36,130,53,2545.15,109.7,18.85922095,8.213219837782493,28.70562633,0.08866158473140073,1
58,Wisconsin,Arlington,4/5/2016,Mssunstra-B16,9/13/2018,262,3.38,2225,370,2567.28,812.3,23.79017857,11.10797441690703,24.38646022,0.3358919263694783,4
59,Kentucky,Lexington,3/31/2015,Saranac AR,42605,246,6.06,343,1,4332.13,422.9,5.53,1.8644012861143902,14.88186509,0.2540790806832808,2
60,Kentucky,Arlington,41730,Vernal,41890,280,4.7,2225,1,3716.0,828.5,17.26696081,-0.53,23.42326291,0.07802120420910857,2
61,Wisconsin,Arlington,8/9/2012,LH 9700,41886,250,3.53,422,1,2800.73,578.4,9.29937367,18.87832738,24.70329821,0.30322201680353933,2
62,Wisconsin,Lexington,42095,DG 4210,42243,258,2.99,285,390,2294.68,1043.2,16.61614824,-0.53,21.87888668,0.24505715949702925,1
63,Wisconsin,Arlington,41365,WL 365HQ,9/13/2018,245,1.19,606,25,4823.96,368.0,16.90574169,10.29007767994581,10.92,0.29937943436890685,4
64,Wisconsin,Arlington,4/5/2016, AFX 103009 ,9/18/2014,251,3.81,415,1,2093.1,735.2,15.83103622,14.016491748069214,25.71308736,0.25194629667355806,3
65,Wisconsin,Arlington,4/5/2016,AFX113010,41889,267,4.61,850,366,4715.8,784.9,22.08841767,9.764580064669394,10.92,0.27577422542104996,3
66,Wisconsin,Lexington,41730,Buffalo,9/14/2017,251,5.43,1602,28,2063.34,694.9,23.79017857,4.663401794223654,10.92,0.2895209082379429,4
67,Wisconsin,Marshfield,42095,HYBRIFORCE-3400QR**,9/16/2015,244,5.42,1020,36,2229.33,983.1,16.94754216,18.274113151728436,26.39087019,0.08929723195048088,3
68,Kentucky,Lexington,41730,GA-505,9/19/2016,243,4.04,1342,335,4433.08,886.6,12.40786738,15.712458414905203,12.96173544,0.7,1
69,Wisconsin,Lexington,41730,Saranac AR,41890,252,8.08,400,339,4313.51,423.4,9.63786959,11.370520518454125,23.4685611,0.3222425266043573,1
70,Kentucky,Lexington,41133,PGI 212,42613,253,6.09,354,394,3465.42,863.6,23.79017857,16.53417251360196,27.63077548,0.07,1
71,Wisconsin,Arlington,42095,AFX103009,41885,260,1.46,171,357,2959.78,1043.2,10.56159437,9.537388837271935,23.36689112,0.21829633354604228,2
72,Wisconsin,Arlington,41133,CW 065030,9/19/2016,258,5.12,559,385,4361.88,760.6,22.61226666,10.502386833558432,11.98040787,0.3490966369470075,4
73,Wisconsin,Lexington,4/5/2016,Vernal,41919,280,4.79,130,16,4823.96,799.0,22.83412303,9.742251860949215,22.57313926,0.32231894662049526,1
74,Wisconsin,Lexington,4/5/2016,CW 085028,9/19/2016,247,1.19,2225,383,4610.38,484.6,18.4177921,18.87832738,21.46955142,0.2927264634146999,2
75,Kentucky,Marshfield,4/12/2018, AFX 103009 ,9/16/2015,259,4.22,1303,23,1994.04,390.9,19.66432628,8.894685428379884,22.58913759,0.07,4
76,Wisconsin,Arlington,40664,AFX 095023,9/14/2017,256,2.32,215,50,4795.35,238.1,21.99648362,12.862699367695969,10.92,0.07,4
77,Kentucky,Arlington,41730,55V50,42247,262,4.03,168,402,4823.96,762.7,5.53,12.325444506995925,13.72764191,0.28942372528525523,3
78,Wisconsin,Marshfield,41365,AFX 095026,9/14/2017,247,4.18,132,369,4396.14,109.7,14.86065929,14.744849402083497,27.01990798,0.2648127320078965,3
79,Wisconsin,Arlington,4/12/2018, AFX h134091 ,9/17/2015,251,1.19,1192,356,1856.67,842.9,19.1430581,16.930453196874744,26.48090839,0.3426793920443147,2
80,Wisconsin,Lexington,41730, AFX h134091 ,9/18/2014,263,1.19,479,402,3131.81,759.7,5.53,8.979811109465171,29.25310714,0.3079699298276888,1
81,Kentucky,Lexington,4/5/2017,Withstand,9/12/2018,257,3.53,1903,391,4823.96,509.2,7.96391196,18.619455889283977,27.31229325,0.2724652221495814,4
82,Kentucky,Lexington,41365,Hybriforce-3400,42243,248,6.57,990,51,2374.95,842.1,15.54140935,16.137851495097753,24.84739896,0.6400433879503628,3
83,Wisconsin,Lexington,41730,NF11ALF006,42251,244,1.61,195,358,3075.33,730.4,16.46021037,8.730690477256044,28.89590987,0.25724427206438694,3
84,Wisconsin,Lexington,41365,Vernal,42251,246,9.24,2225,299,1856.67,917.0,19.68007369,18.87832738,13.22103728,0.2328020140235629,1
85,Wisconsin,Arlington,41730,Mallard 5,41919,243,5.24,1701,353,3091.82,297.7,10.02397024,-0.53,25.13557339,0.24842094480973329,1
86,Kentucky,Arlington,41730,55V50,42249,248,7.57,273,63,1856.67,886.9,18.68299963,-0.53,20.209742,0.22379564200367616,1
87,Wisconsin,Lexington,41730,AFX 103009,42240,256,4.45,798,1,2931.42,906.6,20.22348827,15.144997791209597,10.92,0.22825312979855633,2
88,Kentucky,Lexington,8/9/2012,Ameristand 427TQ,42251,224,4.32,364,19,4507.06,831.5,23.79017857,3.1792762309350566,28.59102013,0.34416031225572824,1
89,Wisconsin,Arlington,41365,AFX095026,9/12/2018,253,6.34,326,402,4823.96,309.7,16.14575243,9.554157424840323,25.37711574,0.28168521390168877,1
90,Kentucky,Arlington,41133,Hybriforce-3400QR,41889,226,6.67,608,335,4483.65,819.4,9.78351997,-0.53,15.71656083,0.07,1
91,Wisconsin,Arlington,8/9/2012,LANCER,9/12/2018,227,6.12,286,361,1856.67,846.1,6.97413821,-0.53,24.50146549,0.3268246384220851,3
92,Wisconsin,Lexington,41730,55V50,41890,226,1.74,1184,1,2910.35,359.9,5.53,2.1171055722510608,18.10885885,0.2824316696773813,1
93,Wisconsin,Arlington,41730,FSG-426,42251,244,7.75,187,1,3318.02,748.0,14.70080204,13.32651149203406,25.5036096,0.07,3
94,Kentucky,Arlington,3/31/2015,Caliber,42251,230,5.43,130,394,4413.44,759.4,18.74543144,17.726197321728986,21.1124768,0.3079367486385166,3
95,Wisconsin,Lexington,41730, LS 706 ,8/12/2013,243,2.88,542,21,4349.85,808.5,6.34460336,0.7415721769890092,10.92,0.07,3
96,Kentucky,Lexington,8/9/2012,AFX 064022,42251,257,4.59,524,1,4785.32,782.6,19.44496176,1.7350762050007815,19.06044246,0.2312412319784907,2
97,Wisconsin,Marshfield,40664,MSSUNSTRA-C12*,9/14/2017,243,6.3,575,369,4823.96,746.0,8.48820483,1.5032972166166336,13.08599088,0.5371153095797592,3
98,Kentucky,Arlington,40664,AFX083003,42251,261,3.49,398,371,4823.96,839.6,6.37814159,15.715366676216833,20.85340603,0.2478451244959073,3
99,Wisconsin,Marshfield,8/9/2012,Evermore,9/13/2018,250,1.48,178,37,2762.88,743.6,23.79017857,10.234623664867678,27.54553276,0.3116364863653296,3
100,Kentucky,Marshfield,41730,Nuton,9/19/2016,254,5.59,520,369,4126.74,1043.2,17.35011803,16.03900513445487,22.37664184,0.3051384661419705,4
101,Kentucky,Lancaster,42095,Hybriforce-3400,9/15/2017,248,7.13,703,65,1856.67,705.8,7.22730797,14.040431211510164,27.84490543,0.6871344043257565,2
