,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Arlington,8/9/2012,Hybriforce-3400,42613,243,8.48,392,1,3826.69,884.9,23.06734495,1.6921377034420146,22.41470477,0.2816163124368169,1
1,Kentucky,Marshfield,41365,Caliber,42240,248,4.68,2225,366,4823.96,800.1,17.42235685,18.87832738,20.23159649,0.25201595235573715,4
2,Kentucky,Arlington,4/12/2018, AFX 103009 ,42605,250,3.62,498,374,4752.37,786.3,18.66315154,-0.53,17.81119232,0.0887699123609344,1
3,Wisconsin,Marshfield,41730,VERNAL,8/20/2018,251,3.18,130,402,4823.96,881.0,7.28858391,10.00941696541961,10.92,0.2917187371545875,3
4,Wisconsin,Lexington,41730,FSG 415BR,41889,256,4.17,130,367,4823.96,772.3,19.94558102,-0.53,10.92,0.2536341716917145,3
5,Kentucky,Arlington,40664,MSSUNSTRA-C11*,42247,246,1.19,1424,43,4823.96,829.3,23.19711964,12.906079061765311,22.10632436,0.07,1
6,Wisconsin,Lexington,41730,Evermore,9/17/2015,256,8.77,141,39,4756.23,1043.2,17.32564735,7.379376371593775,19.07351818,0.24411359605398286,1
7,Wisconsin,Marshfield,4/5/2016,AFX h134092,41890,260,4.76,1184,383,2406.08,802.8,23.79017857,-0.53,10.92,0.07,3
8,Wisconsin,Lancaster,4/12/2018,WL 365HQ,9/17/2015,251,1.89,1177,87,3180.18,603.0,18.30026261,14.062016622164698,10.92,0.09476344024834947,1
9,Wisconsin,Arlington,3/31/2015,AFX 103009,8/20/2018,250,5.29,649,396,4549.0,920.7,10.98147133,15.341263892424141,18.2118781,0.2626541996911409,1
10,Wisconsin,Marshfield,3/31/2015,WL 365HQ,9/17/2015,249,6.24,1205,395,2492.89,865.3,5.53,8.687195871482572,20.70885053,0.24178195892813448,3
11,Wisconsin,Arlington,3/31/2015,HybriForce 3400,41890,266,3.04,314,351,4823.96,728.9,10.18806552,16.694380485858865,26.70745761,0.2734387965814121,2
12,Wisconsin,Marshfield,41133, AFXh 134090 ,41885,248,3.23,219,1,4677.79,697.0,21.66385767,8.535534794758487,22.55440247,0.08101518305210889,1
13,Kentucky,Arlington,3/31/2015,Saranac AR,41889,251,5.06,913,347,3290.92,996.1,13.44353331,1.774586328445673,18.99216876,0.2791304078842038,1
14,Wisconsin,Lexington,41365,Ameristand 403T Plus,41885,271,1.36,701,402,3917.51,768.1,5.53,-0.53,20.52055361,0.07,1
15,Wisconsin,Lexington,8/9/2012,HYBRIFORCE-3400QR**,9/17/2015,250,8.3,1340,53,4322.09,824.3,8.75661358,11.028548211713618,10.92,0.2528860585699958,1
16,Wisconsin,Lexington,41730,Contender,9/19/2016,280,4.95,1053,385,4712.39,697.6,12.09776612,8.366324727185717,17.58284751,0.11219666513551332,2
17,Wisconsin,Lexington,4/5/2016, AFX h134093* ,9/13/2018,248,6.66,602,6,3851.78,381.6,6.763153,-0.44495531475743255,17.23744427,0.3088655580436159,1
18,Wisconsin,Arlington,42095,Hybriforce-3400,41885,263,5.71,190,402,4823.96,863.9,10.67144071,2.0266420235937437,18.01805723,0.07,1
19,Wisconsin,Arlington,41730,ONEIDA VR,41889,252,2.32,740,344,3836.0,786.5,14.21209779,9.38768913569039,21.62529252,0.08538101974104247,1
20,Wisconsin,Lexington,4/5/2017,Mssunstra-B15,41886,250,6.4,1179,369,3395.52,792.5,15.75736266,10.31267262254417,17.49781005,0.07,1
21,Kentucky,Arlington,41730,55V50,42249,259,4.4,226,386,3086.22,746.2,7.74265188,12.987121583014456,10.92,0.07162160180732541,1
22,Wisconsin,Lexington,41133, LS 706 ,41885,230,6.32,1802,337,4756.43,843.1,22.53264443,11.059272712235,25.33081195,0.07,1
23,Kentucky,Arlington,41730,55V50,41885,264,1.19,730,401,4261.02,698.5,13.40653571,-0.53,19.58479088,0.08864360149911546,1
24,Wisconsin,Lexington,41730, AFX h134093* ,9/17/2015,250,3.65,890,386,2795.63,805.7,7.21419597,0.1417439591952523,10.92,0.29894435154339644,1
25,Wisconsin,Lexington,8/9/2012,HYBRIFORCE-3400**,41890,269,3.19,130,1,4696.2,893.1,23.79017857,1.2636880719012078,20.44686048,0.2561285581871289,1
26,Kentucky,Lexington,41730,Mssunstra-B15,8/20/2018,277,1.19,573,76,2995.48,923.4,5.53,-0.53,27.17097829,0.22686107318249701,3
27,Wisconsin,Marshfield,41730,LS 905,9/14/2017,250,2.86,548,396,3508.98,711.5,10.0330405,-0.53,10.92,0.12055321945369218,1
28,Wisconsin,Lancaster,4/5/2016,NF11ALF006,9/19/2016,256,6.72,778,364,4820.75,453.1,8.64844196,11.966339070214993,10.92,0.07,1
29,Wisconsin,Lexington,41133,Saranac AR,9/14/2017,247,7.06,1039,335,4568.49,1000.4,5.53,4.909227896436308,21.15499376,0.07617706623504264,2
30,Wisconsin,Arlington,4/5/2016, AFXh 134090 ,42249,250,2.36,196,402,4823.96,713.1,23.79017857,18.87832738,16.39405425,0.07,1
31,Wisconsin,Lexington,8/9/2012,DSD06-M*,41890,267,4.67,699,365,4823.96,668.5,21.94910564,-0.53,21.93449176,0.2654962619930294,1
32,Kentucky,Lexington,42095,Contender,9/17/2015,264,5.37,1286,402,4823.96,917.9,20.60284937,-0.53,21.47431828,0.24549969656735562,1
33,Wisconsin,Arlington,40664,Arc,8/12/2013,249,4.64,746,1,2068.14,819.9,15.97210758,3.4489451890932035,10.92,0.07,1
34,Kentucky,Lexington,41730,55V50,9/17/2015,263,2.96,525,52,4823.96,1043.2,22.91928216,-0.53,20.10785022,0.2667828792233829,2
35,Kentucky,Marshfield,41730,Evermore,9/19/2016,250,5.76,1279,26,3830.41,662.1,7.79619524,-0.53,10.92,0.25698590353999495,2
36,Wisconsin,Arlington,41365, SW 4351* ,9/19/2016,241,5.62,145,393,2885.29,1043.2,13.97296567,11.70190985209588,10.92,0.29760005988589305,3
37,Wisconsin,Lexington,41730,Hybriforce-3400,42247,265,6.64,517,330,3417.03,798.6,20.44426659,8.24737064002564,19.56745099,0.3167981633932878,1
38,Wisconsin,Marshfield,3/31/2015,FSG 424,41889,256,4.21,1544,6,3040.23,835.8,15.74974538,9.273149829314853,10.92,0.27176760230443037,2
39,Wisconsin,Lexington,3/31/2015,FSG-426,42613,267,6.89,712,402,4557.2,927.1,5.53,10.956248088976027,17.79909211,0.26014407753971885,3
40,Wisconsin,Marshfield,41730,54Q14,42240,280,1.53,1217,392,2452.59,708.9,23.23056097,0.6682402713299328,19.54434402,0.2639726779793282,1
41,Wisconsin,Lexington,3/31/2015,NF11ALF006,42247,246,6.21,288,373,4823.96,1043.2,21.59551204,-0.53,19.52007129,0.3154336579798615,1
42,Wisconsin,Lexington,4/5/2016,AFX095005,41886,280,4.85,956,398,4484.77,1043.2,18.62311498,11.762351425392794,22.133773,0.30617007463682144,1
43,Kentucky,Marshfield,41365,HYBRIFORCE-3400**,9/17/2015,247,7.07,375,386,4823.96,1043.2,6.85359985,10.81699926993342,10.92,0.07,1
44,Wisconsin,Lexington,3/31/2015,Fierce,42604,252,9.64,197,402,4823.96,861.3,16.70973852,-0.53,21.12208787,0.2944270967557209,1
