,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,3/31/2015,Ameristand 403T,9/15/2017,233,5.16,816,54,4823.96,784.6,20.29264073,17.505529922415395,13.57633913,0.07,8
1,Wisconsin,Marshfield,41730,CW 085028,42249,280,6.36,130,375,2414.62,945.4,23.67894942,18.87832738,27.13399199,0.10101151928546327,2
2,Wisconsin,Lexington,40664,Hybriforce-3400,42251,243,6.93,1046,26,3376.62,872.8,23.79017857,7.1965082078039755,14.11328639,0.09972362725804579,7
3,Kentucky,Marshfield,8/9/2012, SW 4351* ,9/17/2015,272,9.47,1118,381,4817.91,566.2,8.93605056,16.344513735211788,11.01825576,0.3050512703512923,2
4,Wisconsin,Lexington,42095,AFX095005,42249,250,3.72,816,1,4705.96,681.4,9.98589778,2.607023638259507,11.00139073,0.29934393921204433,3
5,Wisconsin,Marshfield,41730,54Q14,9/17/2015,248,10.6,361,339,2733.24,533.0,23.79017857,2.3912626681439915,10.92,0.0848288944072488,6
6,Wisconsin,Lexington,41730,55V50,41886,241,6.33,609,332,3210.16,339.5,23.79017857,18.87832738,10.92,0.13410289046046586,6
7,Wisconsin,Lexington,41730,AFX064022,9/19/2016,225,8.0,429,13,3080.58,425.4,11.32546608,1.5704291277925215,29.25310714,0.10187755143443981,1
8,Wisconsin,Marshfield,41730,SW 4351,42251,246,6.18,130,42,3164.26,876.6,17.70018091,5.564116898578218,11.78899501,0.10502283284301986,1
9,Wisconsin,Lexington,41730,Nuton Alf,9/12/2018,247,7.75,130,362,2543.51,504.8,10.04851311,18.68735910299947,26.50083823,0.10709603632722538,7
10,Wisconsin,Lexington,4/5/2016,VERNAL,9/17/2015,280,4.9,1217,391,3326.31,314.9,23.53254859,0.9386625163879471,21.15039187,0.08659564181981518,4
11,Wisconsin,Lexington,41730,Evermore,41890,248,5.6,130,379,3728.96,492.3,8.09942678,1.4297701362891093,10.92,0.34189707446103124,5
12,Wisconsin,Marshfield,42095,Legendairy XHD,9/17/2015,233,9.19,130,350,3388.83,628.5,23.79017857,16.850255858933124,14.74342785,0.3540572675081,6
13,Kentucky,Lexington,4/5/2016,AFX 095023,9/14/2017,256,7.14,1284,385,3134.31,898.6,20.30952383,18.87832738,17.49092757,0.12704311999180024,8
14,Kentucky,Lexington,41365,CW 065030,9/17/2015,256,5.58,130,35,4823.96,687.4,9.46011366,18.35344650939389,10.92,0.0949811664988683,1
15,Kentucky,Marshfield,40664,GA-505,9/14/2017,255,5.92,130,359,2490.02,821.1,23.79017857,13.51756760786486,25.83147501,0.34845900196043067,8
16,Wisconsin,Arlington,42095,Legendairy XHD,42605,241,5.03,648,402,2534.59,573.3,9.54506741,14.00053479142669,27.73501283,0.12045086064190572,6
