,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Arlington,41133,55V50,9/19/2016,248,3.93,632,324,3715.43,635.9,5.53,12.886898588108847,10.92,0.07980741431165206,6
1,Wisconsin,Lexington,4/5/2017,AFX 095023,9/19/2016,251,8.3,924,1,4823.96,999.6,17.99937413,-0.4807811765535901,13.8867176,0.24949897979987423,3
2,Kentucky,Arlington,41730, LS 706 ,9/15/2017,247,8.15,630,391,4823.96,508.3,23.79017857,15.136363142048692,11.53359321,0.07537884034764204,1
3,Kentucky,Lancaster,42095,Phoenix,41890,252,2.51,182,325,4387.95,892.5,5.53,1.160856239282926,13.31179452,0.10207828691562731,8
4,Kentucky,Arlington,41365, AFX 103009 ,41886,228,4.26,1050,37,4823.96,869.8,7.14415342,-0.53,14.37956479,0.31274726358520094,6
5,Kentucky,Marshfield,4/5/2016, AFXh 134090 ,9/13/2018,247,4.08,693,322,3877.12,885.3,17.41643179,7.7272907730095195,26.53270078,0.07,3
6,Kentucky,Arlington,41730,MS Sunstra 145154,41886,256,2.87,140,1,3196.47,760.9,5.83252516,-0.53,23.4925949,0.09395118112881226,6
7,Kentucky,Marshfield,40664,AFX103009,41885,248,9.07,757,322,4782.8,899.0,5.53,7.735343069713087,10.92,0.07,1
8,Wisconsin,Lancaster,3/31/2015,Evermore,42605,247,2.75,855,1,4554.58,778.5,5.56769558,9.487288386540119,19.36482254,0.30837317350091836,5
9,Kentucky,Lexington,42095,Phoenix,9/13/2018,242,1.19,1512,29,2878.89,728.6,9.43733686,13.689535864926425,20.73151601,0.3224470020070372,1
10,Wisconsin,Lexington,3/31/2015,BYS5028,9/14/2017,247,1.39,1637,1,3280.43,942.9,17.20310648,-0.53,24.06639075,0.32776119246288343,3
11,Wisconsin,Lexington,4/5/2017,WL 354 HQ,41919,246,6.06,588,336,4823.96,482.1,14.50803682,-0.53,10.92,0.09972450412498088,3
12,Wisconsin,Lexington,41730,Arc,9/19/2016,240,1.72,447,51,4738.94,843.7,23.79017857,16.68097798398572,13.41380674,0.08819611215997267,1
13,Wisconsin,Lexington,3/31/2015,FSG408DP,41885,280,1.63,1467,332,4602.53,1043.2,5.53,-0.53,21.73574916,0.08657083533098313,6
14,Wisconsin,Arlington,41730,WL 355 RR,42247,249,4.91,545,350,4679.86,831.5,5.95550685,-0.53,24.64131559,0.26932020716555555,2
15,Wisconsin,Lexington,41730,AFX 095026,41885,247,5.85,1558,1,3188.26,807.8,17.43776705,10.678808784701896,13.18923767,0.11315196633577745,8
16,Kentucky,Marshfield,3/31/2015, AFX  095026* ,42251,228,1.19,1319,400,4759.86,954.6,21.0880673,12.576549245715963,10.92,0.07,4
17,Wisconsin,Lexington,41730,MSSUNSTRA-C15*,9/13/2018,251,6.07,714,322,4823.96,742.2,20.98761188,-0.53,27.85996253,0.07,3
18,Wisconsin,Lexington,41365,5312,9/15/2017,251,7.42,143,1,4823.96,851.8,6.95355394,13.35212319693634,23.90744377,0.07192241852167569,6
19,Kentucky,Lexington,4/5/2016,AFX083003,41886,250,3.5,953,348,4823.96,685.5,8.81829537,-0.53,23.25254114,0.0805611904835186,6
20,Kentucky,Arlington,41133,LS 905,9/19/2016,234,6.22,1363,1,4708.32,816.9,20.38966666,9.621005756037839,10.92,0.26012548641208333,4
21,Kentucky,Arlington,41133,Vernal,42240,263,5.96,523,342,2678.01,1043.2,5.53,16.322525033243465,11.8097984,0.27557605880459324,2
22,Kentucky,Lexington,42095,AFX h134089,41889,237,1.76,1560,322,4823.96,854.5,6.63916124,9.776306930825983,10.92,0.07,4
23,Wisconsin,Arlington,41730,MSSUNSTRA-C12*,41885,257,7.99,130,1,4823.96,587.4,11.15418953,2.816523690603318,19.64493419,0.2731466651160634,4
24,Kentucky,Marshfield,4/5/2017,Mssunstra-B15,9/13/2018,251,3.17,820,1,4779.68,837.8,14.95882803,9.25827146584456,11.29210572,0.07880177210000938,5
25,Kentucky,Lexington,8/9/2012,Ameristand 403T,41890,251,6.25,1039,361,3084.71,1043.2,8.88209757,9.801696863896986,12.78065206,0.11009056667985095,3
26,Kentucky,Arlington,8/9/2012,Phoenix,9/19/2016,250,4.45,342,340,4297.07,682.1,6.56787943,10.387713708411095,23.84551739,0.28465492914345053,4
27,Kentucky,Marshfield,41365,55H94,9/12/2018,242,6.87,300,376,4823.96,722.2,14.83367848,16.46430559389306,13.4260749,0.30323835509626645,6
28,Wisconsin,Lexington,4/5/2016,Legendairy XHD,41890,247,3.41,254,1,3777.31,793.9,9.22485758,10.767287030349957,10.92,0.08224820281131542,1
29,Kentucky,Lexington,3/31/2015, AFX h134093* ,41890,245,5.25,597,342,3819.27,894.0,19.98911768,0.06283149254409004,19.82432637,0.08460040184163133,6
30,Wisconsin,Marshfield,41365,Hybriforce-3400,9/16/2015,255,4.21,283,1,4416.09,576.0,7.57568361,-0.53,24.06601938,0.11163177393060801,2
31,Wisconsin,Marshfield,4/5/2016,6585Q,41885,244,6.62,1016,352,4757.71,874.1,22.42601704,-0.53,18.23038643,0.07794140485034948,1
32,Wisconsin,Arlington,4/12/2018,Ameristand 403T,9/18/2014,280,4.88,291,352,3983.34,1043.2,18.46803561,-0.53,10.92,0.11690344594001925,5
33,Kentucky,Lexington,41133,Saranac AR,42249,280,1.23,1389,357,4823.96,1043.2,8.19477175,11.929143298065561,22.693743,0.07,2
34,Kentucky,Marshfield,42095,Mssunstra-D16,42251,239,6.82,357,1,4823.96,748.2,5.53,8.624399483122497,20.81058798,0.24291907251695566,8
35,Kentucky,Lexington,41730,Contender,9/17/2015,244,3.39,533,307,2446.79,790.1,21.70445596,-0.53,11.14683995,0.07,8
36,Kentucky,Lancaster,8/9/2012,HybriForce 3400,9/14/2017,264,4.12,631,1,4823.96,567.4,5.53,9.89335436880799,10.92,0.07833015039297421,1
37,Wisconsin,Lancaster,41365,Caliber,9/14/2017,253,1.19,376,1,4823.96,710.1,6.78672597,0.14832182468986055,19.46466588,0.07,5
38,Kentucky,Arlington,4/5/2016,HYBRIFORCE-3400QR**,41890,245,1.3,1439,325,4651.26,747.3,9.31552799,6.991052817927153,11.64481286,0.07,1
39,Wisconsin,Lexington,41365,Nuton Alf,42249,250,2.11,1786,330,3313.4,776.8,19.8612974,10.187565525956238,27.77678884,0.29905214298947574,2
40,Kentucky,Lexington,40664,Ameristand 403T Plus,9/14/2017,267,7.34,908,329,4772.1,701.1,5.90274217,-0.53,11.2926758,0.13164787850258458,7
41,Wisconsin,Arlington,41730,Caliber,8/12/2013,246,2.29,629,332,4585.56,816.2,21.05617136,8.51269656721973,17.14057996,0.08501495733896677,8
42,Kentucky,Lexington,41730,CW 065030,9/15/2017,245,5.51,1473,345,2758.96,718.5,16.99892639,-0.53,11.3116247,0.07,5
43,Wisconsin,Lexington,42095,55V50,9/13/2018,235,1.19,975,391,4771.98,880.9,7.39361197,-0.53,10.92,0.24847790279787285,7
44,Kentucky,Arlington,41365, AFX h134091 ,42251,260,5.65,1288,325,4823.96,886.2,17.42347983,-0.53,26.14342559,0.10694692477431368,8
45,Kentucky,Marshfield,41133,NF11ALF006,9/17/2015,247,6.65,782,1,4823.96,619.7,7.06073891,10.268947192241312,10.92,0.3278640429901207,8
46,Kentucky,Marshfield,41730,Rebound 6XT,42243,242,5.04,130,26,3421.98,630.4,19.44656647,-0.53,17.34864276,0.07,4
47,Kentucky,Lexington,40664,NF11ALF006,9/13/2018,250,1.22,549,1,4823.96,720.8,6.33640033,-0.53,10.92,0.09222058876934494,2
48,Kentucky,Marshfield,41133,GA-497HD,9/14/2017,250,6.98,1768,320,2977.55,890.5,18.6533376,-0.53,10.92,0.2514015926049992,7
