,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Lexington,41365,5312,9/13/2018,241,1.76,1242,1,3009.78,679.1,5.53,1.2566776616420152,15.69828946,0.5383073111616155,6
1,Kentucky,Lexington,8/9/2012,vernal,8/12/2013,245,7.62,1043,1,4715.81,399.2,5.53,18.87832738,29.25310714,0.3001090279694267,3
2,Kentucky,Lancaster,41365,ONEIDA VR,41919,247,3.31,2225,345,4490.31,781.4,16.57661577,18.549846553385326,13.48603112,0.1262455608330922,8
3,Wisconsin,Arlington,41730,55V50,41885,233,4.56,253,310,3157.21,663.1,14.25450422,12.636344301255257,22.89083584,0.10977387455224139,3
4,Wisconsin,Lexington,41365,FSG 408 DP,42604,261,4.13,1192,354,3077.57,369.3,17.31962012,5.453588918155414,16.31235973,0.08349614921172442,4
5,Kentucky,Lexington,41730,5312,9/19/2016,249,8.4,168,334,3634.09,109.7,17.08272096,18.87832738,10.92,0.2979458583152094,8
6,Kentucky,Arlington,4/5/2017,55V50,42613,231,3.11,607,315,4823.96,829.6,5.53,4.651298887644314,27.67219656,0.09713763775478819,5
7,Kentucky,Marshfield,41730,WL 365HQ,9/18/2014,258,6.65,130,313,4793.74,662.2,11.46181985,18.87832738,10.92,0.30499525423547136,8
8,Wisconsin,Arlington,3/31/2015,Buffalo,42251,243,4.68,1873,1,3487.44,626.6,5.53,11.94340207149856,15.43282797,0.07557887510280756,3
9,Wisconsin,Lexington,41730,AFX 064022,42249,266,4.08,1520,60,3176.98,756.3,7.00472989,14.854220921535989,12.41498401,0.1264522892915418,5
10,Kentucky,Lexington,41365,FSG 403LR,9/12/2018,224,6.47,2225,1,2993.29,1024.8,23.79017857,16.63210745123857,16.54012317,0.30687190827049854,3
11,Wisconsin,Lexington,42095,MS Sunstra 145159*,9/19/2016,244,3.06,338,1,3750.37,366.7,12.42262742,11.63192972759996,29.25310714,0.3062793853618555,2
12,Kentucky,Marshfield,40664,5312,42240,258,4.27,611,338,4678.69,634.7,10.94243465,10.91828779008106,25.99949653,0.09155887919380658,3
13,Kentucky,Lexington,8/9/2012,Ameristand 405T RR,9/16/2015,246,8.77,1067,311,3048.24,743.2,15.93071832,12.23730438264112,18.79457706,0.10563716607842488,5
