,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Arlington,42095,CW 085028,42243,251,3.16,204,360,4121.33,109.7,21.78968624,10.508285202944483,22.72671371,0.07599033882631048,2
1,Wisconsin,Lexington,4/12/2018, AFXh 134090 ,9/13/2018,250,1.19,1385,1,4767.02,756.8,5.53,0.28055654484859116,24.63521499,0.07,3
2,Wisconsin,Lexington,8/9/2012,Vernal,9/13/2018,249,1.19,1975,63,3616.65,917.3,5.53,0.1902832676721773,27.08706246,0.07,4
3,Kentucky,Lexington,41730,X13-9202B,41885,243,1.19,743,378,4823.96,782.2,5.53,13.26125011173449,26.96438037,0.07,1
4,Kentucky,Arlington,41365,Hybriforce-3400QR,41890,251,7.29,518,402,2621.01,945.0,5.53,-0.53,27.1714624,0.23594052137673974,5
5,Wisconsin,Lexington,4/5/2016,FSG 424,41890,244,5.88,130,15,4032.22,827.1,5.53,-0.24786668907259268,12.76814651,0.07,2
6,Kentucky,Lexington,42095,FSG 415BR,41885,250,4.36,867,83,1856.67,785.1,17.4522357,1.2690901791593625,29.25310714,0.2655173230849333,1
7,Wisconsin,Lancaster,3/31/2015,AFX h134089,42251,242,6.05,130,402,4823.96,927.0,7.86029356,4.550288140777174,11.83302652,0.5602896417882233,3
8,Kentucky,Arlington,4/5/2017,Contender,9/12/2018,233,3.36,1324,9,4641.17,785.8,13.93656342,-0.53,26.11091716,0.25131912213140584,1
9,Kentucky,Marshfield,4/5/2016,X13-9202B*,42243,251,7.14,1442,114,3014.65,824.0,20.38755132,10.357010341581809,10.92,0.07,4
10,Kentucky,Lexington,40664,FF42.A2,9/13/2018,244,1.19,585,1,3254.53,766.9,14.48316047,15.763650578993119,25.89420254,0.29121199493043337,1
