,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,4/5/2016,5312,41886,234,2.3,1402,350,3371.99,656.9,12.58514712,18.04409036160038,22.79690309,0.14108523457790562,2
1,Wisconsin,Arlington,41365,Saranac AR,41889,251,7.22,130,393,3397.45,855.4,8.7394456,18.181740273146794,11.57506925,0.08484656658111435,4
2,Wisconsin,Arlington,8/9/2012,AFX h134089,42249,244,1.19,130,393,4802.05,638.1,5.53,9.55615466144201,26.34321699,0.33683273468833475,1
3,Kentucky,Lexington,42095,DKA41-18RR,42243,250,2.88,174,309,2441.12,746.4,14.34276315,18.805374840252522,12.26620498,0.09847501382926993,1
4,Kentucky,Lexington,8/9/2012,MS Sunstra 145154*,9/12/2018,240,3.43,531,1,2763.26,827.7,15.4397505,18.294447090528823,13.65410314,0.13242992682116086,2
5,Kentucky,Marshfield,8/9/2012,55Q27,8/20/2018,248,2.35,236,333,4823.96,629.7,16.92000993,11.512366556486416,29.25310714,0.07236407106071185,2
6,Wisconsin,Arlington,42095,AFX h134091,8/12/2013,263,4.54,2225,1,3652.8,711.5,11.39024167,13.747804898533705,26.74801905,0.11256902135821295,1
7,Wisconsin,Lexington,42095,AM-14-900,41890,244,5.85,740,336,3100.74,310.8,16.98177949,9.748127438277175,28.53298607,0.07735557341481461,2
8,Kentucky,Arlington,42095,Mssunstra-B13,41886,254,4.62,130,317,3711.97,691.4,23.79017857,5.188607990417944,27.35618251,0.27906133869489425,3
9,Wisconsin,Marshfield,41730,Caliber,8/12/2013,246,4.18,365,321,3303.36,312.7,19.33443761,14.330525673438528,24.89238526,0.7,2
10,Wisconsin,Marshfield,4/5/2016,MSSUNSTRA-C10*,9/19/2016,265,1.51,130,19,3296.2,770.8,14.36396934,9.912750894663592,26.44132115,0.11905989155662502,2
11,Wisconsin,Arlington,41730,Ameristand 403T Plus,41885,243,7.47,187,356,3971.52,857.3,17.60770514,16.961975907021618,26.92863692,0.10879676354485296,3
12,Wisconsin,Arlington,42095,Caliber,41886,247,3.09,522,335,4543.85,721.7,5.63183252,10.421226971910777,25.04411111,0.3014768281494127,3
13,Wisconsin,Lexington,41730,Mssunstra-D16,9/13/2018,256,3.79,655,1,4823.96,773.9,18.07512644,5.034431728879382,21.58771679,0.330653781238779,1
14,Kentucky,Marshfield,41365,Rebound 6XT,41890,255,4.93,492,357,2137.97,674.9,5.53,11.759438407826124,29.25310714,0.13227562030408357,3
15,Wisconsin,Arlington,40664,AM-14-900,42243,251,3.93,130,361,4823.96,734.4,7.12177331,3.5633279971209477,29.25310714,0.09927356093073635,3
16,Kentucky,Arlington,4/5/2016,Ameristand 405T RR,42613,258,4.96,437,358,3112.14,715.6,20.64165366,17.945268075092915,10.92,0.09855406805056888,3
17,Wisconsin,Arlington,42095,5312,41890,260,3.34,416,332,2620.96,360.8,15.94452794,12.715949358174772,25.07051278,0.3195762940387855,2
18,Kentucky,Marshfield,4/5/2016,MS Sunstra 145154*,9/19/2016,267,2.22,130,1,2337.7,828.1,21.5209602,6.953538922167501,25.48729642,0.31359278470638074,1
19,Kentucky,Lexington,8/9/2012,Saranac AR,42249,252,8.35,979,330,2827.89,498.3,23.73023261,0.4396513598174152,24.55107153,0.32197468971825793,2
20,Kentucky,Lexington,41730,AFX 095023,41886,250,5.17,413,45,4073.79,724.0,23.79017857,8.9498475417435,23.35359723,0.09317566890161587,1
21,Wisconsin,Lexington,41730,LANCER,42251,233,4.24,130,326,1856.67,777.1,16.91660867,10.351397912478962,27.773231,0.1192555162583232,2
22,Wisconsin,Lexington,41730,GA-505,41889,255,4.24,605,1,2234.2,669.7,18.33550767,11.278133859772959,29.25310714,0.10566577365421162,4
23,Wisconsin,Arlington,3/31/2015,Legendairy XHD,42604,255,3.01,579,326,2534.95,109.7,15.42662014,4.851609313727542,17.31663687,0.14403960259720716,3
24,Wisconsin,Lexington,4/5/2016,ONEIDA VR,9/19/2016,261,4.12,195,312,2032.7,821.8,15.02629185,3.5282729149522973,27.17779956,0.3386396496572869,1
25,Wisconsin,Marshfield,41365,Vernal,41890,250,3.34,1324,1,3099.71,656.3,17.75021031,3.4338549088874073,29.25310714,0.1358826778829032,2
26,Wisconsin,Marshfield,41730,Evermore,9/14/2017,265,2.51,999,388,3215.43,109.7,17.35776403,18.87832738,15.6671091,0.3204318839788144,1
27,Kentucky,Arlington,41730,55Q27,9/15/2017,261,5.85,406,323,4710.83,927.7,20.15467062,18.218362919446783,29.25310714,0.28625557052315376,3
28,Kentucky,Arlington,4/5/2016,GA-497HD,9/12/2018,258,1.19,267,397,4640.87,702.5,5.53,2.2963651061277397,13.02873447,0.08145191865005809,2
29,Kentucky,Lexington,4/12/2018,AFX 095023,42251,240,6.23,333,1,4823.96,109.7,10.18420404,18.87832738,11.72281994,0.08699528551113997,1
30,Wisconsin,Arlington,4/12/2018, LS 706 ,9/16/2015,253,3.62,130,346,2515.1,880.9,14.80449712,10.959557388268193,17.50282638,0.14244386331171255,3
31,Kentucky,Lancaster,8/9/2012,AFX 103009,42249,260,1.19,1107,357,3532.85,505.1,19.69315215,3.6836177888483945,10.92,0.11374148488915875,2
32,Kentucky,Lexington,3/31/2015,FSG-426,9/17/2015,243,7.75,181,365,2243.54,693.8,5.53,-0.53,18.97368069,0.28332083121628326,4
33,Kentucky,Marshfield,40664,SW 4351,9/16/2015,253,5.06,546,1,3377.01,381.7,5.53,15.165187275078512,21.22505263,0.10246762245470142,3
34,Wisconsin,Lexington,4/5/2017,AM-09-600,41885,248,3.06,782,349,4618.24,400.9,18.06312323,12.903395334923555,28.4703877,0.10155944485964724,1
35,Wisconsin,Lancaster,41730,vernal,9/19/2016,248,4.22,298,327,3420.76,768.4,5.53,4.669850042199861,23.70169201,0.07,3
36,Wisconsin,Lexington,8/9/2012,55V50,41885,248,3.32,170,315,4635.31,222.1,6.95247673,14.005678962520317,24.72564872,0.11919056178822496,1
37,Kentucky,Lexington,41730,FF42.A2,41890,268,4.6,130,1,4450.34,687.3,22.82577132,16.492653270767942,24.631689,0.1001322319270865,2
38,Kentucky,Lexington,41730,ONEIDA VR,41919,266,1.19,272,1,3172.73,690.9,5.53,16.16478954557031,26.0911999,0.3404871311506702,1
39,Kentucky,Lexington,4/5/2016,PGI 212,41885,268,5.33,130,1,4419.93,917.2,6.7470331,18.739274590124264,26.27184098,0.1352839312571126,3
40,Wisconsin,Lexington,4/5/2016,HybriForce 3400,9/12/2018,248,3.79,295,364,4823.96,373.5,7.28716248,10.855084765568563,12.77865326,0.09632997334148669,2
41,Wisconsin,Lancaster,41730,Ameristand 405T RR,41890,247,3.4,860,1,4823.96,817.1,14.67143337,2.5954505919338544,23.84398797,0.3059018586739882,1
42,Wisconsin,Lexington,4/12/2018,Caliber,41889,248,5.38,673,48,3649.86,778.9,20.94483112,12.758312543841562,27.07242435,0.3584458429709742,2
43,Kentucky,Marshfield,42095,GA-497HD,9/14/2017,264,5.1,1272,372,2459.25,760.8,6.91775184,18.87832738,26.02608244,0.09281895516553054,1
44,Wisconsin,Marshfield,41730,AFX 095023,9/16/2015,240,6.48,471,1,3802.63,706.2,19.92039843,12.573695572535716,26.32450739,0.3231572720376783,3
45,Wisconsin,Arlington,40664, AFX h134091 ,9/15/2017,235,4.29,577,347,2773.53,109.7,13.70223832,10.01474126964128,23.28226711,0.5479446211408199,3
46,Wisconsin,Lexington,42095,CW 065030,9/16/2015,250,4.8,380,334,3517.48,345.6,18.37753198,15.460628003062887,18.5884346,0.07,1
47,Kentucky,Lexington,3/31/2015,DSD06-M*,41886,267,1.69,526,375,3898.01,626.0,17.3023168,17.02453407778467,20.97635345,0.28151351477738973,2
48,Kentucky,Lexington,41365,55V50,42247,270,3.92,247,331,2673.89,875.6,7.63707544,17.6870379771908,13.0711384,0.09541034465490619,4
49,Kentucky,Lancaster,8/9/2012,Contender,9/12/2018,248,4.31,130,358,2929.9,759.4,23.74259767,15.94960014097868,22.15615165,0.11122050239298348,1
50,Kentucky,Marshfield,41730,AFX083003,9/12/2018,267,4.0,130,335,1856.67,635.5,22.3618632,13.854358362942042,27.35765864,0.2957056024690687,3
51,Wisconsin,Marshfield,41365,AFX h134090,9/13/2018,261,6.65,130,354,2314.67,589.5,15.10336585,5.6504771843803745,27.00192299,0.10039473018762904,2
52,Wisconsin,Lexington,8/9/2012,DSD06-M*,42251,237,2.52,130,326,2872.5,679.7,7.51815085,0.662198960974354,29.24664131,0.10341160340319822,2
53,Wisconsin,Marshfield,40664,Ameristand 427TQ,42604,266,1.19,199,361,3040.3,1043.2,7.08801965,13.34092522392382,24.30337624,0.120580870213706,1
54,Kentucky,Lexington,41365,Ameristand 427TQ,41919,250,7.08,248,345,3343.69,109.7,16.70730186,3.760603621993212,25.06358686,0.10805405354262965,2
55,Wisconsin,Marshfield,41133,AFX 103009,9/12/2018,264,3.57,307,22,2632.81,347.7,10.7316693,13.204054185598475,13.27723996,0.09899601583623531,3
56,Wisconsin,Lancaster,4/5/2017,Nuton Alf,41885,245,1.55,797,1,3851.79,726.6,7.66747959,10.636880316389622,28.35752918,0.09652078559395616,3
57,Kentucky,Arlington,41365,Saranac AR,42243,249,1.71,182,20,2131.6,831.5,23.31651192,18.87832738,27.8273934,0.11340204635041068,2
58,Wisconsin,Lancaster,41365,Ameristand 403T,9/14/2017,248,1.69,158,347,2933.38,697.6,5.53,10.399522487735783,23.45302229,0.12445950490620349,3
59,Kentucky,Arlington,41730,Mssunstra-B15,9/12/2018,247,3.84,130,303,3378.57,682.5,20.42577067,18.538396470216934,29.25310714,0.08254648773957733,3
60,Wisconsin,Lexington,4/5/2017,AFX095026,9/14/2017,251,1.19,130,321,4473.75,312.3,16.08277206,16.278219025114534,19.63004269,0.3192325734690162,2
61,Wisconsin,Lexington,41730,MS Sunstra 145154,9/15/2017,230,1.19,130,300,4382.39,369.8,16.5657162,3.9689062495814773,11.40699469,0.3284048788485941,3
62,Wisconsin,Arlington,3/31/2015,FSG408DP,9/19/2016,244,5.29,643,321,4823.96,763.2,5.53,10.919665314070528,15.70146583,0.1403454269991578,2
63,Kentucky,Marshfield,4/5/2017,AFX 064022,8/12/2013,242,4.31,952,1,2665.57,303.6,18.06433543,18.87832738,26.15096812,0.33327952389483295,2
64,Wisconsin,Marshfield,40664,FSG 424,42240,240,1.2,130,56,1999.36,419.3,15.8436041,17.377150493055524,11.6897623,0.10343656968288333,3
65,Kentucky,Arlington,40664,MSSUNSTRA-C15*,8/20/2018,251,1.19,130,314,4601.6,109.7,23.79017857,9.06377093891298,19.28805296,0.07746800355895452,1
66,Wisconsin,Arlington,3/31/2015,Caliber,42251,254,1.33,130,1,2742.16,747.0,7.27786544,18.4047945047137,24.98204104,0.09317271663167942,3
67,Wisconsin,Lexington,41730,55V50,42251,268,6.44,130,305,1988.31,815.6,5.53,14.068382307873154,26.65679806,0.31067486339455513,3
68,Kentucky,Lexington,8/9/2012,AM-09-600,9/13/2018,250,1.19,481,1,4823.96,252.7,7.01342983,18.87832738,23.07573607,0.10000896616068405,1
69,Wisconsin,Arlington,41133,Caliber,42243,270,6.46,577,341,4823.96,723.5,6.3367917,18.396269515157467,23.30928956,0.10342929209958641,2
70,Wisconsin,Lexington,40664,Caliber,42240,247,6.16,130,1,4823.96,340.0,5.53,14.197988477232203,12.4282159,0.1367540801185265,1
71,Kentucky,Lexington,41730,54Q14,9/12/2018,245,3.25,130,336,4823.96,747.3,10.07049647,10.948803926093207,29.25310714,0.12657394646421566,1
72,Kentucky,Lexington,41730, AFX 103009 ,42613,262,3.63,818,324,4587.84,533.3,18.82606016,18.072159791578418,25.41975338,0.11660456817824581,1
73,Wisconsin,Arlington,40664,GA-ALFG-1,42251,250,4.09,506,337,3791.84,664.0,8.96550091,10.807502832139793,10.92,0.31448345347605766,3
74,Kentucky,Arlington,4/5/2017,WL 355 RR,42243,251,3.77,130,1,3447.12,109.7,21.46606266,3.277860310010217,22.38311246,0.263718948325168,3
75,Wisconsin,Marshfield,41365,AFX095005,9/14/2017,246,3.5,859,374,3153.99,1043.2,6.45791575,6.098980976426953,29.25310714,0.3137008710851278,2
76,Wisconsin,Lexington,41730,AFX 095023,42251,250,1.19,796,303,2424.96,722.1,8.92099083,13.426716280303534,13.38509955,0.12054921317951413,3
77,Wisconsin,Lexington,3/31/2015,Caliber,9/14/2017,241,4.25,526,372,3745.62,665.8,5.53,12.084846976164243,25.65015063,0.3108528370244495,3
78,Wisconsin,Marshfield,4/5/2016,MS Sunstra 145154,9/13/2018,251,5.61,318,1,4823.96,681.9,7.80630252,-0.53,23.12816693,0.09942509870348337,3
79,Wisconsin,Marshfield,8/9/2012,Mssunstra-B15,41919,256,4.04,270,312,4821.67,651.6,20.78030581,15.292843582498154,27.03178953,0.07,2
80,Kentucky,Marshfield,42095,55V50,41885,269,5.21,2225,1,3817.02,902.6,18.45876868,6.3274812188016725,19.19319091,0.07861911991817595,4
81,Kentucky,Lexington,42095, AFX h134092 ,9/13/2018,247,1.8,1087,61,3596.03,699.0,5.82474505,15.342669773127607,27.65158836,0.7,3
82,Kentucky,Lexington,41730,VERNAL,42251,246,1.19,456,331,4803.51,1043.2,19.68737142,18.241431655105625,11.06527278,0.09781876931078773,3
83,Kentucky,Arlington,41365,Fierce,42243,246,4.32,130,1,2609.36,509.0,21.88986106,-0.53,22.15304356,0.3346373227414547,2
84,Wisconsin,Marshfield,8/9/2012,LH 9700,41889,269,4.11,355,345,3153.74,779.7,5.53,11.659562483416554,27.74654984,0.32686407996178385,2
85,Wisconsin,Marshfield,8/9/2012,55V50,41885,253,1.27,1122,45,4823.96,904.0,20.92318469,16.9299163768835,24.3238999,0.349248233221007,3
86,Wisconsin,Marshfield,4/5/2016,FSG 424,41890,250,5.8,137,377,3956.82,378.8,11.24651058,0.7250227391760681,29.25310714,0.29950330332046393,1
87,Kentucky,Lexington,41730,WL 365HQ,9/13/2018,242,6.18,214,1,2767.69,545.8,19.47290516,12.009691285901596,29.25310714,0.1096845426086425,1
88,Wisconsin,Lexington,41730,LS 706,9/15/2017,245,5.78,130,1,3639.73,779.5,5.90543866,9.913873791922365,23.14288795,0.33753793262964055,1
89,Wisconsin,Marshfield,41133,GA-505,41886,248,1.56,515,1,2064.11,872.7,19.16369246,17.515959347502857,23.783579,0.13483248092339287,3
90,Wisconsin,Arlington,3/31/2015,AM-14-900,9/13/2018,228,6.44,965,329,4527.34,845.8,5.53,11.875862734775266,15.70618011,0.09990491620497309,4
