,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Arlington,41730,ONEIDA VR,42613,251,4.98,1718,371,4779.91,848.1,5.53,1.2339182342663568,13.15390333,0.09056945429070568,4
1,Wisconsin,Marshfield,41730,AFX 095026,9/19/2016,251,2.26,1746,367,2841.48,1043.2,19.10017809,0.004971032959676158,22.47889701,0.09068696384566031,3
2,Wisconsin,Arlington,8/9/2012,Mariner IV,9/14/2017,234,1.87,727,313,2593.57,719.7,11.59257596,13.070487997200031,10.92,0.21784498181447773,4
3,Wisconsin,Arlington,41133,msSunstra-145159*,9/15/2017,250,7.83,334,380,2466.54,694.6,11.37127045,0.4912683205008017,10.92,0.07,1
4,Wisconsin,Lexington,4/5/2017,Contender,42604,264,5.8,775,402,4821.21,352.4,9.13663934,14.577117716111132,10.92,0.21920247746007127,3
5,Wisconsin,Lexington,40664,Caliber,41886,233,2.04,1557,124,2897.84,704.3,22.84159593,17.31855621427243,10.92,0.07372453146877293,1
6,Wisconsin,Arlington,41365,54Q14,42251,251,6.73,1245,91,3755.67,632.3,21.847856,11.730708013745042,12.83346535,0.07,4
7,Kentucky,Marshfield,41730,55V50,9/17/2015,256,2.1,974,361,4786.99,714.3,15.52452813,10.382410999802708,14.97434515,0.09287021132788592,2
8,Kentucky,Arlington,41133,Caliber,9/13/2018,272,6.77,526,1,2912.06,642.3,18.8700312,10.091203780283642,20.49771757,0.23845018451733496,1
9,Kentucky,Arlington,41730,AM-14-900,8/20/2018,266,4.25,1550,374,2136.82,763.3,23.79017857,16.37533893152423,23.08371309,0.11947733952577237,2
10,Wisconsin,Lancaster,41365,Phoenix,42243,280,10.6,1259,23,2852.99,703.2,6.0063582,11.351593032272834,10.92,0.29136419078788384,3
11,Wisconsin,Marshfield,3/31/2015,AFX 064022,42613,246,1.19,2225,1,4823.96,759.1,19.59392438,14.64911540123669,10.92,0.07,3
12,Wisconsin,Arlington,41730,FSG 424,42251,260,8.93,176,327,2754.74,649.7,16.20519781,12.7481396338926,24.393953,0.24874870058781912,2
13,Wisconsin,Marshfield,41730,Ameristand 403T Plus,41889,257,7.1,799,60,3480.11,710.6,6.66015494,7.903394521136841,13.12398651,0.07,1
14,Kentucky,Lexington,40664,Buffalo,41890,251,4.6,667,1,4457.1,790.6,19.35620346,0.4796494383899006,10.92,0.23271460383269474,1
15,Wisconsin,Marshfield,41133,Ameristand 427TQ,41885,262,1.61,1596,373,2497.87,752.6,20.19036527,3.451720185892597,10.92,0.5424408914961966,1
16,Wisconsin,Arlington,42095,Hybriforce-3400QR,42605,239,2.74,1586,386,4762.41,745.4,15.08874579,-0.53,25.84367069,0.07458536497461807,1
17,Wisconsin,Arlington,4/5/2016,55V50,9/19/2016,236,5.99,775,1,2237.52,609.5,5.53,14.962221201780585,22.86222653,0.07,1
18,Wisconsin,Arlington,41730,AFX h134091,42604,269,9.07,327,326,2592.49,506.3,6.68410025,17.2170425957042,23.57625538,0.07,2
19,Wisconsin,Lexington,4/5/2017,Vernal,42613,254,5.36,1658,1,4458.32,786.8,5.53,12.287391284528379,11.79078913,0.07389298662191993,3
20,Wisconsin,Lexington,41133,Ameristand 403T Plus,9/19/2016,248,4.89,953,64,3062.62,723.8,5.53,12.630517236527314,18.36455025,0.08165660768794852,2
21,Wisconsin,Arlington,41730,AFX083003,9/15/2017,263,2.01,793,381,4402.77,109.7,5.73591422,10.575872195269145,25.93323107,0.07,4
22,Wisconsin,Arlington,41365,Fierce,9/17/2015,243,7.17,2225,390,4823.96,703.7,10.12618803,5.249533613584852,19.09439189,0.24240262888017258,2
23,Kentucky,Lexington,41133,C/W-104038,42249,252,3.39,1726,30,4471.82,755.5,18.58901714,12.872487987667288,24.51591699,0.2683891791741213,1
24,Wisconsin,Lexington,4/5/2016,AFX083003,42249,245,3.13,1552,6,4626.69,701.2,23.79017857,10.053549208691454,11.60399401,0.2505589784451892,1
25,Wisconsin,Arlington,41730,GA-ALFG-1,41885,257,7.08,179,1,2447.96,648.6,22.54994228,-0.53,10.92,0.07,1
26,Wisconsin,Marshfield,41365,FSG-426,8/20/2018,246,5.57,1576,400,2412.85,713.2,5.53,8.889940665485936,10.92,0.0711398151925556,4
27,Wisconsin,Marshfield,4/5/2017, AFX h134092 ,41885,250,6.24,1339,1,1856.67,330.3,11.9791447,0.5413323820008451,10.92,0.07,1
28,Wisconsin,Marshfield,41730,MS Sunstra 145154,9/14/2017,239,3.95,2225,345,4702.59,708.1,7.18139666,13.656210132983817,11.68143263,0.2505200343977692,1
29,Wisconsin,Lexington,41730,GA-505,41885,266,5.07,1431,385,4660.99,335.4,22.97327654,17.619681787163046,24.60015843,0.29853302111097163,2
30,Wisconsin,Marshfield,41365,Phoenix,9/12/2018,280,2.22,1335,337,2784.16,645.1,9.86887698,18.87832738,12.7738273,0.07,1
31,Kentucky,Lexington,3/31/2015, SW 4351* ,41885,260,2.09,1524,16,2463.09,109.7,23.79017857,1.5523643668762568,10.92,0.07,1
32,Wisconsin,Arlington,41730,Contender,42243,254,3.78,271,1,2998.64,672.9,5.53,18.32451619378515,10.92,0.07,1
33,Wisconsin,Arlington,4/12/2018,Ameristand 403T Plus,9/16/2015,269,7.19,1289,371,3923.61,840.2,20.92285707,17.89046964573349,11.72861197,0.07,3
34,Kentucky,Lexington,41730,Phoenix,41886,265,4.67,1060,393,4545.98,682.0,7.61474337,4.9136207061992,10.92,0.27590370684557874,2
35,Kentucky,Arlington,41133,LH 9700,8/20/2018,251,3.3,889,1,3680.2,715.5,9.95141251,11.45208262842713,12.06970746,0.08476458004291747,2
36,Kentucky,Lexington,41730,NF11ALF006,42251,253,7.95,236,29,2104.13,722.9,20.68237032,7.2074331815134745,19.51800537,0.10348612287855302,2
37,Wisconsin,Marshfield,41730,Saranac AR,41886,237,3.38,1458,72,3565.85,723.3,19.15477957,12.532883266819988,21.70543472,0.07352281062229933,1
38,Kentucky,Lexington,41730,Nuton,41885,256,5.17,448,389,4390.45,659.5,15.94625747,16.13616176046274,10.92,0.2466993449847427,2
39,Wisconsin,Arlington,41730,AFX095023,42605,231,4.81,1257,1,4438.94,109.7,5.53,15.785542178425427,10.92,0.2351214997246335,1
40,Kentucky,Arlington,3/31/2015,Ameristand 403T Plus,42604,235,4.77,2225,389,4004.6,109.7,20.94609064,18.87832738,10.92,0.24329539399392686,2
41,Wisconsin,Lexington,8/9/2012,AFX 095023,41919,248,7.38,1011,317,4823.96,703.6,12.68887787,15.201700392927874,10.92,0.07,1
42,Wisconsin,Lexington,40664,Ameristand 403T Plus,41890,253,6.69,1575,369,2509.02,830.8,19.52300744,13.840685340327259,26.58610295,0.2556168902877883,4
