,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,4/5/2017,FSG408DP,42247,243,6.24,316,379,2492.48,718.4,5.53,15.790757320894693,26.7123827,0.07,1
1,Wisconsin,Marshfield,41365,6472A,42249,230,9.69,258,362,3164.21,823.7,5.53,-0.53,26.64269729,0.07,3
2,Wisconsin,Marshfield,42095, LS 706 ,9/13/2018,247,8.8,621,1,2798.55,767.3,5.54015263,13.16158872987278,24.80175973,0.07,1
3,Kentucky,Lexington,4/5/2017,MS Sunstra 145154*,41919,243,4.13,1388,342,4477.16,120.4,8.45310984,1.8278637998027571,28.65453791,0.26824800712427466,1
4,Wisconsin,Lexington,41730,GA-505,9/17/2015,268,5.9,1110,343,4664.89,784.6,5.53,14.151464126541647,25.46601069,0.4780601043488537,2
5,Kentucky,Arlington,41133,55V50,9/12/2018,280,2.37,176,1,3087.81,685.2,23.63635574,11.580023015476767,28.90072001,0.09828727800861552,1
6,Kentucky,Lexington,41365,Mssunstra-B15,41886,232,8.03,130,1,2682.68,694.1,7.49178829,9.29869559239387,24.15506924,0.07,4
7,Wisconsin,Marshfield,41730,LS 905,9/19/2016,247,8.41,469,350,4524.75,724.5,15.15032404,16.124963959826736,24.55402521,0.08985231833485093,4
8,Kentucky,Lexington,4/5/2017,55V50,42604,248,10.6,140,402,2918.2,368.7,15.01005607,9.133503932025683,29.25310714,0.07,4
9,Wisconsin,Arlington,8/9/2012,MS Sunstra 144110*,9/17/2015,252,7.63,130,353,4614.6,849.3,5.53,-0.53,29.25310714,0.07,1
10,Kentucky,Arlington,3/31/2015,NF11ALF006,9/12/2018,242,10.6,978,1,2737.01,762.9,23.01478417,-0.53,22.27203324,0.2473213946691073,2
11,Kentucky,Marshfield,8/9/2012,Fierce,9/12/2018,246,3.49,469,355,4823.96,352.5,5.53,14.028976322277344,23.58043435,0.2532520314081466,3
12,Wisconsin,Arlington,41133,Caliber,41885,262,3.61,257,1,4597.6,256.2,13.64851247,0.7998016570334905,12.5934323,0.07,4
13,Wisconsin,Lexington,4/5/2016,Radiance HD,41886,245,10.6,541,379,3372.7,109.7,13.47338302,14.210181674881614,29.25310714,0.07,3
14,Wisconsin,Arlington,41365,Vernal,42613,269,2.36,380,1,4823.96,813.6,5.53,10.517891362005912,20.569238,0.07,2
15,Kentucky,Lexington,41730,AFXA 113010,9/14/2017,241,3.04,1231,335,4538.29,807.4,21.5718789,-0.53,14.20769202,0.2737700936324803,2
16,Wisconsin,Arlington,41730,AFX095026,41885,245,3.42,1414,375,4667.05,793.3,13.35640649,-0.53,28.96477611,0.07,2
17,Wisconsin,Lexington,41730,AFX h134093,41890,247,4.19,354,1,4823.96,1043.2,5.53,11.025553951165792,27.77127621,0.08762875514374475,2
18,Wisconsin,Lexington,4/5/2017,MSSUNSTRA-C12*,9/14/2017,280,7.08,408,373,4636.34,994.3,7.0174047,12.479988204495829,29.25310714,0.2494679032228021,2
19,Kentucky,Arlington,4/12/2018,Evermore,42604,262,3.99,130,24,3268.91,784.9,8.67146244,-0.53,27.92665919,0.23374200410703816,1
20,Kentucky,Arlington,41365,55V50,41885,243,7.62,470,319,2252.37,843.5,5.53,13.12007371890847,29.03221475,0.4548231327530542,3
21,Kentucky,Marshfield,41730,55V50,42604,246,7.35,956,361,4210.39,813.2,8.59275094,13.32967047603445,24.20290915,0.2533172573923125,1
22,Kentucky,Arlington,41730,WL 365HQ,42249,224,6.66,130,382,3240.82,372.0,5.53,0.02140233308899453,29.25310714,0.07,3
23,Wisconsin,Marshfield,41365,Mssunstra-B11,41885,250,5.43,317,367,4742.71,1043.2,5.53,8.248357247505735,12.55561242,0.07,3
24,Wisconsin,Marshfield,4/5/2017,Saranac AR,41885,242,6.28,1364,402,4497.76,759.3,5.53,-0.53,26.1620837,0.24641564383860556,4
25,Kentucky,Lexington,41730,Evermore,9/18/2014,257,10.6,1369,363,2640.22,806.0,20.18212518,2.2951196943429544,11.76331943,0.07,1
26,Kentucky,Lancaster,4/12/2018,X13-9202B,9/17/2015,246,3.48,381,74,4704.77,779.8,15.55196635,18.87832738,26.15556822,0.07,3
27,Kentucky,Marshfield,41730,Contender,9/12/2018,225,6.77,991,316,2976.12,786.3,18.03037304,13.497971221589925,24.33799677,0.2666226367589963,2
28,Wisconsin,Arlington,41133,55Q27,42251,247,10.6,2225,345,3734.77,695.9,14.41146734,1.0122919365229888,29.25310714,0.07,2
29,Wisconsin,Lexington,41730,SW 4351,42243,249,2.7,434,319,4823.96,256.3,17.73551547,-0.53,25.38729178,0.07,1
30,Kentucky,Arlington,41730,GA-505,42240,244,7.13,2225,1,4818.4,801.7,17.6756868,1.4197858476565308,23.86868795,0.30174117072634443,1
31,Wisconsin,Marshfield,41730,55Q27,9/16/2015,246,5.61,2225,78,3487.1,865.0,6.80353328,1.0710539927276752,27.40848494,0.2742168583386872,1
32,Wisconsin,Marshfield,8/9/2012,5312,9/15/2017,246,5.54,238,353,3074.3,724.1,13.47827292,-0.53,13.06770375,0.07224806456517845,2
33,Kentucky,Lancaster,8/9/2012,FF42.A2,8/20/2018,280,7.55,130,337,2956.1,779.9,23.79017857,-0.07391012925315232,29.25310714,0.5898432968565922,3
34,Kentucky,Arlington,4/12/2018,AFX 095026,9/19/2016,275,4.42,306,335,4455.1,772.1,11.80859758,1.4956002361834102,11.39335812,0.07,3
35,Kentucky,Lexington,42095,Ameristand 427TQ,9/18/2014,251,4.46,206,388,3215.48,645.5,14.89725797,-0.53,29.25310714,0.6745329792542379,3
36,Wisconsin,Arlington,41730,Caliber,41885,267,3.54,1199,390,3480.28,801.9,14.84556337,14.549266119493566,29.25310714,0.24340860211000384,2
37,Wisconsin,Lexington,41365,MSSUNSTRA-D15*,9/18/2014,263,6.78,1083,342,3260.55,832.4,23.79017857,10.761608520327988,27.89495752,0.07,1
