,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,3/31/2015,AFX095026,41890,236,4.79,130,29,4823.96,1043.2,19.31804873,-0.53,26.98625613,0.29126482607586135,2
1,Wisconsin,Marshfield,4/12/2018,Evermore,9/19/2016,225,3.31,236,1,3967.88,900.4,14.72539784,10.470488674538474,29.25310714,0.33325157451699766,1
2,Wisconsin,Arlington,41730,SW 4332,42251,255,5.25,538,369,3972.88,353.4,15.71584418,8.90944315020683,25.19072509,0.7,1
3,Wisconsin,Marshfield,41365,MS Sunstra 145159*,42251,246,5.24,490,354,3995.01,476.1,17.66248293,8.331937701788721,15.45692351,0.307275577366271,2
4,Wisconsin,Arlington,8/9/2012,55V50,9/16/2015,249,5.64,745,369,3574.11,777.2,17.6728276,12.008642850335265,29.08803928,0.6155781795793693,2
5,Wisconsin,Arlington,41730,Ameristand 403T Plus,9/12/2018,247,4.84,130,1,4823.96,603.0,22.77942637,-0.53,29.25310714,0.2839551588014888,1
6,Kentucky,Marshfield,8/9/2012,MSSUNSTRA-C14*,41886,254,4.38,130,1,3151.7,927.4,8.32103189,-0.53,29.25310714,0.3018501123710733,3
7,Wisconsin,Arlington,40664,Mallard 5,42251,248,2.84,130,402,3159.2,865.8,18.46921684,0.9076488386764193,22.12424569,0.10982594203501969,1
8,Kentucky,Lexington,8/9/2012,GA-505,41885,255,4.71,906,1,3609.79,894.8,15.51034977,8.586971388306903,29.25310714,0.3136323077087956,1
9,Kentucky,Lexington,4/5/2017,54Q14,41919,241,5.47,275,1,3929.76,234.0,16.21759526,14.8607708453175,29.25310714,0.07,3
10,Kentucky,Arlington,41730,MS Sunstra 144142*,41890,259,2.15,210,346,4823.96,650.3,23.79017857,-0.53,27.66280661,0.33558117556532674,2
11,Kentucky,Marshfield,41730,55V50,9/19/2016,254,4.88,347,1,4318.01,920.9,15.73476479,2.96837202293514,27.8540538,0.0988402989457335,1
12,Kentucky,Marshfield,8/9/2012,Fierce,42243,225,4.85,130,1,4823.96,827.0,21.59414318,9.361471138953586,29.25310714,0.2821243833363628,2
13,Wisconsin,Arlington,41730,AFX h134091,41885,260,3.47,322,348,2828.03,491.7,14.81160724,8.790570383442716,28.66108891,0.08190458503252403,3
14,Wisconsin,Lexington,41730,55V50,9/19/2016,245,1.61,276,320,4823.96,853.9,18.14002445,8.122063586785153,23.60849931,0.34623104245992575,1
15,Wisconsin,Arlington,4/5/2017,GA-ALFG-1,41885,240,3.87,600,395,4793.77,766.1,5.53,-0.53,21.77180676,0.13414522356244085,3
16,Kentucky,Arlington,42095,AFX h134091,9/19/2016,246,3.72,130,363,4823.96,1043.2,5.53,10.713404796570632,12.49018715,0.12931540353106222,1
17,Kentucky,Arlington,8/9/2012,55V50,42613,251,2.56,137,319,4417.87,561.7,23.79017857,10.74680770696128,29.25310714,0.3071070115390864,1
18,Wisconsin,Lexington,42095,LS 905,42240,247,3.83,282,402,4058.52,1043.2,8.42124932,0.13592004007204106,13.51918306,0.1203607795341601,3
19,Wisconsin,Lexington,41365,Arc,41886,259,3.42,197,369,2964.73,862.2,22.94983316,16.06157458807705,25.45725133,0.09495931398044859,3
20,Wisconsin,Arlington,4/5/2016,MSSUNSTRA-D15*,41885,261,2.05,130,341,4823.96,899.4,22.27020665,-0.53,27.46538162,0.0892303106941964,4
21,Wisconsin,Arlington,41730,BYS5028,9/19/2016,246,2.73,961,31,4823.96,778.1,14.24932302,9.719383964464667,28.33950282,0.1144857529052328,3
22,Wisconsin,Arlington,41730,FF42.A2,9/17/2015,244,3.75,244,51,2102.93,778.4,15.381304,9.060371556019572,20.76565398,0.07,1
23,Wisconsin,Arlington,42095,GA-505,42251,267,4.38,130,1,2277.25,641.1,5.53,17.703863874364675,28.86344324,0.32261533542370924,1
24,Wisconsin,Arlington,4/12/2018,Nuton Alf,9/13/2018,242,3.46,941,402,3607.56,1043.2,14.93031846,9.087945604666974,28.05455866,0.35951740636731117,2
25,Wisconsin,Marshfield,42095,6585Q,9/19/2016,264,2.64,130,64,4581.69,817.1,9.70585859,14.383490411610495,13.56506422,0.07,2
