,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Lexington,8/9/2012,Hybriforce-3400,9/15/2017,256,6.88,473,36,4321.99,845.7,7.3809855,15.14204955165394,22.42491764,0.08197257894499212,8
1,Wisconsin,Arlington,41365,FSG 415BR,41886,247,3.2,2225,401,1893.51,728.7,17.42493328,-0.3709363689381222,12.68214498,0.27157231982505786,4
2,Wisconsin,Marshfield,40664,MSSUNSTRA-C12*,42604,246,6.84,1075,360,2256.42,822.3,5.53,-0.53,29.25310714,0.07164335804055547,5
3,Wisconsin,Marshfield,41365,Caliber,41919,248,10.11,1332,69,4539.85,854.3,5.53,17.319732215377694,13.47280908,0.10549101318757537,6
4,Wisconsin,Marshfield,41730,Ameristand 403T Plus,9/19/2016,248,8.12,1405,392,2357.13,684.6,22.02108454,15.097903977191915,29.25310714,0.7,8
5,Kentucky,Lexington,42095,Ameristand 427TQ,42247,240,5.1,294,54,2410.28,691.4,19.87830572,-0.4855208756966938,14.02472397,0.08470844598997283,5
6,Kentucky,Arlington,41365,Hybriforce-3400,42604,248,2.42,2225,20,4388.15,643.1,5.53,-0.53,23.15792841,0.11593591103721991,1
7,Wisconsin,Arlington,4/5/2016,Ameristand 405T RR,41886,263,4.25,306,1,3443.7,933.6,16.62972934,-0.53,21.7544896,0.07,4
8,Wisconsin,Marshfield,41730,HybriForce 3400,42247,250,1.87,692,368,4222.42,812.0,5.53,-0.3287677812041383,10.92,0.3448575265462213,8
9,Wisconsin,Arlington,4/5/2016,AFX095026,42251,246,8.23,343,402,4231.42,970.4,6.94117193,4.467836461008748,12.27889016,0.11992295098827105,5
10,Wisconsin,Arlington,3/31/2015,Mariner IV,42251,244,7.18,1390,42,4489.29,1043.2,14.81553261,12.507465033933066,26.98372286,0.11331132620599754,8
11,Wisconsin,Lexington,42095,54Q14,9/14/2017,250,9.65,1459,382,3025.38,799.7,5.53,-0.53,12.16367627,0.1146244932626706,3
12,Wisconsin,Marshfield,4/5/2017,AM-09-600,9/14/2017,259,8.16,1416,339,4823.96,769.7,5.53,17.73507450938828,11.4158096,0.07,3
13,Kentucky,Arlington,4/5/2017,NF11ALF006,42243,246,8.57,432,360,4368.1,802.0,16.06346105,10.33852035047164,24.75550006,0.09145466579575906,6
14,Wisconsin,Arlington,41730,MSSUNSTRA-C11*,41885,248,8.24,1149,399,4811.05,718.7,19.81623499,4.957342732929158,10.92,0.35242365548616006,3
15,Kentucky,Lexington,41730,6472A,9/16/2015,242,8.15,1258,346,4731.05,699.7,16.14696663,-0.53,10.92,0.09641579417720333,1
16,Wisconsin,Lancaster,3/31/2015,AFX103009,9/15/2017,248,4.36,386,85,4135.98,873.9,16.12953965,6.828851036099897,10.92,0.11791178410966269,3
17,Wisconsin,Arlington,4/5/2016,Saranac AR,9/17/2015,250,10.02,323,341,1964.39,796.1,8.11549529,13.913522334228821,12.40517646,0.2995186878142866,2
18,Wisconsin,Marshfield,4/5/2017,Caliber,41885,242,2.9,130,351,4251.06,683.2,16.16718897,-0.53,12.58195522,0.1099003710828568,7
19,Kentucky,Lexington,41730,AFX h134090,42613,250,4.28,2225,402,2513.92,746.9,7.22841747,0.8562950395752404,24.01570678,0.33408215953842846,4
20,Wisconsin,Arlington,4/5/2016,WL 365HQ,9/14/2017,250,8.25,455,402,1856.67,330.1,15.02622499,14.020096012892527,10.92,0.07,8
21,Kentucky,Marshfield,41133,MS Sunstra 145159*,42613,258,3.8,1452,340,2679.99,881.2,5.53,1.1805805627156503,23.80681773,0.46329115542081556,4
22,Wisconsin,Arlington,40664,SW 4332,41890,224,1.64,1796,1,2020.22,675.8,19.69968466,17.170088850185625,14.28268201,0.07237750280090727,4
23,Wisconsin,Lexington,41365,AFX h134092,9/17/2015,244,3.86,1432,399,4610.33,870.1,22.35572175,-0.53,14.17050117,0.32793206813843134,6
24,Kentucky,Lexington,41730,Hybriforce-3400,9/13/2018,245,7.28,348,399,2170.53,714.3,20.3550704,13.982419761527668,10.92,0.09297388673047363,5
25,Wisconsin,Arlington,3/31/2015,Contender,9/13/2018,249,4.86,545,402,4656.34,759.3,6.78975997,4.0844080192992775,29.25310714,0.10799496326363284,1
26,Kentucky,Arlington,41730,GA-497HD,9/19/2016,241,10.6,1188,1,4463.2,737.9,5.53,8.723701374349334,10.92,0.7,7
27,Kentucky,Lexington,41730,Fierce,9/14/2017,246,6.52,364,387,4168.59,780.7,14.84508908,-0.53,25.48663216,0.09754724888849628,3
28,Wisconsin,Lexington,41365,55V50,42249,239,9.13,1229,368,4359.71,832.6,15.32195557,-0.53,15.16651311,0.311759561968626,8
29,Wisconsin,Arlington,41730,55V50,41890,245,6.77,707,362,1862.24,732.4,15.21211964,9.422574852435302,10.92,0.07092792657693864,4
30,Kentucky,Lexington,3/31/2015, AFX h134091 ,9/14/2017,258,6.12,361,363,4823.96,1043.2,19.0320541,2.5379993628266275,19.78944787,0.07,1
31,Wisconsin,Marshfield,8/9/2012,AFX064022,42604,253,5.09,1322,383,2734.57,857.6,13.40618034,12.118088418276397,24.32849056,0.08432243131458445,8
32,Wisconsin,Lexington,41365,MS Sunstra 144110*,42240,244,1.19,817,343,4823.96,701.1,15.83404174,8.909110242518,25.08574935,0.7,2
33,Wisconsin,Lexington,8/9/2012,55H94,41890,228,9.47,1518,356,1856.67,736.0,21.83249899,-0.53,27.69341592,0.1343776815724939,2
34,Kentucky,Lexington,41730,MSSUNSTRA-C10*,9/16/2015,249,8.5,210,384,4351.33,729.7,5.53,9.526077062217748,27.289888,0.31620890746256763,1
35,Kentucky,Lexington,41730,FSG 424,41890,240,9.81,2225,402,4556.64,924.2,5.53,1.811386996646809,11.52009406,0.07,6
36,Wisconsin,Arlington,4/5/2016,vernal,42249,243,7.08,310,78,4274.38,343.4,21.41105448,0.3111528903038092,27.4998668,0.09385508986623133,1
37,Kentucky,Marshfield,41730,MSSUNSTRA-D11*,42240,251,9.29,1407,346,4773.31,343.8,12.82360336,-0.53,25.84174805,0.07,3
38,Kentucky,Lexington,4/5/2016,HYBRIFORCE-3400QR**,42247,255,6.41,364,384,4443.71,684.8,14.6274884,15.383114769788898,14.78572437,0.07974350464933973,1
39,Kentucky,Arlington,41365,Caliber,41890,248,3.54,462,394,4744.77,737.2,5.53,15.532834038477521,10.92,0.30228409277781737,6
40,Wisconsin,Lexington,41365,Caliber,41886,246,2.74,659,402,4333.24,794.2,17.49833424,0.2603357482485191,25.07444743,0.3315152335247198,1
41,Wisconsin,Marshfield,4/5/2016,AFXA 113010,42247,259,8.76,1622,396,4306.94,762.4,5.64970443,3.010035289584417,11.25018175,0.11290843163788764,8
42,Wisconsin,Arlington,41730,Evermore,8/12/2013,228,8.39,533,356,2513.59,1043.2,21.02306821,3.176165941164175,10.92,0.11440063726674649,2
43,Wisconsin,Marshfield,40664,55V50,41886,246,5.51,130,380,2577.39,672.4,19.67118648,12.734117665882545,27.69557765,0.42650504576754444,7
44,Kentucky,Arlington,40664,Phoenix,42249,231,4.69,248,402,2636.47,222.4,15.90017698,12.292083692964663,28.23499565,0.36279646836990664,8
45,Wisconsin,Lexington,41730,AFX064022,42240,243,9.7,130,352,4644.49,508.8,14.00095313,10.746491804832484,10.92,0.30155270299790715,3
46,Wisconsin,Lexington,41133,FSG 408 DP,8/20/2018,252,8.89,1518,396,3248.22,790.5,14.66765317,-0.53,20.617672,0.31450899407019084,5
47,Wisconsin,Marshfield,4/5/2016,FSG408DP,9/12/2018,247,6.91,130,363,2331.97,860.2,16.71539437,-0.34869221252648486,29.25310714,0.2579003944267992,4
48,Wisconsin,Marshfield,4/5/2016,Fierce,9/16/2015,248,8.1,1574,402,1903.84,888.2,23.79017857,4.1301896748739715,12.74759332,0.47999014218187636,5
49,Kentucky,Arlington,4/5/2017,55V50,41890,250,1.26,717,97,4403.0,692.4,8.23101965,13.699901903946166,13.3853638,0.2841041686124939,7
50,Wisconsin,Lexington,41730,X13-9202B,42251,248,7.76,293,390,4823.96,943.0,8.50517015,0.35085141888368065,11.5549696,0.07,1
51,Wisconsin,Arlington,41730,AM-14-900,9/14/2017,230,6.49,214,55,4347.27,459.3,9.76659634,-0.53,10.92,0.29972643179293096,1
52,Wisconsin,Arlington,41365,FSG 403LR,8/20/2018,248,9.11,1039,392,4547.36,1043.2,5.53,18.87832738,14.4955472,0.07,7
53,Wisconsin,Arlington,8/9/2012,VERNAL,41885,247,10.6,277,46,4597.65,396.4,5.53,-0.53,16.91327487,0.4376547172890501,8
54,Wisconsin,Lexington,41365,AFX103009,9/12/2018,242,9.11,132,386,4283.63,362.8,5.53,-0.53,10.98279691,0.11957475320926171,1
55,Wisconsin,Arlington,42095,Contender,42249,244,4.09,1591,380,4415.02,205.8,5.53,-0.53,29.25310714,0.321704977177107,8
56,Wisconsin,Lexington,8/9/2012,Contender,42613,230,2.77,333,367,3655.68,479.8,13.71661067,-0.53,14.67039914,0.30470915077185545,1
57,Wisconsin,Marshfield,41730,Rebound 6XT,9/12/2018,246,1.19,591,402,3516.23,850.1,14.46129364,11.148641143033746,29.25310714,0.3143808956676868,6
58,Kentucky,Arlington,42095,Saranac AR,9/12/2018,256,1.61,437,35,2549.81,1043.2,19.25318345,10.174962184815652,15.15427154,0.7,4
59,Kentucky,Lexington,41365,AM-14-900,9/15/2017,280,10.6,674,16,4633.33,937.8,5.53,15.57774372284813,10.92,0.35494279945681945,6
60,Kentucky,Lexington,3/31/2015,MS Sunstra 144142*,42604,250,10.22,2225,402,4132.55,109.7,5.53,-0.53,23.87040447,0.30903446365859966,2
61,Kentucky,Arlington,42095,Vernal,42613,246,10.6,130,371,4533.76,1043.2,13.8504039,-0.53,10.97926839,0.3008415547010543,3
62,Wisconsin,Marshfield,41730,MSSUNSTRA-D11*,41885,262,1.38,198,74,4353.25,696.4,19.09783439,-0.53,19.96310335,0.07,6
63,Wisconsin,Arlington,4/5/2016,55V50,9/13/2018,242,2.38,710,57,4682.59,816.5,6.90079087,0.12288707450940906,10.92,0.14123508955679479,2
64,Kentucky,Lexington,40664,AFX 103009,9/18/2014,244,5.0,1562,15,2710.38,988.3,16.44596436,11.366845287126342,27.78893392,0.26628254646983623,4
65,Wisconsin,Lexington,41730,AFX095023,42613,251,8.12,494,71,1856.67,1043.2,5.53,9.502982717547011,19.22130691,0.3082533245580936,6
66,Kentucky,Arlington,4/12/2018,LS 905,9/17/2015,256,8.4,323,360,4356.19,795.9,5.53,-0.53,12.90721674,0.1182342049023508,8
67,Wisconsin,Marshfield,41730,FSG 424,9/13/2018,247,7.62,359,341,4458.99,1036.1,5.53,-0.53,27.65530114,0.24685802048603162,8
68,Kentucky,Arlington,41730,55Q27,8/20/2018,246,2.37,1365,346,4292.91,768.8,5.53,9.646400495370317,10.92,0.08570696545645207,6
69,Wisconsin,Marshfield,8/9/2012,Arc,9/19/2016,236,6.6,1321,1,4457.6,786.6,5.53,12.63791616219676,29.25310714,0.2890753866734506,3
70,Wisconsin,Marshfield,42095,X13-9202B,8/12/2013,240,3.55,946,389,4192.32,850.6,5.53,-0.53,28.43315415,0.10696814825243786,8
71,Kentucky,Arlington,4/12/2018,MSSUNSTRA-C11*,42613,228,2.55,1528,368,4348.73,722.0,5.53,-0.53,24.51063144,0.28832834368103427,4
72,Wisconsin,Arlington,41365,LS 905,42251,248,4.04,354,348,4564.95,1043.2,5.53,11.693962122780492,26.92974386,0.29968417376978473,6
73,Kentucky,Lexington,4/5/2017,Mssunstra-C16,9/19/2016,260,8.2,238,350,4771.84,854.2,5.53,-0.53,19.25337583,0.07,6
74,Wisconsin,Arlington,8/9/2012,CW 085028,9/17/2015,243,7.06,1281,11,2392.8,1043.2,6.5073048,1.760716312856232,15.89008919,0.31512988489281735,1
75,Wisconsin,Marshfield,8/9/2012,Mssunstra-B10,42251,240,10.6,130,34,2708.72,839.8,8.43624762,3.1018877589116096,10.92,0.10220441117706724,8
76,Wisconsin,Lexington,4/12/2018,5312,41919,247,6.37,150,353,4761.31,700.2,15.94519844,-0.53,12.12101899,0.13674648600903339,3
