,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Lexington,4/5/2016,55H94,42240,241,2.81,219,338,2611.8,899.4,17.13847654,-0.53,11.82918101,0.07,8
1,Kentucky,Lexington,40664,GA-505,42251,259,5.43,602,383,4429.71,109.7,18.8538351,12.934281044451192,26.57501192,0.2512115644330464,7
2,Wisconsin,Lexington,41365, AFX 103009 ,9/19/2016,255,6.32,1298,332,2159.28,814.2,22.47944301,-0.2564071940254631,16.69589985,0.24575354597914348,5
3,Kentucky,Lancaster,41730,5312,41885,244,3.5,587,1,1859.03,109.7,21.47774026,11.65371635465181,27.17827562,0.23869262048258683,4
4,Kentucky,Lexington,41730,Ameristand 403T Plus,41885,252,8.09,412,381,2791.29,109.7,18.19996098,1.5738368716306894,29.25310714,0.07,7
5,Wisconsin,Lexington,41730,55V50,42243,270,2.32,130,68,4377.37,376.2,5.53,3.361487251217898,27.60235653,0.22210414483254126,1
6,Wisconsin,Arlington,41730,FSG408DP,8/12/2013,252,1.72,130,360,4440.18,729.9,21.10654443,-0.47259473903157256,26.31907173,0.07,3
7,Wisconsin,Arlington,41133,FSG 424,41919,240,3.94,613,65,4319.85,109.7,15.04948685,-0.53,25.91774121,0.07,1
8,Wisconsin,Marshfield,4/5/2017, AFX  095026* ,42247,251,5.94,1980,1,4572.93,792.8,16.68191187,17.980388194284288,20.95863904,0.07,6
9,Wisconsin,Arlington,42095,Saranac AR,42604,252,5.73,1613,389,2284.09,109.7,5.53,-0.53,24.08740106,0.07214926410444121,6
10,Wisconsin,Marshfield,41730,LANCER,9/14/2017,242,2.74,809,364,2746.0,728.8,5.70838589,13.979147150930425,22.20154897,0.07,5
11,Wisconsin,Arlington,41365,ONEIDA VR,42247,246,4.3,230,362,2443.84,716.9,5.53,6.127525297698816,21.06095718,0.07,5
12,Wisconsin,Lexington,41730,Vernal,42613,248,4.27,136,358,4093.95,788.2,7.6507825,13.016633601043264,22.7840325,0.2615652401867609,2
13,Wisconsin,Lexington,42095,Caliber,41919,249,4.77,268,55,2698.24,676.1,16.5633599,14.623710888933362,25.99931238,0.07,8
14,Kentucky,Lexington,41365,CW 065030,42240,258,1.25,1871,396,2260.35,726.4,20.18071419,14.574519727665656,26.61345469,0.30780934523942716,5
15,Wisconsin,Arlington,3/31/2015,Ameristand 403T Plus,41889,234,8.88,130,349,2554.59,639.7,23.79017857,-0.53,24.63936838,0.24465387087468266,6
16,Wisconsin,Lexington,41365,CW 065030,9/19/2016,254,5.66,759,365,2938.12,674.7,9.48496291,14.70889003061526,27.75618031,0.07,5
17,Wisconsin,Marshfield,3/31/2015,55Q27,42249,244,3.15,130,1,4210.04,671.9,22.21394299,1.3476053433095272,22.70917026,0.25982978815633523,6
18,Wisconsin,Lexington,41730,55Q27,9/14/2017,259,4.99,620,378,4489.14,670.6,19.36272187,14.356613487991286,20.90926489,0.07,8
19,Kentucky,Marshfield,8/9/2012,Evermore,41890,256,4.39,130,359,1856.67,499.1,10.01319815,11.433911507867549,27.70334264,0.21678837954380537,5
20,Wisconsin,Lancaster,3/31/2015, AFX  095026* ,42251,254,1.69,266,34,4429.34,618.7,14.0303203,11.231290545182983,20.08851064,0.23293976452213244,1
