State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
Georgia,Tifton,11/1/2007,TS 8031,11/20/2008,280,6.03,264,318,5320.75,643.4475153,20.58125727,15.692693,26.19026488,0.672213199
Georgia,Midville,2/21/2008,GA-505,11/17/2010,333,3.82,711,0,4679.45,599.974,22.71674641,15.692693,26.19026488,0.180691337
Georgia,Tifton,11/1/2007,Attention II,12/7/2009,329,5.43,563,192,5320.75,599.974,20.58125727,17.93699802,48.91021473,0.116674048
Georgia,Tifton,2/21/2008,PGI 909,11/20/2008,341,2.39,657,246,5320.75,599.974,20.58125727,24.28064266,41.88230765,0.116674048
Georgia,Tifton,11/1/2007,Attention II,11/20/2008,312,3.91,264,0,3841.49,828.7339306,20.58125727,15.692693,31.00351197,0.116674048
Georgia,Tifton,2/21/2008,BaraWet 501,12/7/2009,333,6.03,691,260,4742.94,730.5409431,20.58125727,15.692693,38.24727704,0.18790332
Georgia,Midville,11/1/2007,Attention II,11/11/2008,319,3.6,264,288,5233.3,701.4929502,24.89663552,23.57910338,26.19026488,0.204761252
Georgia,Tifton,2/21/2008,TS 8031,11/20/2008,341,2.27,558,102,3740.05,640.4890495,112.0683034,15.692693,33.07622644,0.116674048
Georgia,Tifton,2/21/2008,Attention II,11/17/2010,309,3.6,1000,364,4557.6,810.0881405,20.58125727,15.692693,36.32439571,0.116674048
Georgia,Midville,2/21/2008,Bara 503,8/14/2009,341,4.31,655,293,5320.75,1323.896,33.18935718,15.692693,26.19026488,0.546678422
Georgia,Tifton,11/1/2007,GA-505,11/11/2008,318,6.03,650,390,5320.75,704.8227811,22.93722929,15.692693,26.19026488,0.396056951
Georgia,Tifton,2/21/2008,Bulldog 805,11/11/2008,289,3.95,616,295,5319.2,599.974,20.58125727,15.692693,26.19026488,0.116674048
Georgia,Midville,2/21/2008,BaraWet 501,12/7/2009,339,3.62,740,264,5022.32,599.974,20.58125727,15.692693,26.19026488,0.183501135
Georgia,Midville,2/21/2008,BaraWet 501,11/11/2008,341,2.27,264,390,5320.75,599.974,20.58125727,34.27179713,26.19026488,0.12147991
Georgia,Tifton,2/21/2008,Bulldog 805,11/20/2008,303,6.03,1000,300,5250.35,1235.28397,20.58125727,15.692693,26.19026488,0.116674048
Georgia,Midville,11/1/2007,GA-505,11/17/2010,341,5.29,1000,330,4332.05,599.974,20.58125727,15.692693,113.6162368,0.116674048
Georgia,Midville,2/21/2008,Hybri Force 700,11/17/2010,341,2.27,559,278,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.187783639
Georgia,Midville,11/1/2007,CW 36106,8/14/2009,329,2.27,264,327,3783.05,645.6545084,118.1918912,105.9888866,87.23306278,0.116674048
Georgia,Midville,11/1/2007,GA-505,12/7/2009,288,3.95,600,364,5290.55,804.5964668,68.3901873,15.692693,26.19026488,0.606680081
Georgia,Midville,2/21/2008,Bulldog 805,11/11/2008,318,3.82,505,5,4041.42,1088.723402,138.9297511,105.9888866,51.461272,0.206050612
Georgia,Midville,2/21/2008,Hybri Force 600,11/20/2008,314,4.33,828,229,5320.75,761.5865413,20.58125727,15.692693,26.19026488,0.116674048
Georgia,Midville,2/21/2008,Attention II,8/14/2009,306,4.08,633,357,4490.51,736.589914,33.71451986,51.55445708,70.06091342,0.116674048
