,id_no,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,Georgia,Tifton,11/1/2007,BaraWet 501,12/7/2009,303,2.27,451,200,4730.5,1323.896,37.15217394,18.40464587163692,30.51136712,0.116674048
1,1,Georgia,Midville,11/1/2007,Bara 503,11/17/2010,315,2.27,551,390,4326.39,777.3992138344247,138.9297511,15.692692999999998,127.15620045,0.2432493454950586
2,2,Georgia,Midville,2/21/2008,PGI 909,12/7/2009,226,2.37,606,341,4246.6,679.8371867470772,26.62614285,45.81476220094786,26.19026488,0.116674048
3,3,Georgia,Tifton,2/21/2008,GA-505,8/14/2009,249,3.39,707,65,5043.28,806.3678609087555,138.9297511,15.8377016862923,115.29827247,0.116674048
4,4,Georgia,Tifton,2/21/2008,GA-505,8/14/2009,232,3.72,785,318,3676.25,656.5283903684065,138.9297511,32.93514649174925,176.8482793,0.116674048
5,5,Georgia,Tifton,11/1/2007,Hybri Force 700,8/14/2009,341,4.28,526,336,3622.51,1323.896,20.58125727,15.692692999999998,26.19026488,0.116674048
6,6,Georgia,Midville,2/21/2008,TS 8031,8/14/2009,280,2.27,544,390,3400.1,599.974,20.58125727,15.692692999999998,115.96545273,0.116674048
7,7,Georgia,Tifton,2/21/2008,BaraWet 501,11/20/2008,268,3.69,1000,91,5067.86,704.3547595331618,138.9297511,105.98888659999999,176.8482793,0.116674048
8,8,Georgia,Tifton,2/21/2008,Hybri Force 700,11/11/2008,341,3.26,726,390,4243.23,686.7279951226961,27.81033389,71.93987580657165,176.8482793,0.116674048
9,9,Georgia,Midville,2/21/2008,PGI 909,11/17/2010,341,2.27,1000,390,4173.84,662.9221003215408,24.90657601,26.290662202298392,106.69071843,0.116674048
10,10,Georgia,Tifton,11/1/2007,PGI 909,11/17/2010,303,2.27,455,390,3689.56,880.9540507227866,42.61671454,90.47495458741444,176.8482793,0.3307655350355119
11,11,Georgia,Tifton,2/21/2008,Bulldog 805,11/20/2008,341,2.27,1000,390,5320.75,1323.896,78.53100658,15.692692999999998,174.35915265,0.116674048
12,12,Georgia,Midville,2/21/2008,GA-505,8/14/2009,332,4.74,618,390,3595.48,599.974,20.58125727,15.692692999999998,90.10526842,0.20405046000597643
13,13,Georgia,Tifton,2/21/2008,Bara 503,12/7/2009,260,2.27,479,390,4052.14,622.2987266681716,111.25939526,21.560552075048587,135.54238874,0.116674048
14,14,Georgia,Tifton,2/21/2008,Attention II,12/7/2009,226,3.73,327,168,3400.1,1165.0214228696689,104.19634398,99.59821236956248,176.8482793,0.6366322377951721
15,15,Georgia,Tifton,11/1/2007,CW 36106,12/7/2009,248,6.03,771,45,3452.55,1323.896,34.52908103,67.26052393661598,176.8482793,0.27094207094374123
16,16,Georgia,Midville,2/21/2008,Hybri Force 600,12/7/2009,333,2.27,1000,231,3400.1,713.0490901828575,138.9297511,22.579757160101078,51.42137667,0.116674048
17,17,Georgia,Midville,2/21/2008,PGI 801,11/17/2010,341,3.43,408,251,3755.94,1323.896,52.05933401,30.297501096861858,26.19026488,0.2851845053026043
18,18,Georgia,Midville,11/1/2007,TS 8031,11/11/2008,226,3.0,816,2,3400.1,1243.3166994028368,20.58125727,15.692692999999998,176.8482793,0.116674048
19,19,Georgia,Midville,11/1/2007,BaraWet 501,12/7/2009,278,4.75,495,351,3990.5,776.5748147859128,138.9297511,22.754934305400738,176.8482793,0.17457795000446547
20,20,Georgia,Tifton,2/21/2008,BaraWet 501,8/14/2009,226,2.27,308,178,3538.01,1190.1279914363433,83.55722933,105.98888659999999,48.53073379,0.116674048
21,21,Georgia,Tifton,2/21/2008,Hybri Force 700,12/7/2009,226,4.04,626,376,4381.97,1035.2279825967803,97.71960497,17.456647334032482,26.19026488,0.3431882860415742
