,id_no,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,Georgia,Tifton,11/1/2007,PGI 801,11/11/2008,273,4.99,626,188,5067.08,1146.93532676771,20.58125727,105.98888659999999,26.19026488,0.116674048
1,1,Georgia,Tifton,2/21/2008,CW 36106,11/20/2008,341,6.03,795,0,4539.33,599.974,27.60786537,105.98888659999999,176.8482793,0.21211639787184455
2,2,Georgia,Tifton,2/21/2008,BaraWet 501,11/17/2010,341,2.74,707,67,4754.91,721.4613425247705,20.58125727,86.59771052358306,130.94192075,0.13763969693132702
3,3,Georgia,Tifton,2/21/2008,BaraWet 501,8/14/2009,226,3.79,789,0,5320.75,797.2580776744926,138.9297511,105.98888659999999,26.19026488,0.6722131990000001
4,4,Georgia,Midville,2/21/2008,Hybri Force 600,8/14/2009,244,5.87,557,0,4405.2,599.974,20.58125727,18.360011041489493,76.97554286,0.12370683549717945
5,5,Georgia,Midville,2/21/2008,Hybri Force 700,8/14/2009,314,5.02,510,390,3400.1,1262.4241849433663,24.05835603,32.77531053776927,94.82119405,0.116674048
6,6,Georgia,Tifton,11/1/2007,TS 8031,12/7/2009,257,3.67,674,380,3729.89,599.974,94.29322868,24.40735290583683,26.19026488,0.13623337335378943
7,7,Georgia,Tifton,2/21/2008,PGI 801,11/20/2008,269,4.29,692,266,4319.84,968.29606090027,138.9297511,33.87581010551736,176.8482793,0.6722131990000001
8,8,Georgia,Midville,11/1/2007,BaraWet 501,11/17/2010,341,5.13,763,204,3714.42,706.2620738805108,35.61108789,105.98888659999999,43.74565447,0.116674048
9,9,Georgia,Midville,11/1/2007,GA-505,11/17/2010,231,2.33,264,0,3894.95,1304.3430342761721,30.15091351,105.98888659999999,116.33040172,0.21503861621226528
10,10,Georgia,Tifton,2/21/2008,Hybri Force 600,11/11/2008,233,4.07,545,390,5121.95,817.1429327584729,138.9297511,86.31629777171457,26.19026488,0.14097746244120868
11,11,Georgia,Tifton,11/1/2007,Bulldog 805,12/7/2009,226,6.03,811,382,3407.31,1146.526908004641,20.58125727,15.692692999999998,39.32087795,0.116674048
12,12,Georgia,Midville,11/1/2007,GA-505,12/7/2009,246,4.7,264,390,3874.79,1323.896,44.39512222,78.70203415146611,26.19026488,0.16267513181464185
13,13,Georgia,Midville,2/21/2008,TS 8031,12/7/2009,255,6.03,404,281,4017.76,634.7024110437967,20.58125727,22.594481330371558,142.30752532,0.23338007258974736
14,14,Georgia,Midville,2/21/2008,CW 36106,11/17/2010,341,6.03,815,0,3677.14,1323.896,124.70462612,22.99353348484432,64.62917968,0.116674048
15,15,Georgia,Tifton,2/21/2008,GA-505,8/14/2009,297,2.68,520,140,4031.38,1323.896,27.60764396,24.05202974984148,26.19026488,0.116674048
16,16,Georgia,Midville,2/21/2008,TS 8031,11/11/2008,226,3.12,448,390,4304.42,934.3039439154358,92.55299644,105.4775900810332,176.8482793,0.5848685201747119
17,17,Georgia,Tifton,2/21/2008,Bara 503,8/14/2009,272,3.91,377,22,3405.54,599.974,137.88098646,15.692692999999998,152.50248785,0.20940838064599712
18,18,Georgia,Tifton,11/1/2007,Hybri Force 600,11/17/2010,333,5.17,661,86,4552.41,1116.683490057413,72.24405468,28.813030036413394,78.88945968,0.6000554716327967
19,19,Georgia,Midville,2/21/2008,Bulldog 805,8/14/2009,287,4.61,839,352,3400.1,712.7474897617361,31.02314235,15.692692999999998,113.29375219,0.15781889199575153
20,20,Georgia,Midville,2/21/2008,Bulldog 805,11/11/2008,280,4.79,1000,0,4116.42,599.974,53.32192466,15.692692999999998,28.99459979,0.5761377681124401
21,21,Georgia,Tifton,11/1/2007,GA-505,11/20/2008,226,6.03,1000,334,4292.76,1153.6135670910676,85.29703876,18.14662132845199,41.48399559,0.6722131990000001
22,22,Georgia,Midville,2/21/2008,Bulldog 805,8/14/2009,242,4.74,774,359,4145.47,1183.3766200386901,20.58125727,73.5194614058324,26.19026488,0.1656812934454091
23,23,Georgia,Midville,11/1/2007,Hybri Force 600,11/17/2010,253,6.03,757,257,4243.28,1192.9863891245527,20.58125727,105.98888659999999,50.80858523,0.16313203628461756
