,id_no,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,Georgia,Tifton,11/1/2007,Bara 503,8/14/2009,336,5.03,264,347,4817.21,617.21232950911,20.58125727,15.692692999999998,26.19026488,0.5926124879906713
1,1,Georgia,Tifton,11/1/2007,PGI 801,11/17/2010,341,5.97,984,324,4117.13,1323.896,26.23188095,105.98888659999999,26.19026488,0.1616150427597054
2,2,Georgia,Tifton,2/21/2008,GA-505,8/14/2009,239,5.49,587,390,5320.75,660.2274952878105,37.4982515,102.53873096365635,26.19026488,0.17403852855571383
3,3,Georgia,Tifton,2/21/2008,BaraWet 501,11/17/2010,298,5.18,264,203,4413.46,853.751920168899,35.41063514,22.043777951576594,26.19026488,0.20776823819881296
4,4,Georgia,Tifton,2/21/2008,Bara 503,11/20/2008,341,4.04,264,318,3400.1,1219.4143391503,32.19116446,21.077936013045203,98.12681774,0.12669889099010162
5,5,Georgia,Midville,2/21/2008,PGI 801,11/17/2010,330,4.61,598,250,5320.75,630.7525469399288,20.58125727,23.093619497022836,176.8482793,0.16929926870947243
6,6,Georgia,Tifton,2/21/2008,PGI 801,8/14/2009,336,5.23,264,390,4041.62,599.974,29.14987518,34.857916105450485,176.8482793,0.116674048
7,7,Georgia,Midville,2/21/2008,Bara 503,8/14/2009,341,2.67,264,155,5320.75,1201.6491829347299,30.74046961,105.98888659999999,39.70578888,0.116674048
8,8,Georgia,Tifton,11/1/2007,GA-505,12/7/2009,326,6.03,556,178,4161.91,643.4243071376169,20.58125727,22.930268944430075,26.19026488,0.6452521079443976
9,9,Georgia,Tifton,2/21/2008,Attention II,11/20/2008,329,3.18,547,293,5320.75,599.974,20.58125727,28.7558726078732,26.19026488,0.18429718800903108
10,10,Georgia,Tifton,11/1/2007,PGI 909,8/14/2009,281,4.41,1000,0,4982.22,688.5338102978184,22.50909745,24.10752895144391,26.19026488,0.116674048
11,11,Georgia,Tifton,2/21/2008,PGI 909,8/14/2009,331,5.35,577,303,5320.75,786.5978095929611,20.58125727,15.692692999999998,36.26096625,0.116674048
12,12,Georgia,Midville,11/1/2007,Attention II,11/11/2008,226,2.27,524,202,4228.48,599.974,37.13321335,15.692692999999998,26.19026488,0.18420178793821432
13,13,Georgia,Tifton,2/21/2008,Bulldog 805,11/20/2008,341,5.02,713,0,4532.93,811.4752905494082,23.02788109,15.692692999999998,58.58528444,0.16203111668829737
14,14,Georgia,Tifton,2/21/2008,TS 8031,12/7/2009,325,6.03,264,189,4302.66,619.3904931271029,44.28878862,25.621448356017304,36.50065539,0.116674048
15,15,Georgia,Midville,2/21/2008,PGI 801,11/11/2008,341,5.72,736,390,4552.88,769.1373261466105,20.58125727,32.951776899658256,26.19026488,0.31956656346661183
16,16,Georgia,Tifton,11/1/2007,Attention II,12/7/2009,341,4.73,264,390,4748.49,646.8358275379295,20.58125727,25.61431810494343,26.19026488,0.116674048
17,17,Georgia,Midville,2/21/2008,Hybri Force 700,11/11/2008,312,3.78,787,93,5280.55,621.9177421335171,22.52967834,105.98888659999999,26.19026488,0.2930283236838836
18,18,Georgia,Tifton,2/21/2008,Bara 503,11/17/2010,318,2.27,657,384,4551.23,599.974,67.34357445,24.384179193600556,122.11599888,0.22382719919969288
19,19,Georgia,Tifton,11/1/2007,GA-505,12/7/2009,239,5.99,535,295,4695.34,599.974,96.12059931,27.463766127995036,26.19026488,0.6722131990000001
20,20,Georgia,Tifton,2/21/2008,PGI 801,8/14/2009,341,2.71,575,216,4953.62,752.958557240732,20.58125727,23.49596294245043,26.19026488,0.19648845568104162
21,21,Georgia,Tifton,2/21/2008,Hybri Force 700,8/14/2009,341,6.03,641,0,5320.75,599.974,46.70447433,15.692692999999998,27.64931361,0.116674048
22,22,Georgia,Midville,2/21/2008,Bara 503,11/17/2010,294,2.27,264,354,4069.44,599.974,20.58125727,15.692692999999998,26.19026488,0.116674048
23,23,Georgia,Tifton,11/1/2007,Bulldog 805,8/14/2009,341,6.03,538,390,4513.53,599.974,20.58125727,15.692692999999998,36.80338718,0.25075358782906393
24,24,Georgia,Tifton,2/21/2008,Bara 503,11/11/2008,313,6.03,264,390,4175.04,1323.896,122.70871604,15.692692999999998,32.83770788,0.1526696094646228
25,25,Georgia,Tifton,2/21/2008,PGI 801,8/14/2009,341,5.35,594,310,3663.86,669.9920315568097,138.9297511,27.647054699832964,26.19026488,0.116674048
26,26,Georgia,Midville,2/21/2008,PGI 801,11/11/2008,310,5.07,507,0,4722.0,629.9294184354549,115.45769712,28.630458927941902,144.49324715,0.2268463818336707
27,27,Georgia,Tifton,2/21/2008,GA-505,8/14/2009,341,5.45,472,157,4548.33,635.7525018999577,21.05914114,21.50871384990249,26.19026488,0.475486977983382
