id_no,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,Georgia,Tifton,11/1/2007,Bulldog 805,11/11/2008,281,4.82,264,388,5320.75,1323.896,26.7978585,88.78554588,176.8482793,0.15134731
1,Georgia,Midville,2/21/2008,BaraWet 501,11/20/2008,341,3.89,1000,331,3838.12,677.7354253,42.8079737,15.692693,137.996042,0.116674048
2,Georgia,Tifton,2/21/2008,PGI 909,8/14/2009,331,5.61,264,390,4133.65,703.9712691,138.9297511,24.65039823,176.8482793,0.16822213
3,Georgia,Tifton,11/1/2007,Attention II,11/11/2008,267,2.45,776,0,5320.75,763.5492261,31.21807049,31.51965758,176.8482793,0.116674048
4,Georgia,Tifton,11/1/2007,Attention II,8/14/2009,226,2.55,509,253,3698.07,894.4117281,39.31320442,15.692693,118.1466935,0.116674048
5,Georgia,Tifton,2/21/2008,Attention II,11/17/2010,268,2.59,436,362,4969.4,1323.896,138.9297511,33.75895798,36.70975284,0.672213199
6,Georgia,Midville,11/1/2007,Attention II,8/14/2009,251,5.27,1000,390,5320.75,1323.896,37.80973085,15.692693,73.62129799,0.116674048
7,Georgia,Tifton,2/21/2008,Hybri Force 600,8/14/2009,341,4.67,371,390,3417.06,1323.896,138.9297511,20.12448101,26.19026488,0.22252128
8,Georgia,Tifton,2/21/2008,Bulldog 805,11/17/2010,321,4.09,1000,390,4283.74,907.7284443,44.09840899,34.61593191,34.53199979,0.672213199
9,Georgia,Midville,2/21/2008,Attention II,8/14/2009,341,4.91,1000,378,5320.75,1246.821046,48.15736137,79.41273344,176.8482793,0.116674048
10,Georgia,Tifton,11/1/2007,Attention II,11/17/2010,341,2.97,1000,45,4007.51,1323.896,20.58125727,32.8365992,148.5432545,0.116674048
11,Georgia,Midville,2/21/2008,Attention II,8/14/2009,341,2.27,781,251,5320.75,632.2697165,107.8015191,33.41045405,176.8482793,0.116674048
12,Georgia,Tifton,2/21/2008,PGI 801,12/7/2009,341,3.04,470,390,4101.91,601.1143804,131.7050832,19.77548978,176.8482793,0.16385405
13,Georgia,Tifton,2/21/2008,Bulldog 805,11/11/2008,328,4.62,713,220,3820.47,813.200299,27.32393173,105.9888866,26.19026488,0.116674048
14,Georgia,Midville,11/1/2007,PGI 801,11/17/2010,263,2.27,604,390,5320.75,1102.48343,20.58125727,20.06589965,99.37022916,0.116674048
15,Georgia,Tifton,2/21/2008,PGI 801,11/11/2008,290,3.34,721,390,5320.75,1323.896,36.80765049,33.7141695,168.9686662,0.122577612
16,Georgia,Tifton,2/21/2008,Bulldog 805,11/11/2008,331,2.27,432,390,3400.1,661.2385154,32.1808686,68.09460621,176.8482793,0.413929933
17,Georgia,Midville,2/21/2008,Bulldog 805,11/20/2008,337,2.27,796,10,5168.54,909.6914422,20.58125727,76.61744441,77.9479951,0.116674048
