,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,Georgia,Tifton,11/1/2007,TS 8031,11/20/2008,280,6.03,264,318,5320.75,643.4475153164464,20.58125727,15.692692999999998,26.19026488,0.6722131990000001
1,Georgia,Midville,2/21/2008,GA-505,11/17/2010,333,3.82,711,0,4679.45,599.974,22.71674641,15.692692999999998,26.19026488,0.18069133706199997
2,Georgia,Tifton,11/1/2007,Attention II,12/7/2009,329,5.43,563,192,5320.75,599.974,20.58125727,17.93699801742132,48.91021473,0.116674048
3,Georgia,Tifton,2/21/2008,PGI 909,11/20/2008,341,2.39,657,246,5320.75,599.974,20.58125727,24.28064265820302,41.88230765,0.116674048
4,Georgia,Tifton,11/1/2007,Attention II,11/20/2008,312,3.91,264,0,3841.49,828.7339305649484,20.58125727,15.692692999999998,31.00351197,0.116674048
5,Georgia,Tifton,2/21/2008,BaraWet 501,12/7/2009,333,6.03,691,260,4742.94,730.5409431205973,20.58125727,15.692692999999998,38.24727704,0.18790332011109373
6,Georgia,Midville,11/1/2007,Attention II,11/11/2008,319,3.6,264,288,5233.3,701.4929501534677,24.89663552,23.579103382797772,26.19026488,0.20476125240890986
7,Georgia,Tifton,2/21/2008,TS 8031,11/20/2008,341,2.27,558,102,3740.05,640.4890494783112,112.06830343,15.692692999999998,33.07622644,0.116674048
8,Georgia,Tifton,2/21/2008,Attention II,11/17/2010,309,3.6,1000,364,4557.6,810.0881405045693,20.58125727,15.692692999999998,36.32439571,0.116674048
9,Georgia,Midville,2/21/2008,Bara 503,8/14/2009,341,4.31,655,293,5320.75,1323.896,33.18935718,15.692692999999998,26.19026488,0.5466784217691566
10,Georgia,Tifton,11/1/2007,GA-505,11/11/2008,318,6.03,650,390,5320.75,704.8227811229605,22.93722929,15.692692999999998,26.19026488,0.396056951463422
11,Georgia,Tifton,2/21/2008,Bulldog 805,11/11/2008,289,3.95,616,295,5319.2,599.974,20.58125727,15.692692999999998,26.19026488,0.116674048
12,Georgia,Midville,2/21/2008,BaraWet 501,12/7/2009,339,3.62,740,264,5022.32,599.974,20.58125727,15.692692999999998,26.19026488,0.18350113477190955
13,Georgia,Midville,2/21/2008,BaraWet 501,11/11/2008,341,2.27,264,390,5320.75,599.974,20.58125727,34.27179712692157,26.19026488,0.12147990956650204
14,Georgia,Tifton,2/21/2008,Bulldog 805,11/20/2008,303,6.03,1000,300,5250.35,1235.283970328771,20.58125727,15.692692999999998,26.19026488,0.116674048
15,Georgia,Midville,11/1/2007,GA-505,11/17/2010,341,5.29,1000,330,4332.05,599.974,20.58125727,15.692692999999998,113.61623678,0.116674048
16,Georgia,Midville,2/21/2008,Hybri Force 700,11/17/2010,341,2.27,559,278,5320.75,1323.896,20.58125727,15.692692999999998,26.19026488,0.18778363883515506
17,Georgia,Midville,11/1/2007,CW 36106,8/14/2009,329,2.27,264,327,3783.05,645.6545084484143,118.19189121,105.98888659999999,87.23306278,0.116674048
18,Georgia,Midville,11/1/2007,GA-505,12/7/2009,288,3.95,600,364,5290.55,804.5964667527668,68.3901873,15.692692999999998,26.19026488,0.6066800814442317
19,Georgia,Midville,2/21/2008,Bulldog 805,11/11/2008,318,3.82,505,5,4041.42,1088.7234024372449,138.9297511,105.98888659999999,51.461272,0.20605061162199564
20,Georgia,Midville,2/21/2008,Hybri Force 600,11/20/2008,314,4.33,828,229,5320.75,761.5865413401372,20.58125727,15.692692999999998,26.19026488,0.116674048
21,Georgia,Midville,2/21/2008,Attention II,8/14/2009,306,4.08,633,357,4490.51,736.5899140002914,33.71451986,51.55445707515426,70.06091342,0.116674048
22,Georgia,Tifton,2/21/2008,GA-505,11/17/2010,333,4.24,536,352,4570.26,821.7564186535012,20.58125727,15.692692999999998,26.19026488,0.13003150303994895
23,Georgia,Tifton,11/1/2007,Attention II,8/14/2009,313,2.27,264,113,5320.75,599.974,20.58125727,15.692692999999998,176.8482793,0.116674048
24,Georgia,Midville,2/21/2008,Attention II,11/11/2008,341,4.21,397,315,3979.52,599.974,20.58125727,30.405377820215246,28.40827529,0.116674048
25,Georgia,Midville,11/1/2007,Attention II,11/17/2010,339,4.59,264,193,4041.11,599.974,20.58125727,15.692692999999998,176.8482793,0.1700703228850241
26,Georgia,Tifton,2/21/2008,TS 8031,11/11/2008,298,2.27,425,0,5320.75,599.974,111.22048829,25.34117869992327,27.23443586,0.116674048
27,Georgia,Midville,2/21/2008,CW 36106,11/11/2008,306,4.08,560,232,3917.81,599.974,20.58125727,105.98888659999999,26.19026488,0.25693305209568473
28,Georgia,Midville,11/1/2007,GA-505,8/14/2009,264,4.34,1000,289,5320.75,702.7399462775368,24.4885562,95.9639231281821,39.41810426,0.6118475457735697
29,Georgia,Midville,2/21/2008,GA-505,11/20/2008,318,6.03,633,355,5320.75,599.974,20.58125727,72.76583154510325,26.19026488,0.116674048
30,Georgia,Midville,2/21/2008,GA-505,8/14/2009,341,4.89,546,390,5320.75,669.0932824157385,20.58125727,15.692692999999998,26.19026488,0.2859088206124898
31,Georgia,Tifton,2/21/2008,BaraWet 501,12/7/2009,333,2.27,762,320,5156.49,682.4751879941484,20.58125727,15.692692999999998,26.19026488,0.116674048
32,Georgia,Tifton,11/1/2007,Hybri Force 600,11/17/2010,341,3.58,737,310,4617.53,599.974,22.70693292,61.437273762680384,116.00915044,0.17169067455523307
33,Georgia,Tifton,2/21/2008,BaraWet 501,11/11/2008,328,2.75,483,390,4377.48,609.553546149655,20.58125727,103.59707758129778,26.19026488,0.23583303682709858
34,Georgia,Tifton,2/21/2008,Attention II,8/14/2009,330,3.41,920,0,4730.72,599.974,98.45854441,19.559259227478154,26.19026488,0.116674048
35,Georgia,Tifton,2/21/2008,Hybri Force 600,11/17/2010,272,2.92,671,0,5320.75,626.5407537676932,59.24726828,20.95253062104155,26.19026488,0.116674048
36,Georgia,Tifton,2/21/2008,Bara 503,11/20/2008,226,3.27,291,390,5320.75,599.974,71.88537802,15.692692999999998,26.19026488,0.4179355467644811
37,Georgia,Midville,11/1/2007,CW 36106,11/11/2008,333,4.33,264,390,4766.0,601.0814251210841,46.71464014,15.692692999999998,26.19026488,0.20700914672359255
38,Georgia,Tifton,2/21/2008,PGI 801,11/11/2008,331,6.03,618,389,5320.75,632.2020828175805,20.58125727,15.692692999999998,26.19026488,0.470062490500851
39,Georgia,Midville,11/1/2007,Bara 503,11/17/2010,322,3.34,596,366,4013.51,599.974,20.58125727,93.82799796034605,26.19026488,0.4524239690190712
40,Georgia,Tifton,2/21/2008,Hybri Force 600,11/11/2008,325,5.41,726,365,5308.93,800.4664642619991,20.58125727,15.692692999999998,26.19026488,0.116674048
41,Georgia,Midville,2/21/2008,CW 36106,8/14/2009,341,5.65,1000,236,5320.75,599.974,20.58125727,15.692692999999998,26.19026488,0.16154924049903777
42,Georgia,Tifton,2/21/2008,PGI 801,11/20/2008,334,4.33,812,390,5320.75,871.2350138063351,20.58125727,15.692692999999998,26.19026488,0.33484125218286126
43,Georgia,Midville,2/21/2008,CW 36106,11/17/2010,315,3.22,377,390,5320.75,633.5846524552724,20.58125727,15.692692999999998,26.19026488,0.6722131990000001
