,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,1117,Kentucky,Lexington,8/9/2012,Saranac AR,6/11/2018,161,1.03,1045,33,702.22,134.1,22.37828692562437,17.693961667166477,27.21243798817001,0.2790566319310908,0,0,93.3175626860256,,1
1,1034,Kentucky,Lexington,8/9/2012,Caliber,9/18/2014,259,0.89,696,34,638.79,105.4,23.214458051108238,17.175116539206417,27.512145116806778,0.2732999027114823,0,0,97.29634357927773,,1
2,1282,Kentucky,Lexington,8/9/2012,Saranac AR,9/15/2017,257,0.36,1937,37,696.46,189.8,23.68029189167507,16.221377291248704,27.93430981908203,0.279118041534063,0,0,73.53592688711188,,0
3,1264,Kentucky,Lexington,8/9/2012,Phoenix,8/8/2017,222,0.85,1973,32,673.47,124.7,23.11486040000613,17.563941543042386,27.431209001738065,0.2736397671361997,0,0,79.65404806674859,,0
4,1329,Kentucky,Lexington,8/9/2012,Saranac AR,5/6/2016,126,1.94,1563,222,801.02,238.4,12.261353825867772,7.185855598606382,16.98145889421619,0.26757432622051636,0,1,100.0,,1
5,1070,Kentucky,Lexington,8/9/2012,GA-505,8/12/2013,224,1.65,528,30,669.56,143.9,23.248939057456617,18.7167372591724,27.778673502893014,0.32824418077677525,0,0,98.80006719140796,,1
6,1219,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,261,0.28,89,32,818.15,123.5,22.77898393906615,18.437125175240393,27.56810889410256,0.26186646468216873,1,0,90.96054902258234,,0
7,897,Kentucky,Lexington,8/9/2012,Phoenix,5/6/2016,125,1.48,1375,237,725.89,159.9,13.375834796564702,7.558485778605634,18.404149844953754,0.31481868456385526,0,1,89.65572103669945,,1
8,1679,Kentucky,Lexington,4/5/2017,NF11ALF006,7/8/2017,259,0.45,356,32,981.54,113.4,22.809027277900572,18.043701104846168,26.88472584752617,0.25826040434715475,1,0,94.6158573630376,,0
9,1323,Kentucky,Lexington,8/9/2012,Saranac AR,7/13/2016,196,0.97,1145,32,766.84,145.8,22.67069253463544,18.788515002818347,27.44939543191115,0.2582819391623769,0,0,90.65104605280939,,1
10,850,Kentucky,Lexington,8/9/2012,Caliber,9/18/2014,259,1.07,781,34,604.45,109.8,23.98887809841988,17.707191158926776,27.774318595368218,0.28859974716366565,0,0,98.15568570907972,,1
