,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,1449,Kentucky,Lexington,4/5/2016,Caliber,8/8/2017,221,1.75,388,32,699.53,97.4,23.302398917022526,17.735543654611064,27.61737927315244,0.2630497534310158,0,0,92.29426125614364,,1
1,1295,Kentucky,Lexington,8/9/2012,Saranac AR,5/2/2017,127,1.76,727,31,853.29,126.2,23.39199025621693,17.997249145705965,28.02379779491926,0.27072298814610496,0,0,91.07829515913616,,1
2,1679,Kentucky,Lexington,4/5/2016,NF11ALF006,6/13/2018,162,1.26,643,34,774.36,121.8,22.332038407105745,17.513689623246094,27.271064369583712,0.26928868191438704,0,0,91.33492472909779,,1
3,1558,Kentucky,Lexington,4/5/2016,NF11ALF006,8/13/2018,223,0.82,481,36,676.69,137.3,23.001212385081548,18.4031127209449,28.02550561483011,0.2625357377163607,0,0,94.26792973134914,,0
4,1305,Kentucky,Lexington,8/9/2012,Caliber,5/2/2017,124,1.51,1581,232,716.8,94.2,13.51024923331454,6.885596492127495,17.73050869975914,0.26253951044251517,0,1,91.85403379896904,,1
5,852,Kentucky,Lexington,8/9/2012,Caliber,9/16/2015,257,0.53,1049,31,600.39,125.0,22.813396644945936,15.565259887792955,27.26199281987801,0.2170986497323634,0,0,98.02893914832079,,0
6,1236,Kentucky,Lexington,8/9/2012,GA-ALFG-1,8/13/2015,189,0.8,1677,33,626.53,121.6,23.880254716364536,19.003286988058672,29.90691986254223,0.32379347911107237,0,0,73.93904430669821,,0
7,1538,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,9/13/2018,257,0.6,491,35,476.88,91.1,23.705362419362608,18.106784544210832,28.260588977711357,0.2827172211736572,0,0,89.65596055569675,,0
8,1057,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,228,0.61,571,30,674.7,130.0,23.701987648303945,20.435642231676855,29.935160627078904,0.2619513310413426,0,0,93.64829207341334,,0
9,1453,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,7/10/2018,191,0.85,887,31,616.39,97.4,24.331612095003486,20.98888889,29.649785857161824,0.25101205798414566,0,0,94.27184193543393,,0
