,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,1125,Kentucky,Lexington,8/9/2012,Caliber,6/11/2015,162,1.34,427,35,676.83,117.8,19.50736516783654,14.25195805428364,24.43027490075879,0.2660740885778868,0,0,92.24900231202834,,1
1,939,Kentucky,Lexington,8/9/2012,GA-ALFG-1,8/13/2015,192,1.38,1207,31,706.42,101.7,23.291471786831142,18.515437190239194,28.62258504778869,0.3196483732593183,0,0,92.2096096428686,,1
2,1593,Kentucky,Lexington,4/5/2016,Caliber,5/6/2016,128,1.62,850,220,787.76,101.4,12.075937500465715,6.271524090628264,18.69984658216499,0.2650456570316855,0,0,90.26229463160641,,1
3,964,Kentucky,Lexington,8/9/2012,55V50,7/16/2015,194,1.63,1396,34,641.41,153.4,23.775769776339747,20.98888889,27.898738210311823,0.3183615665692059,0,0,99.1815797801196,,1
4,1182,Kentucky,Lexington,3/31/2015,Saranac AR,7/8/2017,224,0.49,317,33,657.68,174.0,22.667824131514983,18.370729765224908,27.92820947679875,0.2610996287299024,0,0,92.14583757102567,,0
5,975,Kentucky,Lexington,8/9/2012,Caliber,8/15/2014,260,0.63,89,30,476.88,98.7,23.241970341798876,14.964947032779964,27.66307884598745,0.20573529399999999,0,0,97.17614773011726,,0
6,1573,Kentucky,Lexington,8/9/2012,Caliber,7/8/2017,192,1.16,471,28,476.88,152.1,23.171892708256944,18.08059124597911,27.299560895750446,0.3139837983781579,0,0,94.11929520362392,,1
7,973,Kentucky,Lexington,8/9/2012,GA-505,5/10/2018,194,0.96,138,103,1058.78,333.7,12.073734154127152,7.458514891674867,18.039640582474163,0.34412939222875555,0,1,99.48269565811721,,1
8,971,Kentucky,Lexington,8/9/2012,CW 085028,7/16/2015,196,1.59,984,30,620.62,71.4,24.009973567754606,18.338406466915295,28.05059108189977,0.3198168080423881,0,0,99.18751834704437,,1
9,1139,Kentucky,Lexington,8/9/2012,Saranac AR,8/8/2017,223,0.99,1687,28,696.35,97.9,23.639137157442295,17.340649529204086,29.693811082827693,0.2738543127687367,0,0,91.88494050853211,,0
10,1639,Kentucky,Lexington,4/5/2016,Contender,6/13/2018,164,0.88,817,32,797.41,113.6,23.26189115382661,18.09513490576078,27.50357634583364,0.2749100574313253,0,0,95.9261404435473,,1
11,1542,Kentucky,Lexington,4/5/2016,Contender,6/13/2018,127,1.65,784,33,743.96,100.6,23.082979015684966,18.265773850417414,27.511002130296802,0.26159745520490985,0,0,93.84227637640551,,1
12,1033,Kentucky,Lexington,8/9/2012,Phoenix,8/13/2015,195,1.88,1407,33,873.51,175.0,23.247046182254778,18.48092047997867,28.642723019833863,0.3303169412927149,0,0,93.65835026570359,,1
13,911,Kentucky,Lexington,8/9/2012,Saranac AR,8/13/2018,223,0.87,1918,33,708.46,116.5,23.03645622728616,17.69442929189301,28.24729577488374,0.26192395948315317,0,0,70.69375430159178,,1
14,962,Kentucky,Lexington,3/31/2015,Saranac AR,9/12/2018,258,0.83,1240,29,480.13,128.3,22.182810968674104,15.272284052800098,27.537448652673305,0.3105103058616239,0,0,93.71449130670796,,0
15,899,Kentucky,Lexington,8/9/2012,Phoenix,6/10/2014,162,1.33,845,31,634.84,131.9,19.63816455955357,12.89064914345074,24.921848425516828,0.3202013792988513,0,0,96.4831001717685,,1
16,1005,Kentucky,Lexington,8/9/2012,Caliber,11/16/2012,132,1.01,89,93,810.55,214.0,11.857807602473146,6.768438103514868,16.88107683461946,0.34100353051161997,0,1,98.43378180004302,,1
17,902,Kentucky,Lexington,8/9/2012,GA-505,7/12/2013,159,1.53,476,36,805.64,99.2,23.345437090213753,17.31812964894752,27.487021983453158,0.29413998704780486,0,0,98.87887068877171,,1
18,979,Kentucky,Lexington,8/9/2012,Caliber,6/10/2014,160,1.14,464,31,626.07,115.5,19.326029412818365,15.510089537048238,24.7108057291539,0.32778123239106216,0,0,95.53295153736474,,1
19,1208,Kentucky,Lexington,3/31/2015,Saranac AR,6/13/2018,162,0.96,1325,34,834.6,100.5,22.44640706342685,18.23950104039613,26.97103637154174,0.26597126359217776,0,0,93.48256187983706,,1
20,1190,Kentucky,Lexington,8/9/2012,Saranac AR,5/10/2018,127,1.71,2061,36,612.99,101.4,18.9574826667962,13.330771651864449,24.521927697547195,0.3756166019315783,0,0,94.67647322791123,,1
21,971,Kentucky,Lexington,8/9/2012,Caliber,11/16/2012,162,1.03,243,34,601.39,107.5,11.474303434049013,14.115225318560874,16.655485429139997,0.3739046808652542,0,1,97.21185405913457,,1
22,1585,Kentucky,Lexington,4/5/2017,NF11ALF006,8/17/2017,227,0.64,151,35,789.9,118.8,22.79201876569604,17.73892467043313,27.823677837730234,0.287504223426721,0,0,91.6508552372615,,1
23,1519,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,8/13/2018,224,0.86,428,36,672.91,211.8,22.965544511955812,18.116268401387597,27.746254174542763,0.2734891797896391,0,0,85.52242814678951,,0
24,975,Kentucky,Lexington,8/9/2012,Caliber,8/13/2015,260,0.8,1090,31,555.27,100.1,20.112953002583996,15.518860276455989,24.94098677484944,0.30899632650539555,0,0,92.74194917354706,,0
25,822,Kentucky,Lexington,8/9/2012,Phoenix,8/12/2013,226,0.67,1494,31,666.77,166.3,23.202103441492643,19.056784401186064,28.009071570460613,0.3167228947939104,0,0,96.17848201811178,,0
26,987,Kentucky,Lexington,8/9/2012,Saranac AR,8/15/2014,261,0.57,1003,32,683.16,169.3,21.831407746547413,12.995273755438948,26.921419960286226,0.3312530155315566,0,0,91.37909684567803,,0
27,1067,Kentucky,Lexington,8/9/2012,55V50,5/13/2013,130,1.92,292,27,571.04,180.5,13.201511720820353,8.139374234543869,18.601218679891886,0.3155827907854408,0,0,99.04305380200749,,1
28,927,Kentucky,Lexington,8/9/2012,Caliber,8/14/2015,196,0.64,89,110,569.13,49.2,23.342203983623985,17.930297736245315,28.49193923848454,0.23967257406863818,1,0,96.87301825340171,,0
29,1063,Kentucky,Lexington,8/9/2012,Phoenix,8/13/2015,225,0.65,1460,32,639.89,107.1,23.7394419454641,19.193823442335482,27.969030008722495,0.3178210094768312,0,0,77.05841122704145,,0
