,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,1055,Kentucky,Lexington,8/9/2012,Caliber,9/18/2014,195,1.02,417,35,683.84,198.4,23.055371083891757,17.7483601747213,26.851904622613915,0.2654308978293799,0,0,91.95167127744246,,1
1,1618,Kentucky,Lexington,4/5/2016,Evermore,8/14/2015,193,0.27,115,29,615.39,100.1,23.079643460767336,18.161666137598772,27.73978771321624,0.3195116755576506,0,0,94.26370127150807,,0
2,1679,Kentucky,Lexington,4/5/2016,NF11ALF006,8/8/2017,222,0.88,759,33,640.26,87.3,23.377307398872837,18.915318674593635,29.180594071131537,0.26201853234357586,0,0,89.13898926262252,,1
3,908,Kentucky,Lexington,8/9/2012,Evermore,11/16/2012,132,0.73,457,198,519.71,240.0,12.257647289364897,6.4418854397557155,16.30970960920049,0.3434924217691517,0,1,94.39774549954886,,0
4,1305,Kentucky,Lexington,8/9/2012,Saranac AR,5/10/2018,126,0.77,1718,216,847.39,120.2,12.478300451674828,6.806910250940848,16.661702959146247,0.3736936302573527,0,1,75.67077254462062,,0
5,995,Kentucky,Lexington,8/9/2012,GA-ALFG-1,6/11/2015,258,0.51,1207,32,651.58,97.0,19.461088112189184,15.802438755162518,24.20265400722477,0.33635828292289954,0,0,94.44223720221957,,1
6,943,Kentucky,Lexington,8/9/2012,4030,6/12/2013,162,1.72,358,33,614.51,123.9,19.151327624426475,13.767367183769226,24.289918477671726,0.3318685876080431,0,0,95.91641364964804,,1
7,1679,Kentucky,Lexington,4/5/2016,Contender,7/10/2018,258,0.54,449,31,551.95,139.4,23.20855762628773,18.84973347083643,27.57659930972037,0.3279524222992518,0,0,91.80751583759671,,0
8,1018,Kentucky,Lexington,8/9/2012,Radiance HD,6/11/2015,162,1.29,1052,33,662.99,119.4,19.636423878491705,14.750728505085997,24.43935565191698,0.30327583052262047,0,0,93.89694983535945,,1
9,950,Kentucky,Lexington,8/9/2012,Radiance HD,7/13/2016,192,1.74,1855,36,733.4,304.6,23.819606464176523,6.034310584842773,17.951192082706847,0.2701017266977478,0,0,94.9147330022464,,1
10,1102,Kentucky,Lexington,3/31/2015,Caliber,9/19/2016,257,0.7,582,35,690.02,88.0,23.894411768728574,18.205870302674093,27.975828435229136,0.20573529399999999,0,0,93.76982898348992,,0
11,1235,Kentucky,Lexington,8/9/2012,Saranac AR,5/2/2017,122,1.68,1772,222,895.01,165.6,13.189550819222786,6.56353195926916,17.039994281365487,0.3691440907485793,0,1,73.27730188767185,,1
12,1361,Kentucky,Lexington,3/31/2015,Caliber,7/16/2015,196,1.76,309,33,882.16,318.3,22.681878606340852,17.65137269769596,28.053888523674082,0.2637117248577714,1,1,94.57486276250343,,1
13,1419,Kentucky,Lexington,4/5/2016,Saranac AR,8/8/2017,225,1.74,430,32,660.95,114.4,23.042752908668206,17.82873125518771,28.47625650607226,0.25612044521585126,0,0,87.3623387831413,,1
14,1005,Kentucky,Lexington,8/9/2012,Caliber,9/16/2013,260,0.86,411,33,725.24,82.0,22.40754725684851,18.17994747165072,27.413353060733098,0.266324894326566,0,0,96.95900541835782,,0
15,861,Kentucky,Lexington,8/9/2012,Ameristand 403T,9/16/2015,259,0.58,1017,32,596.98,109.7,22.541774964113728,18.74715220674466,28.63394514248297,0.2258398298358282,0,0,98.30600745940663,,0
16,1448,Kentucky,Lexington,8/9/2012,Saranac AR,5/10/2018,131,1.08,701,32,732.71,230.5,22.475946593173415,18.612572738098333,18.307858572413416,0.3770731747187212,0,0,92.3498879398085,,1
17,1386,Kentucky,Lexington,8/9/2012,Arc,8/13/2018,258,0.76,2206,32,669.53,87.7,23.446414059648433,18.256288203616204,28.002942345631904,0.2702624201555489,0,0,66.73839001080147,,0
18,926,Kentucky,Lexington,8/9/2012,Arc,9/19/2016,264,0.54,1158,33,693.17,99.2,23.778045748763375,17.435554067279444,28.098745964548005,0.2963152535322865,0,0,91.55824251206057,,0
19,1069,Kentucky,Lexington,8/9/2012,CW 085028,7/16/2015,196,1.59,1017,33,684.0,346.2,24.08451340542381,18.151410657298005,27.579333034485085,0.31773347264970686,0,0,92.3589260194043,,1
20,1394,Kentucky,Lexington,3/31/2015,Saranac AR,8/13/2018,226,1.05,417,35,717.01,89.0,22.71151489011125,17.473997905884,28.47851644184456,0.27030195178889566,0,0,94.32369723718058,,1
21,897,Kentucky,Lexington,8/9/2012,4030,9/15/2017,255,1.15,966,31,611.0,89.9,18.738152862547228,14.65357692509152,25.003919426300957,0.2935776762185311,0,0,92.0653637294203,,0
22,1021,Kentucky,Lexington,8/9/2012,Arc,5/6/2016,126,1.12,2225,222,797.34,120.4,12.680477531038143,7.379261250152476,17.06609992372692,0.34382601513281774,0,1,75.12185385085908,,1
23,860,Kentucky,Lexington,8/9/2012,Caliber,6/11/2015,193,1.15,453,34,676.85,152.7,23.029467225043277,18.203275658991807,27.642123954384672,0.2710276979668251,0,0,98.11695096585254,,1
24,1278,Kentucky,Lexington,3/31/2015,Saranac AR,7/10/2018,257,0.67,1902,27,559.48,116.1,24.265950130351975,20.98888889,29.144027514852016,0.32353772095801503,0,0,68.4713670044166,,0
25,1601,Kentucky,Lexington,8/9/2012,Saranac AR,7/10/2018,125,0.77,833,29,778.66,214.8,23.544739443834377,6.2597575183791925,17.218590366255302,0.3487264144573518,0,1,96.31481504147536,,0
26,1585,Kentucky,Lexington,4/5/2016,Contender,8/8/2017,193,1.21,339,34,697.77,130.8,22.960873500865098,18.790417179256007,27.540600672535927,0.2459275251263546,0,0,97.16228452714257,,1
27,902,Kentucky,Lexington,3/31/2015,Saranac AR,7/8/2017,256,0.5,101,32,695.02,176.4,22.09571014644001,17.54890203357462,27.48673322328112,0.2801964266238525,0,0,88.74060567441656,,0
