,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,1515,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,9/15/2017,126,1.19,384,247,714.96,104.9,12.413448909120724,6.2699295737730845,18.025883616977875,0.27090086672804187,0,0,92.05034307624028,,1
1,947,Kentucky,Lexington,8/9/2012,Caliber,8/18/2016,229,0.99,1233,35,680.66,179.8,23.913259258574236,20.151484010657825,30.45,0.3114230465047536,0,0,90.87139086410481,,1
2,1451,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,258,0.42,616,32,670.86,65.9,23.120274203627588,17.780352664751565,28.916037397323045,0.27771797468133286,0,0,93.06251410105472,,0
3,1333,Kentucky,Lexington,8/9/2012,Saranac AR,9/12/2018,257,0.73,1955,30,503.21,125.8,23.305800839522153,18.606939940500332,27.74544546922917,0.2928033213678023,0,0,72.69816463057606,,0
4,1524,Kentucky,Lexington,4/5/2017,Saranac AR,5/10/2018,128,0.67,145,236,767.65,230.8,11.515424293775348,5.64108922447512,16.8472759057533,0.33798708448314146,1,1,92.45091163366709,,0
5,910,Kentucky,Lexington,8/9/2012,Ameristand 403T,8/12/2013,227,0.98,1493,32,584.59,101.4,23.00240436577322,17.901244724501545,28.238901718788934,0.3094945890261602,0,0,98.0424850755279,,0
6,1428,Kentucky,Lexington,8/9/2012,Saranac AR,9/16/2015,257,0.54,754,34,680.64,74.9,21.579151729539234,14.831802431275603,27.156753267751462,0.20573529399999999,0,0,94.67940858647641,,0
7,1211,Kentucky,Lexington,8/9/2012,Saranac AR,6/11/2018,160,1.02,651,29,681.88,146.6,22.686869132402215,17.65470690477124,27.06116616179202,0.27427721784989983,0,0,89.00636306730757,,1
8,1122,Kentucky,Lexington,8/9/2012,Saranac AR,8/13/2015,226,0.63,1815,33,602.61,220.9,23.37155730217161,18.182711478810642,27.849532872134713,0.32814272603246597,0,0,73.04924021571215,,0
9,1230,Kentucky,Lexington,8/9/2012,Saranac AR,7/13/2016,193,1.51,1086,34,652.19,122.4,23.29776320940231,17.609907806646234,25.14693310752668,0.2705459990257604,0,0,95.76226608760555,,1
10,1286,Kentucky,Lexington,8/9/2012,Saranac AR,5/6/2016,127,0.5,1908,33,767.1,232.3,11.932996329017035,6.570277147678932,17.825906948104254,0.378285714,0,0,67.82958836487929,,1
