,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,996,Kentucky,Lexington,3/31/2015,Saranac AR,5/2/2017,122,1.83,696,226,839.9,159.0,11.748954175149661,7.377824111511363,17.203974105878558,0.31764156062498483,0,1,88.58813800428267,,1
1,1267,Kentucky,Lexington,8/9/2012,4030,6/11/2018,225,0.95,1826,31,660.8,144.3,22.15332624007718,18.453999726496477,27.822771567275367,0.2803134361975815,0,0,78.48189769781645,,1
2,1309,Kentucky,Lexington,3/31/2015,Saranac AR,7/14/2016,196,0.66,113,93,1090.65,345.7,22.801484254615637,17.431353841546574,27.67152552692607,0.2404147619859686,1,1,99.17811401603984,,0
3,1002,Kentucky,Lexington,8/9/2012,Caliber,6/9/2016,160,0.91,1977,33,664.06,169.3,18.554865540500817,13.50670782633863,23.775954843989968,0.32002883440907803,0,0,93.76939232479492,,1
4,1600,Kentucky,Lexington,4/5/2016,Caliber,5/10/2018,131,1.25,517,240,797.87,209.1,11.99831259340029,7.9302253190104945,16.456494158084816,0.28817715008628747,0,1,94.80728587665953,,1
5,1334,Kentucky,Lexington,8/9/2012,Saranac AR,8/13/2018,257,0.57,1228,34,754.44,225.5,22.599379788437528,17.146457717484722,27.69684706156517,0.27647377584668337,0,0,77.13735794718345,,0
6,1193,Kentucky,Lexington,8/9/2012,Saranac AR,7/8/2017,224,0.78,2225,32,682.98,149.9,22.393220668597525,17.792471739229647,26.688295065978817,0.26361348287300795,0,0,88.5513851386111,,0
7,955,Kentucky,Lexington,8/9/2012,Arc,11/16/2012,130,1.17,316,31,860.5,232.0,11.005182601714363,6.143775623197765,18.465693420643262,0.3412872195212975,0,1,100.0,,1
8,953,Kentucky,Lexington,8/9/2012,Caliber,9/18/2014,256,1.08,1303,33,676.35,159.5,22.90702524366538,13.87198687693054,27.872537493852192,0.3276441590174032,0,0,98.78698013670282,,1
9,1462,Kentucky,Lexington,4/5/2016,Caliber,6/6/2017,158,1.5,1330,35,576.32,96.8,18.3972747142387,14.185977760149905,24.48960472168039,0.321473125302563,0,0,95.02813868451689,,1
10,1033,Kentucky,Lexington,8/9/2012,Caliber,6/10/2014,164,1.3,917,32,645.18,147.1,19.4763907716706,15.87760822806937,24.529674404035422,0.32929565311776654,0,0,94.53480700469973,,1
11,1252,Kentucky,Lexington,3/31/2015,Caliber,8/13/2018,191,1.51,997,33,658.04,99.0,23.43166574503466,17.937316409015825,27.697824412022264,0.2648527263984326,0,0,90.88244069637452,,1
12,1371,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,126,1.77,1297,33,795.93,171.9,20.28222137398386,14.778305744495217,24.548932236212888,0.2773734337088973,0,0,94.46449987873329,,1
