,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,943,Kentucky,Lexington,8/9/2012,CW 065030,5/8/2014,127,2.09,1289,241,848.94,202.4,12.86007985126478,5.7278131839447735,17.77261018246754,0.378285714,0,1,100.0,,2
1,1086,Kentucky,Lexington,8/9/2012,Ameristand 403T,6/11/2015,162,1.49,1184,35,638.53,108.7,19.449630843357074,13.370603618489168,24.626606503014358,0.28725895400634993,0,0,92.40963141090319,,3
2,1569,Kentucky,Lexington,4/5/2016,Caliber,7/14/2016,195,1.03,165,96,1090.65,220.3,22.982418884367664,17.15180662412905,27.423966150026335,0.28057394865610136,1,1,97.35062255112636,,1
3,1502,Kentucky,Lexington,8/9/2012,Caliber,8/14/2015,227,0.93,202,33,594.34,128.9,24.004376146420086,18.138724987428624,27.50168253680706,0.3345250564696623,0,0,93.55655278125052,,1
4,844,Kentucky,Lexington,8/9/2012,Arc,7/16/2015,193,1.59,1080,34,632.25,122.3,12.475881674994195,6.993381819996673,17.342794148619355,0.3045454785254966,0,0,91.26551506469018,,2
5,1624,Kentucky,Lexington,4/5/2016,NF11ALF006,7/10/2018,191,0.55,307,93,1069.94,153.2,22.506664560638523,18.36982724222134,28.003022485044916,0.26346825588452044,1,1,94.4970381974574,,1
6,1478,Kentucky,Lexington,4/5/2016,Caliber,7/10/2018,226,0.48,438,32,682.23,102.0,24.034855323057016,20.69091679269573,29.6271438975832,0.2717791817637361,0,0,94.06059367055644,,1
7,1649,Kentucky,Lexington,4/5/2016,Caliber,7/8/2017,224,1.47,272,35,703.82,96.8,22.47888190617847,18.109982195666294,27.52180072939648,0.26655780367344456,0,0,95.89410437249744,,2
8,885,Kentucky,Lexington,8/9/2012,Saranac AR,5/8/2014,125,1.83,783,238,805.89,159.6,12.066474452997928,6.949503509376567,17.345949736702984,0.31492609117233633,0,1,91.7511569131582,,2
9,959,Kentucky,Lexington,8/9/2012,Caliber,8/14/2015,224,0.96,442,30,677.1,173.1,23.362026388345107,17.689755237413856,28.37421555304774,0.33282417054220065,0,0,100.0,,1
10,1564,Kentucky,Lexington,8/9/2012,Caliber,5/10/2018,127,1.56,385,238,804.29,216.9,11.972662153137973,6.70948108296732,17.225913680278648,0.378285714,0,1,94.98323302357802,,2
11,912,Kentucky,Lexington,8/9/2012,CW 065030,11/16/2012,321,1.17,233,34,667.36,223.4,12.032840566307877,7.6066687873798315,17.125073837942875,0.3074745783761129,0,0,97.9389160263454,,2
12,893,Kentucky,Lexington,8/9/2012,Saranac AR,5/6/2016,162,1.83,1356,244,806.06,105.8,11.405129927082607,5.821556535091366,16.508861212009304,0.26822122562491085,0,0,96.5412053786945,,3
13,1000,Kentucky,Lexington,8/9/2012,Caliber,7/16/2015,260,1.0,185,34,662.61,70.7,22.422868872746978,17.190104625848345,28.266767497948063,0.3268744004292411,0,0,97.07709541472956,,1
14,1308,Kentucky,Lexington,8/9/2012,Saranac AR,9/15/2017,257,1.11,337,34,726.08,114.3,19.103563222750246,18.58685033847725,27.917716936585663,0.2723879673447013,0,0,85.38623113737006,,2
15,1581,Kentucky,Lexington,8/9/2012,Caliber,8/13/2018,222,1.05,301,33,704.55,235.4,22.94045800547386,18.147006045959785,27.710822466138488,0.26743562267063814,0,0,99.5112890577293,,1
16,1468,Kentucky,Lexington,4/5/2016,Saranac AR,9/13/2018,257,0.62,404,33,629.12,102.7,23.111423042427347,17.40683026835764,27.405817936654543,0.3148316874714948,0,0,90.38183150964876,,1
17,1564,Kentucky,Lexington,4/5/2016,Saranac AR,6/13/2018,163,1.92,430,35,646.22,123.7,18.501706984481952,12.821463404879546,24.206788926956293,0.2763922935926792,0,0,99.06867050199381,,2
18,1482,Kentucky,Lexington,4/5/2016,Caliber,8/8/2017,190,1.48,330,34,695.75,107.8,23.292098821787498,17.50656347328287,28.599368537251912,0.268182728622491,0,0,94.30509557079668,,2
19,1626,Kentucky,Lexington,4/5/2016,Caliber,9/15/2017,258,0.63,89,37,647.54,123.5,19.529785949656706,13.081909697691499,25.009270407325896,0.2795878643231641,0,0,96.36434885781975,,1
20,1614,Kentucky,Lexington,4/5/2016,Saranac AR,11/16/2012,309,0.64,89,100,950.29,233.2,11.478957538223566,5.594514578656498,15.963882901604325,0.36166979970280766,1,1,91.62956246216766,,1
21,1381,Kentucky,Lexington,8/9/2012,Caliber,5/2/2017,128,0.67,2090,34,869.91,232.3,11.413919455033373,7.277646221906749,17.273456876353464,0.3439703615451892,0,1,95.65770613225475,,1
22,973,Kentucky,Lexington,8/9/2012,Saranac AR,7/17/2014,193,1.27,111,35,784.01,258.3,22.774752467328607,17.745405423988803,27.821075601825903,0.21311793194424455,1,0,97.74380260081341,,2
23,1334,Kentucky,Lexington,3/31/2015,Saranac AR,5/10/2018,127,1.7,686,34,835.45,125.5,22.7783635867562,17.755837551876983,28.497478787305877,0.275251556909261,0,1,95.08958377984371,,2
24,1396,Kentucky,Lexington,8/9/2012,Saranac AR,9/13/2018,259,0.65,276,33,479.21,101.8,22.78040344185163,18.082788538932284,27.175460324863522,0.3408568210138528,0,0,93.60487517312811,,1
25,1475,Kentucky,Lexington,8/9/2012,Caliber,8/8/2017,222,1.02,256,32,672.49,139.8,19.590169391954124,14.905678042617025,25.39117421344585,0.27582188568315835,0,0,97.61230109638814,,1
26,1588,Kentucky,Lexington,4/5/2016,Caliber,7/8/2017,191,1.21,515,33,710.1,219.8,22.630242823077243,18.272823977739595,27.768127969511283,0.26732157118923827,0,0,96.70060710636058,,2
27,1322,Kentucky,Lexington,8/9/2012,Saranac AR,9/12/2018,255,0.67,1926,33,710.13,102.6,23.39744783213861,18.264452846323408,27.855046504340038,0.26939857573846077,0,0,91.70139053283516,,1
28,870,Kentucky,Lexington,8/9/2012,Saranac AR,5/8/2014,128,1.72,148,250,813.08,128.0,11.671468895996078,7.164444795764755,17.791226360955797,0.3311364277324123,0,1,90.80179758240168,,2
29,1554,Kentucky,Lexington,4/5/2016,Saranac AR,9/15/2017,160,1.37,156,36,680.98,146.0,19.074523178656282,14.400766380070007,24.556263871304306,0.3260006660946308,0,0,91.49820820064961,,2
30,822,Kentucky,Lexington,8/9/2012,Caliber,8/12/2013,193,1.03,155,33,646.66,126.8,23.751933216496194,18.345047146353117,27.955576403868687,0.3078286938752111,0,0,92.9857630188739,,1
31,966,Kentucky,Lexington,8/9/2012,GA-ALFG-1,9/18/2014,259,1.09,1382,33,570.24,71.4,22.999281177087415,14.524409742908137,27.246823373109002,0.3074152670160578,0,0,95.95202329873179,,1
32,1444,Kentucky,Lexington,4/5/2016,Caliber,7/13/2016,228,0.73,123,36,683.34,179.9,23.37034991282739,18.844635788278488,28.142903483895218,0.2683969760321443,0,0,94.26577671835699,,1
33,1187,Kentucky,Lexington,8/9/2012,Saranac AR,8/8/2017,158,1.68,320,35,688.44,151.9,19.340918970305854,18.625256845755896,27.881099498236967,0.31436893613825356,0,0,95.86398246241444,,2
34,1440,Kentucky,Lexington,4/5/2016,Caliber,9/15/2017,260,1.0,388,35,685.57,140.4,19.74039998005085,13.378982364448696,25.022872642129066,0.295271834661685,0,0,94.38467911407763,,1
35,1317,Kentucky,Lexington,3/31/2015,Saranac AR,5/10/2018,261,0.52,1200,37,814.06,237.6,18.269608720694045,14.075613281106781,27.403357972653552,0.28562853367562796,0,0,92.75645876910046,,1
36,841,Kentucky,Lexington,8/9/2012,Arc,9/15/2017,259,0.9,1151,38,702.0,115.1,24.516594607832847,13.435755388926726,27.87908233361721,0.2462443545792112,0,0,90.06456607080104,,2
37,913,Kentucky,Lexington,8/9/2012,Saranac AR,6/9/2016,162,1.03,1206,32,597.03,89.3,18.979181501971908,13.111949947292391,24.316360923320982,0.32230468187638905,0,0,96.1447429547626,,2
38,1596,Kentucky,Lexington,4/5/2016,Saranac AR,5/2/2017,193,1.61,386,35,701.87,162.9,23.46679976990815,17.72318837597699,28.00295289818414,0.31246748118629747,0,0,94.43396479781269,,2
39,1062,Kentucky,Lexington,8/9/2012,Arc,5/8/2014,130,1.89,820,228,794.67,118.7,11.745532701287429,7.069142503751637,17.623256631073076,0.3412664109912103,0,1,93.26380888462974,,2
40,1502,Kentucky,Lexington,4/5/2016,Saranac AR,7/14/2016,192,0.58,156,107,969.01,121.8,23.234862332808483,17.96160724857878,28.481587680015643,0.2866837836686855,1,1,93.82917941059468,,1
41,1533,Kentucky,Lexington,4/5/2016,WL 365HQ,8/8/2017,192,1.9,352,34,578.17,118.4,19.86988160921079,14.4739891574291,24.857537337741626,0.31512784916191183,0,0,91.81556479006154,,2
42,1294,Kentucky,Lexington,8/9/2012,Saranac AR,6/9/2016,162,1.35,830,30,681.97,127.4,22.454064820574988,17.208806603910787,26.992756799575677,0.2667729402537352,0,0,95.56625610556844,,1
43,1593,Kentucky,Lexington,8/9/2012,Caliber,5/10/2018,128,0.85,1858,239,796.09,243.3,11.176620890532678,5.599490428111158,17.550803455216073,0.3276908666329673,0,1,76.14031193235712,,1
44,1106,Kentucky,Lexington,8/9/2012,Saranac AR,6/11/2018,193,2.03,1503,33,733.69,103.9,23.067819442710004,17.084078408768864,27.591366334074248,0.2596631778781063,0,0,94.7620986806586,,1
45,1679,Kentucky,Lexington,3/31/2015,Saranac AR,7/17/2015,260,0.64,252,108,1043.85,72.2,22.530930871495027,18.35428516162898,27.554704802896435,0.283493837937637,1,1,94.39531612144695,,1
46,1566,Kentucky,Lexington,3/31/2015,Saranac AR,8/13/2018,158,0.93,1333,32,650.55,94.7,22.70408646715701,17.56821156346969,27.545819892312622,0.24762287854235995,0,0,94.07903395736197,,2
47,1107,Kentucky,Lexington,8/9/2012,Caliber,8/13/2018,225,0.63,1564,33,579.01,227.5,23.163185533850495,17.45721174507976,28.348696216937434,0.266808413075721,0,0,80.93084780240764,,1
48,1643,Kentucky,Lexington,3/31/2015,Saranac AR,7/8/2017,256,0.47,603,34,679.44,98.5,22.760409404527003,15.358517430219012,24.40842580317401,0.32756197957946565,0,0,95.2270986169023,,2
49,1274,Kentucky,Lexington,4/5/2016,Saranac AR,8/8/2017,220,0.51,2033,32,693.43,96.9,22.597409547595515,17.623703607088178,27.972507015345787,0.2376832188531921,0,0,70.45872119248425,,1
50,1631,Kentucky,Lexington,4/5/2016,Saranac AR,8/8/2017,194,1.62,89,33,723.3,161.4,23.9839843268052,17.87813274756465,27.828106008178292,0.2671324835524709,0,0,97.12378237683872,,2
51,1625,Kentucky,Lexington,4/5/2016,Contender,9/19/2016,263,0.64,137,30,618.68,90.7,23.5844727293459,18.25795007820865,27.760502381132962,0.2830648850167572,1,0,90.20061821891093,,1
52,1349,Kentucky,Lexington,3/31/2015,Saranac AR,7/10/2018,193,0.46,1165,32,619.24,99.4,23.651109347915266,18.946147390434167,29.478119890382608,0.2702050761272516,0,0,94.93414107618393,,1
53,1245,Kentucky,Lexington,8/9/2012,Caliber,8/8/2017,222,1.11,1155,32,632.18,101.5,24.23389529111664,18.535551960186098,27.670026282682127,0.27396031842088103,0,0,93.35276997334721,,1
54,1493,Kentucky,Lexington,4/5/2016,Saranac AR,7/8/2017,193,0.49,167,93,1090.65,171.0,22.93433305184163,17.473096189160927,28.17736733637178,0.33668004595674167,1,1,92.22573126712636,,1
55,1266,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,256,1.36,403,34,568.6,123.5,18.845132742699313,13.430273958568879,24.931834400776975,0.2779015479525149,0,0,87.18867136642221,,1
56,1550,Kentucky,Lexington,8/9/2012,Caliber,9/13/2018,258,0.53,89,32,559.26,103.1,23.530570508728513,18.911151948198704,28.358210005278686,0.3258988107897554,0,0,96.10461483917246,,1
57,895,Kentucky,Lexington,8/9/2012,Caliber,5/13/2013,129,1.18,360,231,621.4,235.4,11.795842536837423,6.009349453506517,16.509982063765307,0.33728366957187106,0,1,97.77592168787,,2
58,968,Kentucky,Lexington,8/9/2012,Caliber,5/6/2016,129,1.71,235,230,875.3,100.0,11.548832786646342,6.589449595939514,16.44950731269661,0.2767566351152645,0,1,92.98294528248849,,2
59,1597,Kentucky,Lexington,4/5/2016,Caliber,8/8/2017,220,0.98,2111,32,666.03,121.5,23.863757290221677,18.66824864855071,28.140467141383933,0.26749305508941007,0,0,91.1818681585432,,1
60,1679,Kentucky,Lexington,4/5/2016,Saranac AR,8/8/2017,224,1.14,585,28,679.04,111.0,23.34024256937996,18.81091736193893,28.96201349764472,0.2842717847112013,0,0,89.99049535138138,,2
61,987,Kentucky,Lexington,8/9/2012,55V50,9/18/2014,257,0.99,1833,34,561.66,132.3,18.830400069433175,16.391072516220028,23.968700626596643,0.3174491573875775,0,0,93.93191786678224,,1
62,929,Kentucky,Lexington,8/9/2012,GA-505,7/13/2016,196,1.47,762,34,843.26,142.6,23.273137021073868,18.211539229579255,28.488345758316637,0.22327275154038498,0,1,96.71454447406134,,2
63,1633,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,9/14/2017,189,2.4,500,29,697.45,158.4,19.763497765495195,14.01590233851858,24.864716053641747,0.3267018319500641,0,0,96.96397577973197,,1
64,902,Kentucky,Lexington,8/9/2012,Saranac AR,9/19/2016,261,0.61,915,33,604.15,106.6,22.887471407332495,19.16542794391839,28.43557409498602,0.26713526418817735,0,0,94.146495112194,,1
65,872,Kentucky,Lexington,8/9/2012,Radiance HD,6/9/2016,256,1.14,591,35,667.26,105.2,19.26779765240655,14.898581241285589,23.5240557212629,0.3167897589189726,0,0,97.19951682866282,,1
66,1311,Kentucky,Lexington,8/9/2012,Saranac AR,5/2/2017,126,1.2,2108,225,805.0,180.3,13.474400955457037,7.589531011380238,16.972897649964853,0.33428309620002267,0,1,89.83475554287254,,2
67,1532,Kentucky,Lexington,4/5/2016,Saranac AR,8/13/2018,191,1.59,417,31,811.39,122.8,23.186781581092642,17.959511572291717,28.73127709789229,0.25574070822140155,0,0,94.16697116463091,,2
68,881,Kentucky,Lexington,8/9/2012,CW 085028,5/8/2014,128,1.97,106,230,815.75,177.7,12.242982931544727,8.463619671644029,17.689662533022325,0.3014329401170627,0,1,100.0,,2
69,1531,Kentucky,Lexington,3/31/2015,Saranac AR,5/10/2018,131,1.05,807,228,775.56,72.5,10.95417597915267,5.946549741600518,16.561179667011654,0.3628188440611868,0,1,89.81109808489569,,2
70,964,Kentucky,Lexington,8/9/2012,55V50,6/6/2017,160,1.2,1018,34,569.81,94.1,19.606382659803952,15.06721790972463,24.331821926533067,0.364783846992211,0,0,95.48210114464497,,2
71,1029,Kentucky,Lexington,8/9/2012,GA-505,7/16/2015,193,1.25,118,36,999.45,179.8,23.124858735923414,18.009246604323234,27.258841576054383,0.3171049830112678,0,0,100.0,,2
72,1569,Kentucky,Lexington,4/5/2016,Saranac AR,7/8/2017,193,0.48,89,90,596.02,175.9,22.042284396829857,12.615321466826456,27.11233002991927,0.30953753567911424,1,1,96.04531107247665,,1
73,1529,Kentucky,Lexington,3/31/2015,Saranac AR,9/13/2018,258,0.58,504,31,510.89,122.9,22.56605427497278,17.096444637113663,27.497024893980637,0.29692079023557927,0,0,94.53204759358452,,1
74,828,Kentucky,Lexington,8/9/2012,CW 085028,5/8/2014,128,1.44,1013,239,859.29,332.9,12.840153684211405,5.961263778428541,16.58929134794165,0.29786026314550723,0,1,99.48681923770884,,2
75,1581,Kentucky,Lexington,4/5/2016,Caliber,7/10/2018,227,0.79,612,30,573.93,84.0,24.20952280026977,20.40281558338693,29.83067992608126,0.2848714983034983,0,0,90.34391944726349,,2
76,1154,Kentucky,Lexington,3/31/2015,Saranac AR,7/10/2018,197,0.46,265,35,805.2,107.8,23.32559978737589,18.803346835837253,28.98833669205783,0.22427377506053037,1,0,92.57979485293018,,1
77,962,Kentucky,Lexington,8/9/2012,Caliber,7/12/2013,193,1.13,89,107,617.8,85.3,22.79919066175524,17.755510618372313,27.68531258161215,0.319845604812891,1,1,100.0,,2
78,1679,Kentucky,Lexington,4/5/2017,Saranac AR,9/13/2018,259,0.6,355,34,538.29,108.2,22.338353840036227,18.711392616245693,28.346117136862002,0.2727630761769035,0,0,92.84170030619218,,1
79,1585,Kentucky,Lexington,8/9/2012,Saranac AR,6/6/2017,159,1.72,910,33,579.84,122.4,19.413666087411347,13.335165794524817,24.388911026427902,0.3134352405712844,0,0,94.01535395741868,,2
80,1560,Kentucky,Lexington,4/5/2016,Caliber,7/10/2018,225,0.77,291,32,591.39,112.9,23.849751788235764,18.320151262567173,28.521100559809785,0.2610889821001442,0,0,94.24352757330311,,1
81,1291,Kentucky,Lexington,8/9/2012,Saranac AR,8/13/2018,224,0.9,1827,33,707.4,99.2,23.7401490783376,18.051699431108887,27.39102447906429,0.280027605270684,0,0,69.32349154996751,,2
82,1647,Kentucky,Lexington,4/5/2016,Caliber,8/13/2018,221,1.19,378,34,682.58,224.0,23.144736105307494,17.887942863167083,27.201492795593357,0.28866861437188673,0,0,94.91993685602809,,2
83,851,Kentucky,Lexington,8/9/2012,Saranac AR,6/11/2015,163,1.49,1065,38,707.61,127.4,19.88432528595782,15.104265100169775,24.222844861879103,0.3193177094751827,0,0,94.39554249995876,,2
84,991,Kentucky,Lexington,8/9/2012,Caliber,8/12/2013,221,1.27,2066,32,687.74,99.6,23.203773192049077,17.755262923824493,27.68346275158774,0.2866364164654279,0,0,94.69159864977628,,2
85,921,Kentucky,Lexington,8/9/2012,CW 065030,9/18/2014,226,1.2,537,33,579.08,92.5,23.6405842623992,16.854830903066755,27.615317274624562,0.21371832670064167,0,0,99.61507836891005,,1
86,822,Kentucky,Lexington,8/9/2012,GA-505,7/8/2017,192,1.57,94,30,705.57,113.3,22.690642352827062,17.263687319826797,27.443876101500226,0.2257180656915814,0,0,95.05336519157787,,1
87,1576,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,8/8/2017,222,0.57,402,31,712.77,125.2,23.389545942678104,17.998158811612416,28.499625767096,0.267600319634036,0,0,89.40467562772021,,1
88,1516,Kentucky,Lexington,4/5/2016,Caliber,5/2/2017,155,1.7,344,33,679.09,112.9,23.864553213213252,18.403265483017428,28.093862340730247,0.31238163563137233,0,0,94.78037949015702,,3
89,912,Kentucky,Lexington,8/9/2012,Caliber,7/17/2014,194,0.96,550,36,618.4,76.5,23.49763893982983,17.88307112981408,27.844875057543707,0.23098399404683134,0,0,98.0981787002097,,2
90,1614,Kentucky,Lexington,4/5/2017,Contender,9/14/2017,258,0.86,527,33,679.26,132.7,19.474297964641888,15.048345952137481,24.80715293676281,0.2804349933369793,0,0,93.04317624561182,,1
91,1176,Kentucky,Lexington,8/9/2012,Saranac AR,5/10/2018,260,0.62,296,36,791.99,85.5,22.187576030787202,17.684507158771577,27.61936833737976,0.2962284445602931,0,1,94.28899631284767,,1
92,1080,Kentucky,Lexington,8/9/2012,Saranac AR,8/16/2016,226,1.29,1331,35,729.95,122.6,23.79594934786422,20.34733478425698,29.993111180677452,0.26510291482996023,0,0,89.84401937315101,,2
93,1112,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,258,0.92,1375,32,630.34,115.6,19.54759016913837,14.035027002843172,24.986067531155662,0.2637085811953706,0,0,89.66745005165518,,1
94,1473,Kentucky,Lexington,8/9/2012,Caliber,6/11/2018,158,1.54,317,34,696.58,100.2,22.641328089692873,17.305824721460574,28.168747852360678,0.25813325764507583,0,0,95.61953360345426,,2
95,1672,Kentucky,Lexington,3/31/2015,Ameristand 403T Plus,9/14/2017,258,0.59,297,31,704.38,165.2,22.25973063462564,15.857374777210994,27.754854363828684,0.2838821037873621,0,0,95.39294450921186,,1
96,1642,Kentucky,Lexington,4/5/2016,Saranac AR,8/18/2016,227,0.6,303,32,969.91,96.6,23.15946479567923,18.00315156734849,28.852204201108435,0.2948911768076534,1,0,97.06883238167079,,1
97,846,Kentucky,Lexington,8/9/2012,55V50,9/18/2014,261,1.42,487,31,639.44,94.6,23.50853009073566,14.731394964936412,27.471853096205358,0.3231446423321018,0,0,99.95607226492135,,2
98,1519,Kentucky,Lexington,4/5/2016,Rebound 6XT,8/8/2017,223,1.28,352,33,695.35,127.7,22.856490911860902,18.572099661707114,27.812785838189313,0.2646073412846982,0,0,95.41626095380117,,2
99,1312,Kentucky,Lexington,8/9/2012,Saranac AR,7/10/2018,223,0.9,1456,32,604.55,101.8,22.807662433205476,18.522030659587422,29.49815443798308,0.2618416009561383,0,0,90.54820716040757,,2
100,935,Kentucky,Lexington,8/9/2012,Arc,7/16/2015,260,0.99,913,31,622.23,113.4,22.63287924921332,18.709676645523583,27.941391863703892,0.3169061538746542,0,0,93.85980013979137,,1
101,1298,Kentucky,Lexington,8/9/2012,Caliber,5/10/2018,128,0.87,503,245,849.76,228.6,11.14070558146927,6.33483612068172,17.614594992052165,0.28100199301507894,0,1,93.32508044672393,,1
102,1569,Kentucky,Lexington,3/31/2015,Saranac AR,5/10/2018,129,0.89,421,34,689.81,216.8,11.424379575660005,7.273562421053932,17.301280142024492,0.3115916185302271,0,1,94.50237920326987,,2
