,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Marshfield,41730,55V50,42243,225,4.71,130,5,3259.64,542.2,16.26160508,10.33211526007194,23.6469365,0.07,1
1,Wisconsin,Arlington,41730,55V50,42613,229,8.82,1368,360,4680.35,949.9,7.38769018,3.2900716206784164,12.98809353,0.0767510277895181,3
2,Wisconsin,Marshfield,41730,55V50,41890,242,2.28,179,1,2703.12,500.1,15.97299919,11.065763890993464,23.74900116,0.6635078497023315,1
3,Wisconsin,Arlington,41365,55V50,42251,246,5.56,647,366,4585.49,768.3,6.17030428,1.7883919924673786,10.92,0.07156634372453759,2
4,Kentucky,Lexington,4/5/2016,Saranac AR,9/14/2017,256,5.32,173,6,3297.31,738.2,21.55778523,16.46060153495707,23.48022047,0.292811712947515,2
5,Wisconsin,Arlington,41730,55V50,42249,247,6.02,443,362,4668.13,799.5,6.81494681,0.8518443322279411,11.55732598,0.0746021672288426,2
6,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,256,5.34,879,363,4648.03,884.8,19.16537471,17.135276984563653,26.06484123,0.2900369253989772,2
7,Wisconsin,Marshfield,41365,55V50,42240,236,5.37,1078,363,4727.5,780.8,6.51999685,1.1485610073297656,12.84920718,0.08206130798210931,2
8,Kentucky,Lexington,41730,Saranac AR,9/19/2016,242,3.07,133,1,2672.78,514.0,20.30805595,15.39628057418767,26.14823913,0.27985650501550247,1
9,Kentucky,Lexington,8/9/2012,Saranac AR,8/12/2013,253,6.09,582,362,3210.45,736.6,19.12978028,16.0584757930881,23.72661923,0.29413339978711117,2
10,Wisconsin,Arlington,41730,55V50,41885,246,5.91,1125,366,4693.53,746.5,6.29085385,0.1230651649494594,12.63723049,0.07416091352918763,2
11,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,255,6.55,864,364,3810.32,1030.2,21.57575213,17.56515713544788,25.25304907,0.2884671896943311,2
12,Wisconsin,Marshfield,41730,55V50,42240,233,4.16,733,365,4627.0,794.7,7.14449411,1.5205638704381614,12.03029873,0.0780034645635881,2
