,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Lexington,8/9/2012,Ameristand 403T,9/19/2016,260,10.11,731,378,4615.8,780.1,21.17186239,15.230071120627422,26.03910403,0.2783812464779229,2
1,Kentucky,Lexington,8/9/2012,Ameristand 403T,9/15/2017,255,6.14,1106,365,4823.96,791.8,21.17150558,14.847737625227408,25.37668591,0.2763562255197886,2
2,Wisconsin,Arlington,41365,5312,42251,249,5.97,889,364,4633.88,709.7,8.72263433,0.7497881511658605,11.86735637,0.07502856483775298,2
3,Wisconsin,Arlington,41730,55V50,42251,242,5.93,1068,364,4690.13,766.6,6.69297623,2.2163622209148555,11.19842151,0.07516181860623636,1
4,Kentucky,Lexington,8/9/2012,Caliber,9/12/2018,255,4.5,1796,363,3405.33,821.2,19.46798146,15.794628692972768,24.39925667,0.283687663452315,2
5,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,255,1.97,155,1,2792.13,610.3,22.65806409,17.11864880650823,27.46251178,0.28242654577072884,1
6,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,257,4.19,1048,363,3067.93,805.4,19.94524791,14.723672577613998,23.91129362,0.2867830593583228,1
7,Wisconsin,Marshfield,41730,55V50,42613,234,5.35,1028,364,4785.57,830.3,7.83275594,2.2548492332104986,13.04606949,0.08299874096253934,2
8,Wisconsin,Arlington,41730,55V50,9/18/2014,247,10.26,987,370,4530.18,795.0,5.70079171,2.203325429186092,12.68197932,0.07005762738009787,1
9,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,261,1.68,238,2,3525.87,514.8,20.10354693,15.530307617050475,26.76590875,0.27944360584254074,1
10,Wisconsin,Marshfield,41730,55V50,42240,227,6.62,150,2,4485.64,470.9,7.53234434,2.1044554003145315,24.15277874,0.07228665450976125,1
11,Kentucky,Lexington,42095,55V50,9/19/2016,231,2.6,182,6,4550.65,575.4,21.32467801,17.191497399389288,26.79264306,0.08101791795535102,1
12,Wisconsin,Marshfield,41730,55Q27,41890,248,1.45,156,1,3119.73,418.5,15.80495138,10.18024418997947,21.12618428,0.07999869627890314,1
13,Wisconsin,Marshfield,42095,HybriForce 3400,42243,236,1.69,130,2,3103.72,541.2,21.27660968,11.20057763943048,25.46059946,0.0809795813370601,1
14,Wisconsin,Arlington,41365,55V50,42251,245,6.68,946,365,4720.25,810.0,6.85257181,0.9334478612638255,11.89556016,0.07385514299399987,1
15,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,263,6.76,888,371,4687.92,572.1,20.33340946,15.956539747096521,26.40248674,0.2908895733395937,1
16,Wisconsin,Arlington,41730,55V50,41885,247,6.23,588,363,4717.94,768.3,5.6638398,14.782945740587923,24.69282954,0.07763027382140027,1
17,Wisconsin,Marshfield,41365,55Q27,41919,249,6.24,894,366,4599.8,812.8,6.51089018,1.5989667668804033,11.75687439,0.07519848492069842,1
18,Kentucky,Lexington,4/5/2016,NF11ALF006,9/19/2016,258,2.38,196,1,2805.27,579.1,22.39423995,17.54790978129241,29.25310714,0.27377724168927936,1
19,Wisconsin,Marshfield,41730,55V50,41890,245,5.74,220,3,3066.07,485.1,15.95759299,10.515956054611873,23.70365662,0.08212722485268953,1
20,Wisconsin,Marshfield,41365,55Q27,42251,247,4.96,900,366,4697.59,784.5,7.16446915,-0.53,11.69107952,0.07495023780894007,1
21,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,254,2.47,154,4,2641.95,1043.2,21.61292705,15.930996186372122,26.44661058,0.28522170845184425,2
22,Wisconsin,Marshfield,41730,55V50,42240,236,5.74,517,364,4702.41,768.0,7.20749101,0.7751191435539635,11.53208472,0.07820176077650753,2
23,Kentucky,Lexington,8/9/2012,Caliber,9/13/2018,255,5.0,473,364,3145.62,800.7,20.12679686,15.372314514831281,25.96372399,0.2874333265416541,1
24,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,257,2.48,244,1,3098.56,1029.0,21.62826116,17.42577589395037,27.45535489,0.28759840850446344,1
25,Wisconsin,Arlington,41730,55V50,42249,246,5.38,461,362,4646.98,784.0,8.11019977,2.016802132574745,12.32807968,0.08455059005098792,1
26,Wisconsin,Arlington,41730,55V50,42249,243,9.32,560,364,4615.71,951.6,6.66269195,3.4142835982062474,11.73723124,0.07,2
27,Wisconsin,Arlington,41730,55V50,41885,244,6.62,461,365,4748.25,767.4,5.9997911,-0.03242119349658035,12.40845852,0.07696543599878412,1
28,Wisconsin,Arlington,41730,55V50,41885,247,6.65,534,361,4736.69,814.0,6.74628237,2.342587676401144,11.72094661,0.07989001655181395,1
29,Wisconsin,Marshfield,41365,55Q27,42240,245,5.48,777,363,4520.76,767.8,7.81466854,2.3206670217027656,10.92,0.07885026040940926,1
30,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,256,1.19,207,1,3493.23,502.9,20.68785681,15.927837322873264,26.2784991,0.2787070463213963,1
31,Wisconsin,Arlington,41730,55V50,42249,245,7.65,489,364,4703.75,774.6,5.95433252,-0.018025587978128366,12.04942833,0.0786112013335814,1
32,Wisconsin,Marshfield,42095,55V50,42243,233,2.2,139,4,3138.54,543.1,21.87280836,16.126732308941538,24.63010357,0.07,1
33,Wisconsin,Arlington,41730,55V50,41886,248,6.21,200,364,4573.2,719.1,6.74981177,0.5275406326872549,23.1636624,0.07,1
34,Wisconsin,Lexington,41730,55V50,42604,232,6.6,531,362,4714.33,983.7,8.38568766,2.3335048280229334,12.05069896,0.07557243449065312,1
35,Wisconsin,Marshfield,41365,55V50,42240,236,5.4,1048,361,4602.06,793.0,7.06423638,0.7980925776350558,11.10596653,0.08258295612038549,1
36,Kentucky,Lexington,3/31/2015,Saranac AR,9/19/2016,261,2.89,130,6,2728.31,439.9,21.58726559,16.21615097892453,25.60274595,0.2762911840125677,1
37,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,259,1.98,184,2,4632.79,564.3,22.43684916,18.69956717138402,27.15038048,0.279284853372734,1
38,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,258,2.57,455,366,3250.66,515.3,19.91298247,16.062309703758814,25.75116745,0.28252139178436797,1
39,Wisconsin,Marshfield,41730,55V50,42613,235,6.0,946,362,4704.36,911.9,8.48099079,2.0658454811008196,13.13327103,0.07650313460297098,1
40,Wisconsin,Lexington,41730,55V50,9/19/2016,264,5.05,178,367,4684.43,519.6,21.47212959,16.757446104400472,24.79540715,0.28900187659740045,1
41,Wisconsin,Arlington,41730,55V50,41885,246,7.08,842,363,4759.8,777.2,6.12411561,0.5961741444553063,12.53914798,0.07826476757659702,1
42,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,257,5.64,1043,364,4765.64,784.8,19.96242642,14.36218443287274,24.98020465,0.2889790087157645,1
43,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,258,5.04,473,360,3201.5,752.7,19.13722844,14.521017871961794,24.3203576,0.29036194219412054,1
44,Wisconsin,Marshfield,41730,55V50,9/19/2016,232,2.33,130,366,4518.71,542.0,23.37249133,16.079191444124014,25.03876159,0.08153906228662222,1
45,Wisconsin,Lexington,41730,55V50,42604,231,6.4,751,362,4695.04,786.0,7.57840327,1.555396622103608,13.92233844,0.07809515285592127,1
46,Kentucky,Lexington,4/5/2017,Caliber,9/19/2016,259,2.39,130,1,3025.42,1043.2,20.96758172,16.64296529926095,27.53735203,0.2683056821871279,1
47,Kentucky,Lexington,8/9/2012,Caliber,9/12/2018,262,5.14,1085,367,4745.33,772.2,19.09817739,16.341776639960177,23.45223766,0.28825455272068917,1
48,Wisconsin,Marshfield,41730,55Q27,41890,234,1.69,169,1,2632.43,478.9,16.02213675,9.822995441553754,24.03281337,0.07574262001825365,1
49,Wisconsin,Marshfield,41730,55V50,42243,240,6.03,130,1,4823.96,479.7,6.87090244,10.743834665505847,24.5905331,0.07166994616088898,1
50,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,252,5.73,478,362,2983.91,742.8,20.79649505,14.90787980971209,25.03337243,0.288064440748407,2
51,Wisconsin,Arlington,41730,55V50,41886,245,6.37,130,1,4653.92,740.1,7.0090155,1.3411483552946062,10.92,0.07869472795984112,1
52,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,259,6.35,968,364,4791.73,795.7,19.3571297,15.189511472849096,24.06926411,0.281734218679186,2
53,Kentucky,Lexington,3/31/2015,Caliber,9/19/2016,260,2.19,262,7,3097.94,561.5,21.02787411,16.172896245699608,27.96989664,0.29073131505113564,1
54,Kentucky,Lexington,41730,55V50,9/14/2017,256,1.88,242,1,3057.5,560.3,20.14836038,15.588612858260154,25.05550157,0.2904063041085947,1
55,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,258,4.93,1935,361,3950.59,764.7,20.14418766,14.687231757349247,23.93088598,0.29315532326678423,2
56,Wisconsin,Lexington,41730,55V50,41886,253,4.48,257,1,3505.7,711.7,16.56693397,15.49209930908021,22.2641582,0.28457061153250524,1
57,Wisconsin,Arlington,41730,55V50,41886,246,3.5,170,5,2846.52,276.9,17.51883848,10.155050762898181,24.01264769,0.07425663841958342,1
58,Wisconsin,Marshfield,41365,55V50,42240,236,5.51,989,365,4700.88,765.6,6.79918918,0.4741115629776753,12.23354022,0.07611781027086229,1
59,Wisconsin,Arlington,41730,55V50,42604,245,10.53,1004,366,4630.09,975.2,7.99960416,3.883759436393743,13.05674756,0.07292632204008286,1
60,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,254,2.61,223,6,3269.03,537.3,21.62972058,15.66187132005996,25.70990328,0.27631807936586317,1
61,Wisconsin,Marshfield,42095,55V50,42240,240,4.73,130,1,2800.03,934.4,16.53385509,10.626669798626555,24.22812816,0.08293975270137617,1
62,Wisconsin,Marshfield,41730,55V50,42240,236,5.0,986,362,4735.71,744.4,21.19660635,2.2094017964116697,24.2861762,0.08103384439515138,1
63,Wisconsin,Marshfield,41365,FSG 424,42251,249,5.19,1003,362,4781.82,716.5,7.39172241,0.39997238850510297,11.77911521,0.07892968597227405,1
64,Kentucky,Lexington,4/5/2016,Saranac AR,9/14/2017,260,2.73,195,5,3081.14,551.1,21.29609325,15.44015502397808,25.85464468,0.27705419788482494,1
65,Wisconsin,Arlington,41365,55V50,41885,248,6.69,818,366,4806.04,813.7,7.71974693,-0.44543706095856517,11.97527652,0.07154793568813048,1
66,Wisconsin,Arlington,41730,55V50,41886,247,3.19,130,1,3058.48,109.7,15.50187551,15.04383768792514,24.52877079,0.07834134808677985,1
67,Wisconsin,Marshfield,41730,55Q27,42243,242,2.25,130,1,2868.23,512.5,22.19575195,11.05087812755175,24.87491972,0.07499081207572914,1
68,Wisconsin,Arlington,41730,55V50,42613,229,6.41,548,363,4656.84,1039.7,8.61750433,2.6633338442955763,13.47599865,0.07773805973499459,1
69,Wisconsin,Lexington,41730,55V50,42613,230,5.42,503,364,4703.01,968.3,8.26850468,0.9527619963876556,13.54129901,0.0786178863030587,1
70,Wisconsin,Arlington,41365,55V50,41885,243,9.24,810,371,4589.82,778.7,7.80149252,1.079474919340332,13.20923724,0.07229870563635271,1
71,Kentucky,Lexington,41730,55V50,42604,233,8.28,492,365,4668.16,889.1,8.49777099,2.1845182698470653,12.39749175,0.08146035034887687,2
72,Wisconsin,Arlington,41730,55V50,41886,261,2.86,130,8,3184.67,109.7,16.79929312,14.046764641399415,24.96519375,0.07782297352199954,1
73,Wisconsin,Marshfield,42095,55V50,42613,229,2.78,130,1,4814.17,974.8,20.07956935,15.499534600155572,26.09075733,0.07381380255355793,1
74,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,261,2.44,232,1,2828.22,411.0,21.13290453,14.00425035504675,26.22420654,0.2874417587827735,1
75,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,257,6.1,514,362,3116.48,752.9,19.49712432,15.49102823709306,25.16521039,0.29039329424622307,1
76,Wisconsin,Marshfield,41365,55V50,41885,255,5.76,982,363,4768.9,785.8,21.44819677,-0.53,10.92,0.07624379526368658,1
77,Wisconsin,Lexington,8/9/2012,55V50,41885,256,5.75,1097,368,4716.63,772.5,19.32298198,12.693082900737918,23.549346,0.2823835431636082,2
78,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,257,1.27,130,365,4665.16,990.4,20.32550432,16.18745925439416,25.84468249,0.2778167349640968,1
79,Kentucky,Lexington,3/31/2015,55V50,9/12/2018,253,4.78,910,365,2988.05,801.7,19.1106927,15.930591286364738,24.71390721,0.2884239317190367,1
80,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,235,5.25,1212,363,4679.37,1012.7,20.48522994,15.44696081584617,26.62558065,0.28136236352737953,1
81,Wisconsin,Marshfield,41730,Saranac AR,41890,241,1.44,166,1,2913.36,524.0,21.92893296,16.12488971376493,24.30170032,0.2883032477366117,1
82,Wisconsin,Marshfield,41730,55V50,9/14/2017,237,6.17,908,363,4766.05,733.4,20.44386786,15.612942442177985,24.64592142,0.07998895677477962,1
83,Wisconsin,Marshfield,41365,55V50,42251,236,4.24,824,366,4622.82,737.4,7.37829927,1.33700851419997,12.29352198,0.07724074207920865,1
84,Wisconsin,Arlington,41730,55V50,42240,245,5.66,898,361,4770.64,743.5,7.56116047,2.058826168878225,11.61231922,0.07941548714121947,1
85,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,264,5.69,1231,366,3347.06,821.6,18.67761133,16.60640294161149,25.37544881,0.2824357530805339,2
86,Wisconsin,Marshfield,41730,55Q27,41890,244,4.74,130,1,3174.52,623.9,15.83464072,9.81575862374924,21.96953181,0.08134737219546494,1
87,Wisconsin,Lexington,41730,55V50,9/19/2016,235,2.22,134,1,4677.91,974.2,23.09376045,16.762829022353714,28.06217641,0.07450493888705087,1
88,Kentucky,Lexington,8/9/2012,55V50,9/19/2016,257,6.66,141,363,3221.46,740.9,18.45555805,15.375020928510365,22.41559878,0.28607681939976215,1
89,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,257,4.86,2225,361,3059.09,777.8,19.99157804,16.399293458952016,24.03040354,0.2873189567310237,1
90,Wisconsin,Arlington,41730,55V50,41886,243,4.84,544,1,2889.7,760.3,16.02230323,15.57412323275181,24.63430338,0.07972792436437592,1
91,Wisconsin,Marshfield,41730,55V50,42613,238,6.35,429,364,4577.71,1043.2,7.86229111,2.8089540515881177,13.03649175,0.07811519666280707,2
92,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,258,6.26,399,365,3366.93,791.7,20.91633525,17.103237069871536,22.66151233,0.29252455730967614,1
93,Wisconsin,Arlington,41730,55V50,41885,247,6.73,480,366,4720.38,782.0,6.58291756,1.5248685746910795,11.63346196,0.07530174780573953,1
94,Kentucky,Lexington,8/9/2012,55V50,9/14/2017,260,5.5,781,364,4622.75,759.1,20.67801595,15.159182078295013,26.20641086,0.2910547177072898,1
95,Kentucky,Lexington,41730,55V50,9/14/2017,254,4.96,929,367,3299.86,800.9,21.54967563,15.828131891301032,24.08905935,0.28627551846016047,1
96,Wisconsin,Arlington,41730,55V50,41886,246,1.67,148,362,4647.77,728.5,6.53278911,1.008708510404318,12.14570105,0.075917842889752,1
97,Wisconsin,Lexington,41730,55V50,42243,234,2.29,130,1,2939.99,483.5,20.22328327,16.1913619130485,25.91644033,0.0734576819809445,1
98,Wisconsin,Arlington,41365,55V50,42604,243,7.15,1048,369,4588.68,767.5,8.70403661,1.7029351676658167,11.72638428,0.07470998715712807,2
99,Kentucky,Lexington,8/9/2012,Caliber,9/12/2018,257,5.38,977,363,3056.17,839.4,20.1270625,15.552491796539663,24.66149086,0.2918109279490517,1
100,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,257,5.17,1439,365,3264.38,529.7,20.25016419,15.220829045522263,24.71893225,0.2806951577305212,1
101,Kentucky,Lexington,3/31/2015,Ameristand 403T Plus,9/19/2016,261,1.66,261,7,2732.25,544.8,20.85028042,15.93178060328575,25.66428891,0.28697922183923896,1
102,Wisconsin,Marshfield,41365,55V50,41885,247,6.15,1061,362,4678.4,805.5,5.90101648,0.08054256582982466,11.85342013,0.08076682429628583,2
103,Kentucky,Lexington,3/31/2015,Caliber,9/19/2016,255,1.28,176,10,2411.7,610.3,20.94656059,15.329566282913765,25.68786965,0.27446466232010613,1
104,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,256,6.43,511,363,2919.57,774.1,20.77909756,14.75773611600742,25.91021736,0.2931164468998534,1
105,Kentucky,Lexington,8/9/2012,Ameristand 403T,41885,262,6.88,1046,366,4731.15,775.4,19.70539219,15.957611904565274,26.1585763,0.2845590765788328,2
106,Wisconsin,Arlington,41730,55Q27,42251,246,5.93,889,365,4773.21,704.9,5.8176075,1.7060779953415472,12.43902435,0.07872310865876761,1
107,Wisconsin,Arlington,8/9/2012,55V50,41885,246,6.32,593,365,4783.36,747.3,6.46187558,-0.53,11.15232935,0.08637300298351604,2
108,Kentucky,Lexington,41730,55V50,9/19/2016,255,2.4,146,1,2810.36,484.9,20.62904013,17.473963816912367,24.05543319,0.2786661579599621,1
109,Kentucky,Lexington,8/9/2012,Caliber,9/12/2018,251,4.53,1073,364,3012.46,831.1,18.4444869,15.186542552874096,24.16301039,0.29493339624680354,1
110,Wisconsin,Marshfield,41365,55V50,42240,229,6.4,1084,362,4661.27,844.9,6.56493559,1.4469622876817083,12.28447145,0.0872982731853456,2
111,Wisconsin,Marshfield,41730,55V50,41890,260,5.62,151,4,3263.38,559.7,20.63743072,14.7856089239401,23.28324291,0.6607459187033381,1
112,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,9/19/2016,260,2.83,150,10,2312.56,602.3,20.4533954,17.59150031006678,25.51510936,0.280191387227643,1
113,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,262,2.01,130,365,4655.64,1043.2,22.05284794,17.567275670790337,25.62829235,0.28881774887973527,1
114,Wisconsin,Marshfield,42095,HybriForce 3400,42243,240,5.16,130,3,4615.89,437.9,7.59965921,12.191857683017421,11.83148343,0.07172638985390714,1
115,Wisconsin,Marshfield,41730,55V50,42240,231,5.18,1007,364,4730.63,792.0,5.53,0.9090885291348073,11.06150338,0.07704544867864604,1
116,Kentucky,Lexington,8/9/2012,55V50,41885,259,5.27,978,365,4708.38,812.9,19.78835463,1.2944249913799997,10.92,0.2901922931091921,1
117,Wisconsin,Marshfield,41730,55V50,42613,235,4.72,1121,363,4592.63,962.7,6.82409798,1.7017913437200682,12.37038274,0.08585515223258137,1
118,Wisconsin,Marshfield,41730,55Q27,42243,238,2.17,130,3,2772.98,517.9,15.64899288,10.57996508260516,23.82693842,0.07678590320635578,1
119,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,252,6.43,981,363,3162.79,775.8,20.86851029,15.669725682796331,24.44074834,0.28597297763140295,1
120,Kentucky,Lexington,4/5/2017,Saranac AR,9/14/2017,255,5.97,130,1,4815.79,986.3,21.70794845,16.213276050568194,25.32253449,0.29101928683777706,1
121,Wisconsin,Marshfield,41730,55V50,42240,233,3.43,1111,364,2986.39,819.0,20.78687065,14.749425576293765,24.61487838,0.2941665931284617,1
122,Wisconsin,Arlington,41730,55V50,41886,243,3.23,141,2,3204.37,109.7,16.25397408,14.298123466095369,22.27100088,0.07342381193072932,1
123,Wisconsin,Arlington,41730,55V50,41886,245,1.86,130,1,3035.22,511.9,15.98431956,17.6775008829517,23.69773032,0.08041052230001178,1
124,Wisconsin,Marshfield,41730,55V50,42240,230,5.07,550,356,4731.61,764.4,7.22931236,-0.054759791454592754,13.58445739,0.08273527215636242,1
