,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Lexington,41730,55V50,9/19/2016,260,3.13,180,366,4742.74,517.7,20.83557239,15.229056011852562,25.21690188,0.07855357842473881,1
1,Wisconsin,Marshfield,42095,54Q14,42613,232,2.24,130,363,4701.51,1043.2,7.78545606,2.598027874876905,14.01771409,0.07244198123288983,1
2,Kentucky,Lexington,4/5/2017,55V50,9/14/2017,257,5.38,1066,363,4714.33,783.8,6.30491365,1.644799685710263,13.77676769,0.28728210133090865,5
3,Wisconsin,Arlington,41730,55V50,42251,246,5.55,483,366,4685.76,798.0,6.80981464,0.9271116450593437,11.63322303,0.0755584750727741,4
4,Wisconsin,Marshfield,41730,55V50,41890,236,2.42,149,7,3013.17,475.1,16.73838982,11.277295524170489,24.69767246,0.07821362768490248,3
5,Wisconsin,Marshfield,41730,55V50,41890,256,2.09,203,2,3075.44,520.4,16.64937518,10.55783001775081,23.83610224,0.670878144424511,2
6,Wisconsin,Marshfield,41365,FSG 424,42251,246,5.28,1269,365,4759.09,751.6,7.52513252,0.2791710440826034,12.3912494,0.0782556325689763,5
7,Wisconsin,Marshfield,42095,54Q14,8/20/2018,242,1.66,136,1,2658.62,593.8,21.94759224,18.72006842150526,25.44235064,0.07107975447706014,2
8,Wisconsin,Arlington,41365,5312,42251,247,9.44,1033,366,4720.05,781.7,7.48049992,2.1459742837963987,11.97270764,0.07883735472940485,5
9,Wisconsin,Arlington,41730,55V50,42251,244,8.97,170,364,4747.77,1043.2,7.56335095,3.2392548570927415,12.22318148,0.07511957129073721,6
10,Kentucky,Lexington,3/31/2015,Saranac AR,8/12/2013,260,3.17,262,1,2708.72,449.0,19.13287154,17.942543751265358,22.64153037,0.2865734374862423,1
11,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,257,2.45,172,1,3025.26,531.2,19.79812958,17.424952530329442,25.11038783,0.28884553967234095,3
12,Kentucky,Lexington,3/31/2015,Caliber,9/19/2016,258,2.35,130,7,2862.49,505.8,20.58920341,16.4066855783049,24.41040708,0.2900054598708697,1
13,Wisconsin,Marshfield,41730,55Q27,42240,244,5.93,130,367,2841.3,823.1,15.62100318,10.576792239193823,22.99809037,0.08028101583270837,2
14,Kentucky,Lexington,3/31/2015,Saranac AR,9/17/2015,256,1.98,244,5,2813.08,545.1,21.59897239,14.892045073515684,25.4847603,0.28768639260932305,1
15,Kentucky,Lexington,4/5/2017,Contender,9/14/2017,258,5.54,1182,361,4823.96,770.0,19.75156871,16.05705590163851,26.12264837,0.285280974461866,7
16,Wisconsin,Marshfield,41730,55V50,42240,235,6.89,483,368,4624.37,987.0,9.12508091,2.3271290490059675,11.56145991,0.07903399079434864,6
17,Wisconsin,Marshfield,41365,55V50,41919,260,5.03,523,364,4695.89,779.4,7.52100519,0.9942087745809469,11.12664306,0.0817213118008908,7
18,Kentucky,Lexington,3/31/2015,Contender,9/19/2016,262,2.59,167,2,2885.71,442.9,21.33486159,17.328944321591905,26.19090185,0.2812602590223866,1
19,Wisconsin,Marshfield,41365,55V50,42240,259,4.86,1053,364,3131.38,788.5,19.7621477,16.727483928195696,24.6067877,0.0793395431655449,4
20,Wisconsin,Lexington,42095,Ameristand 403T Plus,42243,240,1.19,149,1,2927.83,425.0,21.14793875,10.421284386553532,25.05151883,0.07,1
21,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,255,5.17,997,362,3424.49,830.5,19.81042537,14.668062431423573,24.74740431,0.28902744907513306,7
22,Wisconsin,Marshfield,41365,55V50,41919,254,5.33,520,362,4770.89,826.4,5.64023943,-0.53,11.72232198,0.07829103275079634,6
23,Wisconsin,Lexington,41730,55V50,42243,240,2.29,130,1,2976.95,603.6,21.14595883,17.54277774136507,25.21979356,0.07377906072146907,2
24,Kentucky,Arlington,4/5/2016,55V50,9/15/2017,258,6.17,860,363,4693.62,699.1,6.50014363,-0.53,13.2532978,0.07787997521129132,6
25,Wisconsin,Arlington,42095,55V50,9/19/2016,228,3.59,130,1,4627.27,485.8,20.58778981,15.074635526904073,25.65815037,0.07568727999722237,1
26,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,260,6.34,1111,365,3350.81,809.3,19.49407423,13.152546936070731,23.79835568,0.29196859886440135,8
27,Kentucky,Lexington,41365,55V50,41919,257,5.15,576,363,4670.06,864.2,5.67268445,1.6297306421486222,11.83871451,0.2859479306766696,7
28,Wisconsin,Marshfield,41730,Vernal,41890,237,1.97,221,3,2660.12,574.9,17.23999975,11.784076105790584,23.99969348,0.6555545650335268,3
29,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,258,6.75,1007,367,4729.42,805.9,20.65147033,16.781262890983392,25.80150287,0.2830662908636622,8
30,Kentucky,Lexington,3/31/2015,Saranac AR,8/20/2018,253,1.67,163,1,2927.53,480.9,21.938958,15.960729349799495,25.80916256,0.2769035739291833,1
31,Wisconsin,Marshfield,41365,55V50,41919,254,4.78,449,365,4710.78,817.2,7.34043593,-0.53,11.71584449,0.07616333238312235,6
32,Wisconsin,Arlington,41365,55V50,41885,247,5.53,1277,362,4735.67,796.6,6.05515489,-0.53,11.9105349,0.07138461157768018,2
33,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,260,3.04,184,1,3168.35,428.2,21.52403293,15.623046475064347,23.00457259,0.2841943019508607,2
34,Wisconsin,Lexington,41730,55V50,41886,233,2.77,130,1,2727.12,182.6,22.45198855,15.86557903923747,25.76977574,0.07521524838601695,2
35,Wisconsin,Arlington,41730,55V50,41886,246,6.44,130,6,2981.72,324.0,16.51556922,0.0559639295502643,23.82816583,0.07105259707664593,3
36,Wisconsin,Arlington,41730,55V50,42604,246,7.43,928,365,4715.02,1043.2,8.4164132,3.4515052834501185,13.10115643,0.07321908762999675,6
37,Wisconsin,Lexington,41730,55V50,42604,260,9.2,1028,360,4741.12,1021.5,7.69104712,0.6882734710297129,11.8041368,0.07604741362283551,6
38,Kentucky,Lexington,8/9/2012,Caliber,9/12/2018,253,5.97,1447,362,3517.8,769.7,20.44885059,16.091846495322386,25.37434453,0.29517622485052525,6
39,Wisconsin,Arlington,41730,55V50,42243,247,2.18,130,1,2826.39,446.2,20.63790157,15.321194031592826,23.79497163,0.07367337170390091,1
