,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Marshfield,41365,Vernal,41919,247,5.47,584,364,4661.71,859.0,6.88318359,-0.53,11.21994302,0.08138266187602758,2
1,Kentucky,Lexington,8/9/2012,55V50,9/12/2018,231,6.3,814,364,4729.92,778.8,20.83180781,16.019380072011888,25.30752345,0.29219427093130146,2
2,Wisconsin,Arlington,41730,55V50,41886,247,3.17,130,1,4552.34,109.7,15.92329167,1.291517985615042,22.48971401,0.07688748485562631,3
3,Wisconsin,Arlington,40664,Hybriforce-3400,41885,245,5.94,1293,365,4714.9,814.7,6.3565491,0.5772941383572444,11.39724503,0.0737948610416551,3
4,Wisconsin,Arlington,41730,55V50,41886,246,2.86,135,10,2835.9,243.8,16.54850017,11.266281882795262,23.21833274,0.07,2
5,Wisconsin,Arlington,41730,55V50,41885,246,7.6,533,365,4823.96,712.8,6.6634094,-0.53,10.9694268,0.08087946179314355,3
6,Wisconsin,Marshfield,42095,55V50,42613,237,4.84,130,366,4624.06,1043.2,8.1517458,2.9300368975262447,26.73905737,0.07446123462139,1
7,Wisconsin,Arlington,41365,5312,42251,248,5.82,1001,363,4604.12,732.8,7.39016561,0.8081853028551337,12.30200103,0.08273509481160461,3
8,Wisconsin,Arlington,40664,55V50,41885,244,7.84,650,365,4681.5,748.5,6.21350273,0.7895214101786648,11.72438924,0.07376801308482256,4
9,Wisconsin,Lexington,42095,55V50,9/19/2016,230,2.07,210,5,4694.02,487.4,20.35959018,14.938548216801536,26.37530425,0.075711011884102,1
10,Wisconsin,Arlington,41730,55V50,9/14/2017,256,6.38,470,364,2993.14,791.9,19.83013473,14.870386092379473,25.20287459,0.07681742906138668,2
11,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,257,5.69,1093,365,3609.41,785.2,20.59684053,14.618028235073421,25.76972838,0.28786587698694893,3
12,Kentucky,Lexington,4/5/2017,Saranac AR,9/14/2017,255,1.91,171,1,2898.39,781.7,21.4802076,16.783747636480243,25.94708612,0.28980020435540205,1
13,Kentucky,Lexington,3/31/2015,Caliber,9/12/2018,258,4.69,1045,364,2871.53,814.9,19.59163328,15.061604442037028,24.61438505,0.28778497372758494,2
14,Wisconsin,Arlington,41365,55V50,42251,241,5.96,860,365,4586.28,791.6,7.726476,2.117177629871784,12.16233561,0.0834418599285393,2
15,Wisconsin,Marshfield,41730,Vernal,41890,259,5.01,229,1,2804.98,585.6,15.92019177,9.85250340915997,23.53500971,0.6747775948158985,2
16,Wisconsin,Arlington,40664,55V50,41885,246,7.92,1006,367,4547.77,742.5,6.46648052,0.2980501258489021,11.22253819,0.07455973285024552,3
17,Wisconsin,Marshfield,41730,55V50,41890,257,1.19,240,1,2590.01,414.9,15.53053588,15.102549625736447,21.678327,0.0853416374135774,1
18,Wisconsin,Arlington,41730,55V50,42251,233,6.54,1050,366,4744.04,523.1,6.53431456,0.3850423746777034,11.80472951,0.07045613317459752,2
19,Wisconsin,Marshfield,41365,FSG 424,42240,239,3.93,915,365,4542.27,816.1,6.80236544,0.547235573580125,10.92,0.07770041045049507,2
20,Wisconsin,Lexington,42095,55V50,42613,237,6.69,1145,368,4576.63,1043.2,8.21597274,3.6853929664356935,27.97059064,0.0791060804261104,3
