,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Lexington,41730,55V50,9/19/2016,237,1.82,130,5,4536.9,492.4,22.25534004,16.50428683676399,24.02196802,0.0727437882907025,1
1,Wisconsin,Arlington,41365,55V50,41919,262,6.25,706,366,4713.58,752.5,5.53,0.7056628361253346,11.0949276,0.07816236308506455,3
2,Wisconsin,Marshfield,41730,55V50,42243,228,2.75,181,1,2821.49,413.7,16.64569576,10.96939980644799,23.13262937,0.07420846146937528,1
3,Wisconsin,Marshfield,41730,55V50,41919,240,6.85,500,365,2773.35,719.7,20.66015404,13.43838084624344,23.4889099,0.07548933832012365,1
4,Wisconsin,Marshfield,41365,55V50,42613,239,5.07,1087,364,4667.06,944.0,9.10777258,1.2296913706410102,12.37488364,0.08161484516417465,2
5,Wisconsin,Marshfield,41730,55V50,41886,257,6.02,281,1,3099.01,755.2,19.52358905,12.87351760939189,21.49096211,0.07663412422096301,2
6,Wisconsin,Marshfield,41730,55V50,42240,239,5.71,916,366,4663.42,754.1,8.34626285,1.420942711775525,12.28895924,0.08005425234755097,2
7,Kentucky,Lexington,8/9/2012,55V50,9/19/2016,261,7.81,1088,366,4782.04,1043.2,22.09155375,18.541137618510827,28.23421617,0.2828287390631389,3
8,Wisconsin,Marshfield,41365,55V50,41919,258,6.24,1062,364,3281.53,770.5,19.41339479,15.330931735783189,23.508859,0.07945581585060453,1
9,Kentucky,Lexington,3/31/2015,Caliber,9/14/2017,257,4.11,130,365,2849.8,442.6,20.30750961,16.847155527561274,25.29706664,0.28629759529195187,2
10,Wisconsin,Lexington,41730,55V50,9/12/2018,253,5.18,551,364,2941.07,827.0,19.51158317,14.143412808272492,25.80525417,0.2876660263851359,2
11,Wisconsin,Marshfield,41730,55V50,9/12/2018,230,5.2,509,363,3046.37,776.8,22.41249023,15.75535651394388,24.89541263,0.2864638561345153,2
12,Wisconsin,Marshfield,41365,55V50,42251,239,5.81,931,363,4669.8,813.1,8.40976929,0.8935858233416145,12.83973284,0.07810283137204423,2
13,Kentucky,Lexington,4/5/2016,Buffalo,9/19/2016,261,2.41,268,367,4708.4,560.3,21.64734841,15.282937024520223,25.57850102,0.280059062532814,1
14,Wisconsin,Arlington,41730,55V50,42251,248,8.51,485,364,4611.37,768.2,7.18095126,1.7635129124824833,11.75498331,0.07874256770630951,3
15,Wisconsin,Marshfield,41365,55V50,42240,232,6.72,973,365,4735.34,798.9,9.00215029,1.9465250443031823,12.85135433,0.07786760501897118,3
16,Kentucky,Lexington,8/9/2012,Contender,9/19/2016,257,7.83,1076,366,4722.66,844.4,22.14820266,16.547270550462187,23.6229028,0.2800971772935281,3
17,Kentucky,Lexington,8/9/2012,Contender,9/14/2017,259,5.16,955,363,3219.95,484.8,20.16040048,16.80180802798304,25.63666202,0.28212820861524407,3
18,Wisconsin,Marshfield,41365,55V50,42240,230,4.0,886,364,3045.05,774.0,20.40181197,1.2843125656476004,23.85626356,0.07435088404522304,1
19,Wisconsin,Marshfield,41730,55V50,42613,233,6.48,492,364,4754.24,789.3,7.36438599,1.2424477616786522,11.7954586,0.0855588693453789,3
20,Wisconsin,Marshfield,41730,55V50,42604,240,6.96,1152,366,4645.33,1043.2,8.01261452,3.836225320192819,12.32477586,0.07392764648288706,3
21,Wisconsin,Marshfield,41365,55V50,9/12/2018,234,4.22,1125,365,3070.99,690.2,20.76445656,14.836752471995775,25.4941674,0.08074624939075004,2
22,Wisconsin,Marshfield,41365,55V50,42240,239,6.33,847,366,4706.68,797.1,6.29742629,-0.046561942202086426,12.79989655,0.07977386251591417,2
23,Kentucky,Lexington,3/31/2015,Caliber,9/14/2017,258,2.36,236,365,2949.14,463.6,21.23332244,14.753328199738469,25.81932559,0.2818690156377967,1
24,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,234,7.27,622,362,3170.38,1029.3,20.96621466,15.494722977620592,24.27464891,0.288793247727125,4
25,Kentucky,Lexington,3/31/2015,Contender,9/14/2017,251,5.76,1304,366,2852.25,1009.3,21.30552173,17.518917346276705,25.56642641,0.2820556183033058,2
26,Wisconsin,Arlington,41365,55V50,41885,246,5.52,1229,366,4810.62,825.3,7.31432122,0.7591658617218906,12.48287901,0.07658424163049386,2
27,Kentucky,Lexington,4/5/2017,Contender,9/19/2016,264,2.4,176,364,3342.78,1032.1,19.97991855,16.49418072806373,26.64470964,0.28526704828274607,1
28,Kentucky,Lexington,8/9/2012,Ameristand 403T,9/19/2016,252,5.93,1000,368,4676.35,786.7,20.20087184,14.856931074944264,24.95720996,0.27943155195287744,3
29,Wisconsin,Marshfield,41730,55V50,41890,262,2.62,219,5,2834.14,558.5,19.40639474,14.852310080388992,23.75532105,0.07,1
30,Wisconsin,Marshfield,41730,55Q27,42240,244,6.36,813,363,4628.95,784.1,6.31079026,0.5796639331063516,12.0174234,0.08175925286402677,2
31,Kentucky,Lexington,8/9/2012,55V50,42613,235,4.7,551,364,4753.2,779.6,6.9722956,15.925916868757122,25.08688662,0.2937606170985556,3
32,Wisconsin,Arlington,41730,55Q27,42251,245,6.29,1047,365,4594.43,691.4,6.02983325,0.756053180488153,11.19609319,0.07395059925168977,2
33,Kentucky,Lexington,3/31/2015,Caliber,9/12/2018,255,5.41,1316,365,3200.58,759.0,20.20557263,16.535917754845723,24.64929417,0.296952892975277,2
34,Kentucky,Lexington,8/9/2012,Contender,9/14/2017,254,5.41,500,366,3347.55,972.0,21.61866776,17.055079351181586,25.31646167,0.2862526704917554,3
35,Wisconsin,Marshfield,41730,55V50,42243,230,2.45,130,2,2875.53,471.2,20.63878457,15.602649956926305,23.98406467,0.07,1
36,Wisconsin,Marshfield,41730,55V50,42240,229,4.75,947,365,4662.27,796.5,6.74008421,1.5642743609934746,12.46128376,0.08393334949289483,2
37,Wisconsin,Marshfield,42095,55V50,42613,229,2.31,224,4,4534.49,956.8,8.80772509,3.615861552929521,28.80429983,0.07017386224928163,1
38,Wisconsin,Lexington,41730,55V50,42613,228,5.43,436,365,4711.93,1017.2,8.2504542,1.1763680518501873,24.67843747,0.08021765096597044,3
39,Kentucky,Lexington,8/9/2012,55V50,41919,257,5.18,1111,366,4665.9,772.4,21.23784511,14.943496150836118,23.71235135,0.2847749755379145,3
40,Wisconsin,Arlington,41730,55V50,42249,246,8.92,575,362,4717.63,784.1,7.31671969,1.601026889519083,11.17509079,0.07592340769597361,3
41,Wisconsin,Arlington,41730,55V50,42251,247,8.5,486,365,4653.3,738.1,7.32595283,2.2079909541759677,11.95160951,0.07219461619925452,3
42,Wisconsin,Arlington,41365,55V50,41919,245,5.6,944,363,4766.6,794.4,7.03766971,1.3051143529606277,24.51025227,0.07539865060876025,3
43,Wisconsin,Marshfield,3/31/2015,55V50,42243,257,4.97,170,2,2906.37,459.1,21.34079544,16.68865336219395,25.30996599,0.07777978833588471,2
44,Kentucky,Lexington,4/5/2017,Contender,9/14/2017,255,1.29,154,3,2873.04,593.1,22.97449801,16.335967035816907,26.58707209,0.28953542652759895,1
45,Kentucky,Lexington,8/9/2012,Contender,9/19/2016,254,4.87,993,364,3198.79,868.6,19.59987555,14.647669708977496,24.49195299,0.2840071657221262,2
46,Wisconsin,Arlington,41730,55V50,42240,225,5.21,471,365,4788.23,762.8,6.996789,0.9662167953178584,11.63765942,0.07869155432750233,4
47,Kentucky,Lexington,4/5/2017,Saranac AR,9/14/2017,254,1.27,130,1,3032.17,541.5,21.11154927,14.910438446284072,24.92879711,0.2870146663641448,1
48,Kentucky,Lexington,4/5/2017,Contender,9/14/2017,260,2.72,232,1,2958.0,618.0,22.79524358,17.40850040342123,27.46840102,0.27906083916378444,1
49,Wisconsin,Arlington,41730,55V50,42251,246,4.88,1031,363,4590.71,775.4,5.53,0.5167830210766565,11.41065082,0.08121639859475326,3
50,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,262,4.82,1110,364,3359.88,780.7,19.54809193,14.86352679079475,25.84024191,0.28539218137146494,2
51,Wisconsin,Arlington,41730,55V50,42604,245,8.52,559,362,4788.15,976.7,8.43405809,3.2983512121864607,13.23010964,0.07572238021932363,3
52,Wisconsin,Arlington,41365,55V50,41885,245,6.61,990,363,4665.19,840.2,6.04622865,0.22849520173926852,11.20735444,0.07369581517635206,4
53,Wisconsin,Marshfield,42095,55V50,42613,232,5.48,161,2,2891.16,1043.2,20.90979325,15.443555968165368,23.5441327,0.07503825927721021,1
54,Wisconsin,Arlington,41365,55V50,41919,244,5.79,970,368,4676.35,766.7,6.35069727,1.3912245912397905,10.92320053,0.07918033976383214,2
55,Wisconsin,Arlington,41133,5312,42251,244,6.06,1110,365,4707.33,839.5,5.84087879,0.3848368039338148,11.49228149,0.07666672879869352,3
56,Wisconsin,Marshfield,42095,55V50,42243,238,2.81,130,2,2957.9,483.1,16.84427909,11.000065365576662,24.83968206,0.07755906444681596,1
57,Wisconsin,Arlington,41730,55V50,42249,247,5.46,501,363,4687.71,767.2,6.90981385,1.8791811085056251,11.75406834,0.08183531879166708,4
58,Wisconsin,Marshfield,41365,55V50,41919,233,2.92,1106,363,2867.52,836.6,20.24956788,0.7732936690568907,24.05432244,0.07613539126357641,2
59,Wisconsin,Arlington,41730,55V50,42251,244,4.44,588,365,4623.71,713.8,5.99433123,0.9799374742489676,11.04189682,0.07791928266035276,2
60,Wisconsin,Arlington,41730,55V50,42249,247,5.47,510,365,4793.55,825.0,7.97231564,1.3918558968737236,12.71863852,0.07664531365642892,3
61,Kentucky,Lexington,3/31/2015,Ameristand 403T Plus,9/17/2015,262,2.1,241,2,2717.54,408.2,22.18313786,16.369847511851578,27.24000801,0.2735108024157373,1
62,Wisconsin,Marshfield,41730,55V50,41890,239,5.99,166,5,3104.83,802.2,16.50648974,11.18058050680958,25.78800842,0.080035222044696,2
63,Wisconsin,Marshfield,41365,55V50,42240,231,5.77,961,365,4673.2,794.9,6.87771844,2.0140897612655615,12.26241129,0.07753521140710719,2
64,Wisconsin,Marshfield,41365,55V50,41919,265,5.42,934,360,3034.95,722.1,21.19037241,14.814142101785611,24.00230651,0.07247059719357042,2
65,Wisconsin,Marshfield,41730,55V50,41886,244,6.02,160,2,3020.61,764.2,19.7412149,14.255988250312772,24.25724453,0.07183412561504657,2
66,Wisconsin,Arlington,41730,55V50,42604,246,9.01,512,366,4605.64,769.0,8.2893789,2.5078933651691786,13.239575,0.07358070383213572,3
67,Wisconsin,Arlington,41365,55V50,41885,245,4.59,1361,365,4748.72,848.3,5.53,0.08627405703157276,11.24990865,0.07242164103513926,2
68,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,255,2.33,210,8,2991.1,535.1,22.4087881,16.86229278774295,25.64978407,0.279061334932212,1
69,Kentucky,Lexington,8/9/2012,55V50,9/19/2016,228,5.4,537,365,4755.58,1043.2,8.59413271,18.1201186627492,24.30886941,0.2892746857007867,3
70,Wisconsin,Arlington,41730,55V50,41919,245,5.66,546,366,3060.26,794.3,20.10257587,-0.53,24.09523508,0.07341116196295074,2
71,Wisconsin,Marshfield,41730,55V50,42243,239,1.39,226,2,3360.53,532.6,20.19083986,16.220894218192456,23.91268799,0.07752350834494555,1
72,Wisconsin,Arlington,41730,55V50,41919,246,5.76,904,365,4726.35,754.6,6.22224792,0.7177087213478972,11.60344618,0.07377987690335246,2
73,Wisconsin,Lexington,42095,55V50,9/19/2016,232,2.82,153,4,4640.15,1043.2,22.92592768,16.936183768545618,26.08353314,0.08058524638761141,1
74,Wisconsin,Marshfield,41730,55V50,9/19/2016,240,9.72,537,364,4670.93,975.9,7.87840015,2.0375523837688494,24.00762417,0.0779613516957512,3
75,Kentucky,Lexington,4/5/2017,Contender,9/14/2017,256,5.64,999,362,3316.18,1043.2,21.19670034,17.33460013841931,27.56175655,0.29865150077544006,2
76,Wisconsin,Marshfield,42095,Vernal,42243,231,2.62,175,1,3008.26,497.3,16.76294176,10.606451524149069,23.64448108,0.07517840813199689,1
77,Wisconsin,Arlington,41730,55V50,41886,245,2.01,195,5,2967.18,572.5,21.26447426,10.70727182709569,26.15082107,0.07356679141629383,2
78,Kentucky,Lexington,8/9/2012,Contender,9/19/2016,259,7.82,1090,367,4770.35,1043.2,21.02082057,15.43008076127873,24.55364429,0.2808347189509694,3
79,Wisconsin,Arlington,41730,55V50,42251,248,6.04,469,366,4660.0,750.0,7.33806251,0.20835309834732274,12.6871275,0.07600636075095532,3
