,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,41730,55V50,41885,245,5.68,461,363,4804.04,785.5,6.75838511,0.0690253238948384,12.06995311,0.08402153455105829,6
1,Wisconsin,Arlington,41730,55Q27,41886,250,2.14,130,1,2880.21,373.4,16.31051921,10.26856670035539,22.02640811,0.07018221763881301,2
2,Wisconsin,Marshfield,42095,54Q14,42243,239,1.48,220,4,2931.04,545.2,19.98987801,10.906329861764497,24.39233188,0.07,1
3,Wisconsin,Marshfield,41730,55V50,41890,244,2.36,215,3,2920.87,522.6,17.90919892,10.656623990742094,24.69435037,0.0754635721493277,2
4,Wisconsin,Arlington,41730,55V50,42604,235,8.4,545,363,4643.71,1043.2,8.59399498,3.5704972429694433,13.47792914,0.07231258693148435,5
5,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,261,3.57,130,3,2976.75,533.3,21.9813725,16.515753953739985,24.21822245,0.2826367146639139,3
6,Wisconsin,Lexington,41730,55V50,41890,255,2.19,199,1,3004.84,491.6,18.66478723,15.510000322527135,23.41891999,0.6310977252394435,1
7,Wisconsin,Marshfield,41365,55V50,41919,244,6.26,940,361,4673.78,833.3,6.61650668,0.41635411316070114,11.6789579,0.07498740464553819,4
8,Wisconsin,Marshfield,41730,55V50,41890,242,2.63,132,6,3124.33,373.6,18.99898279,9.024573912649524,24.09373295,0.07221691458642056,2
9,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,264,2.51,222,8,3083.59,614.1,21.49734903,15.010432033261745,26.98843205,0.28008065151440215,2
10,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,260,2.57,249,1,3196.93,639.3,19.49788418,16.74388859640151,26.08548972,0.2757630779800891,1
11,Wisconsin,Marshfield,41730,Vernal,41890,234,2.15,188,1,2570.0,531.7,18.68076317,11.218240654518395,22.50920933,0.07367089407114083,1
12,Wisconsin,Marshfield,41730,Vernal,42240,237,5.32,130,364,4594.85,779.0,7.24552319,2.3952558809661224,12.12433166,0.07,2
13,Kentucky,Lexington,8/9/2012,Saranac AR,9/12/2018,259,6.16,523,366,3248.88,839.1,19.0727693,16.432829764154906,25.21850337,0.2942249389361256,5
14,Kentucky,Lexington,3/31/2015,Saranac AR,9/19/2016,261,2.46,199,1,2814.07,506.5,19.84790082,16.840503448940098,26.09742028,0.279213451221749,3
15,Wisconsin,Marshfield,41365,55V50,42240,236,5.53,1081,365,4757.39,715.6,6.6660085,1.4487574025455643,12.99606539,0.07970441060719463,7
16,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,259,5.42,1196,364,4702.43,757.1,20.06021077,14.780318295297635,25.19454685,0.2897359998057701,6
17,Wisconsin,Arlington,41730,55V50,41885,249,6.66,851,369,4737.55,832.9,6.09894763,0.08923621124230774,11.43283732,0.07031876977566276,7
18,Kentucky,Lexington,3/31/2015,Caliber,9/19/2016,256,1.6,219,5,2777.67,528.5,20.43237066,16.00166161636296,24.44300234,0.2795258795944853,5
19,Kentucky,Lexington,3/31/2015,Caliber,9/14/2017,253,2.2,130,1,2978.55,642.0,21.49336498,14.626010260569192,24.29287431,0.2828964665201463,1
20,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,258,5.32,595,362,2911.81,819.5,20.99256022,14.545302510003083,23.59319133,0.29061805180310435,6
21,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,258,5.77,1069,365,3080.88,786.5,19.84517674,17.125772104077907,25.78298224,0.29136119155753576,6
22,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,261,6.61,558,365,3462.88,851.4,19.00188854,14.73779970546802,24.96152232,0.2831239771447341,6
23,Wisconsin,Marshfield,41365,55V50,42240,236,5.89,879,363,4735.05,753.5,7.54406909,2.405470417664036,12.55295552,0.07544405442329218,6
