,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,41730,55V50,41886,240,2.1,130,7,2660.77,232.1,15.96127501,14.283807302073303,23.99630953,0.07346474333060525,1
1,Kentucky,Lexington,4/5/2016,Saranac AR,9/14/2017,239,1.99,224,1,2630.62,983.3,22.3465583,16.602200079060296,25.79806909,0.29202823408924106,1
2,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,255,5.82,1141,365,3050.96,775.8,21.25448593,14.424910001782862,26.24959423,0.28404964671329885,6
3,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,257,4.3,1150,367,3003.16,783.2,21.05338446,15.968669320312276,24.75773055,0.28699639123973375,7
4,Wisconsin,Arlington,41133,55V50,42251,246,5.94,1091,368,4707.67,723.7,6.27238884,1.4458492731238892,12.69048458,0.08030253746004051,6
5,Wisconsin,Marshfield,41730,Vernal,42243,247,1.39,130,7,2826.22,492.7,17.46526834,13.127110730455293,24.15391901,0.07331249852943783,1
6,Wisconsin,Lexington,8/9/2012,55V50,41885,262,5.83,939,367,4712.06,798.4,7.05104964,0.5049213069215341,12.220786,0.07561659128909128,6
7,Wisconsin,Arlington,41730,55V50,41886,246,1.69,227,7,2961.14,358.1,15.71506342,12.805324162561991,23.61015049,0.07528809418151751,4
8,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,257,5.44,947,365,4823.96,515.4,19.88480801,14.90769229044976,24.67722329,0.28146430583576526,5
9,Kentucky,Lexington,8/9/2012,Caliber,9/12/2018,257,4.86,980,366,3539.51,816.6,18.91093222,15.246948772089521,25.67800072,0.29057026919376644,1
10,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,240,2.29,176,1,2769.53,141.2,19.9664824,14.261509612730324,25.67040617,0.27986888920162106,4
11,Wisconsin,Marshfield,41730,FSG 424,42240,236,5.09,555,363,4686.11,756.6,7.06905779,0.8237822464269898,11.78804717,0.07312833538691176,7
12,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,254,5.63,1123,365,3044.14,756.7,20.59052607,14.12656129424078,24.51309798,0.29030690481813587,5
13,Wisconsin,Marshfield,3/31/2015,Vernal,41890,262,1.91,231,5,2618.24,441.9,19.48420016,12.492230210690549,23.9999806,0.654734517400106,1
14,Kentucky,Lexington,3/31/2015,Caliber,9/14/2017,253,5.64,1313,362,3231.31,765.7,21.47960503,14.916971800520622,26.00473,0.28824906718310606,1
15,Wisconsin,Arlington,41730,55V50,41919,246,6.37,483,364,3302.4,835.5,15.63459085,13.800163426175382,22.18124717,0.07502529753359292,4
16,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,256,5.44,1158,363,3544.66,752.8,21.65735142,14.780034003575174,24.92818869,0.2882436966502242,7
17,Wisconsin,Arlington,41730,LH 9700,41886,246,2.62,130,4,2496.5,230.2,16.64281312,11.360438882699459,23.73206847,0.07651198680560964,2
18,Wisconsin,Arlington,41730,55V50,42249,245,8.38,1099,365,4608.69,775.2,6.39002567,1.663973468025926,12.81610921,0.077613120193572,7
19,Wisconsin,Arlington,41365,55V50,42251,248,6.3,1005,364,4780.81,808.0,6.80571706,1.324645615621699,11.64090461,0.08003609818518333,6
20,Wisconsin,Arlington,41133,55V50,41885,244,6.24,1164,366,4748.87,748.1,7.52453651,1.1682692993903514,10.95870745,0.08068944504681527,4
21,Kentucky,Lexington,8/9/2012,Caliber,9/13/2018,259,5.22,1071,361,3710.81,750.6,21.91422477,14.93690175939871,24.79008259,0.2896738638352118,5
22,Kentucky,Lexington,4/5/2017,Caliber,9/14/2017,255,5.04,965,365,4605.93,831.6,20.62217338,13.91031811000633,25.66522997,0.285967817442154,6
23,Wisconsin,Arlington,8/9/2012,55V50,41885,258,5.64,1019,360,4726.89,815.3,19.86023424,13.396244759887718,25.92460268,0.07804527263408727,6
24,Kentucky,Lexington,3/31/2015,Caliber,9/19/2016,263,2.19,130,10,3553.4,635.8,20.59620062,14.049918285124347,23.68489508,0.27855565682897904,1
25,Wisconsin,Arlington,41365,55Q27,42251,246,5.37,497,364,4489.15,804.4,7.73540555,0.3880973533392913,11.14186171,0.07283501989145784,3
26,Kentucky,Lexington,8/9/2012,Saranac AR,9/15/2017,255,5.25,517,360,2806.57,782.3,19.33914291,12.91973032408464,24.63610376,0.2926787476711053,6
27,Wisconsin,Arlington,41365,55V50,42251,246,6.29,1079,367,4770.62,820.9,6.86887947,2.3333762926339308,12.32454225,0.08146775821904285,5
28,Wisconsin,Marshfield,41730,55Q27,42240,238,5.29,167,15,3036.55,654.3,15.89306028,11.558489403276244,22.39026731,0.07964056051072567,2
29,Kentucky,Lexington,4/5/2016,Saranac AR,9/15/2017,258,5.62,570,363,3502.31,743.4,21.33333613,14.331311985325215,24.85930174,0.2946279920670122,6
30,Wisconsin,Marshfield,42095,Vernal,42243,235,1.85,130,4,3367.27,556.8,21.38524357,14.844502234865553,23.77991295,0.07534465024723379,1
31,Wisconsin,Arlington,41365,5312,42251,247,4.78,1057,366,4529.09,802.6,8.2965901,1.3053616443579308,12.36167033,0.07566732897723932,6
32,Wisconsin,Arlington,41730,LH 9700,42604,231,7.89,141,4,4620.49,1043.2,7.53896466,0.7274726277279783,12.02903,0.07500597455985561,4
