,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,41730,55V50,41885,244,6.2,1149,365,4716.7,786.5,7.43015343,1.4968516534655885,11.64496206,0.07768753618541976,2
1,Wisconsin,Arlington,41730,55V50,42243,235,3.18,146,4,2618.55,440.4,16.36682069,9.41795071819377,24.0456461,0.07734259852863058,1
2,Wisconsin,Arlington,41730,55V50,42251,241,5.7,889,366,4493.16,770.0,9.69922761,3.022149506048708,11.81408516,0.07902617380006477,2
3,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,258,5.97,988,364,4756.76,1043.2,22.54819422,15.488607796753504,25.85571075,0.279493180432389,2
4,Kentucky,Lexington,4/5/2016,Caliber,9/14/2017,255,7.7,171,2,3203.25,746.1,19.62148735,14.933451759863761,24.38232838,0.28875524230467964,2
5,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,261,6.88,774,364,2955.96,680.7,18.66604255,15.00299712229106,23.47589014,0.29411516836366025,3
6,Wisconsin,Arlington,41730,55V50,8/12/2013,236,6.17,503,362,4677.95,755.7,6.23343331,1.1606937530764285,23.99719424,0.08965890146996268,1
7,Wisconsin,Marshfield,41730,55V50,41890,247,2.16,227,4,3109.02,485.8,15.8226509,9.231564760827826,23.98552965,0.07469437825490174,2
8,Wisconsin,Arlington,41730,55V50,42240,245,6.68,915,366,4691.55,726.0,7.47984402,-0.13163760538784142,11.99588468,0.07240711352503479,2
9,Kentucky,Lexington,8/9/2012,55V50,9/14/2017,257,5.31,546,364,4782.92,817.7,19.93187251,17.260567544761905,23.49080582,0.28746266356435285,2
10,Wisconsin,Marshfield,41730,55V50,41890,247,1.19,172,1,2770.85,605.1,14.8956224,9.726846514861704,21.73173918,0.7,1
11,Wisconsin,Arlington,41365,55V50,41885,246,5.74,885,359,4654.67,747.5,6.35082623,0.4522725354290211,12.53593666,0.08033875860591647,2
12,Wisconsin,Arlington,41730,55V50,42251,246,5.37,1349,363,4679.35,724.3,8.58407443,-0.53,11.72755016,0.0723114450297166,2
13,Wisconsin,Arlington,41730,55V50,42240,246,6.9,1116,367,4762.56,757.1,7.52800715,1.3734829596441025,11.78644467,0.07645222215284062,1
14,Wisconsin,Marshfield,41730,55V50,41886,244,2.71,143,1,2905.08,462.8,16.66814178,10.191561265395805,23.44435189,0.07579133518243454,1
15,Wisconsin,Marshfield,41365,55V50,41919,245,6.23,543,359,3015.93,758.8,7.35228334,-0.17732932147031688,24.80208153,0.07182280966935826,1
16,Wisconsin,Arlington,41730,55V50,41886,246,5.47,550,364,4590.06,758.7,6.5161717,2.2214947530693507,11.50594009,0.0810996772966146,1
17,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,255,1.32,209,2,2930.05,481.8,20.45811138,16.700234730495616,25.825123,0.2884527436289135,1
18,Wisconsin,Marshfield,41730,55V50,42604,234,6.64,177,5,4509.46,1043.2,7.02845397,3.0317588098602233,26.16042863,0.08087720557082681,1
19,Kentucky,Lexington,4/5/2017,Caliber,9/13/2018,259,5.56,1033,369,4587.15,997.4,20.81270253,17.441324406347956,25.57989275,0.28806403829956656,2
20,Wisconsin,Marshfield,41730,55V50,42613,229,5.64,456,363,4654.68,1009.8,8.51111494,1.8084148096818833,13.67643719,0.07767160554614314,2
21,Wisconsin,Marshfield,41730,55V50,42240,244,4.78,221,2,4611.2,520.2,16.44351354,9.868350670567354,23.60560567,0.07577188981281524,1
22,Wisconsin,Marshfield,41730,55V50,42613,229,5.54,988,364,4712.4,911.7,7.09709022,2.621349438105426,13.23510397,0.0842930313500008,2
23,Wisconsin,Marshfield,41365,55V50,41885,247,6.57,1007,363,4803.74,795.6,6.98124875,1.4888380464490236,11.43625148,0.08014446912901829,2
24,Wisconsin,Marshfield,41730,55V50,42240,235,6.21,409,365,4665.64,779.4,8.4456611,1.2612056760462547,12.24487524,0.07861091817210318,2
25,Wisconsin,Arlington,41730,55V50,42251,235,7.51,1040,364,4648.61,1004.7,7.58240837,3.1451277422062334,12.31723538,0.08298743496501094,2
26,Wisconsin,Marshfield,41730,55Q27,41886,247,5.58,212,1,3059.24,478.1,16.10969776,10.74251891459658,22.91141021,0.07499132881837697,1
27,Wisconsin,Marshfield,41365,55Q27,41919,248,5.57,453,361,4560.17,735.2,6.54331837,-0.53,11.52873192,0.07904153422582229,1
28,Wisconsin,Arlington,41365,55V50,42251,247,7.16,1014,365,4705.89,795.5,7.01029107,1.0020184529233822,12.08635465,0.07956696652475374,2
29,Kentucky,Lexington,8/9/2012,Caliber,9/18/2014,251,5.25,651,366,4566.55,795.0,20.85460481,15.539424990003532,24.02823361,0.29356801420206624,3
30,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,257,3.37,158,3,2984.08,437.5,22.57913708,13.501664216575094,24.40708858,0.29299042663723407,1
31,Kentucky,Lexington,4/5/2016,55V50,9/19/2016,240,1.19,141,4,4652.72,937.8,22.01655161,16.44911260776708,25.10504924,0.2817980684660473,1
32,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,257,5.6,1250,367,3137.42,794.2,21.86365788,16.064802279644397,25.54993048,0.28282353861110887,2
33,Wisconsin,Arlington,41730,55V50,9/19/2016,248,6.46,232,12,2744.37,811.0,15.09234216,15.821360944952803,23.51829696,0.07280733296333884,1
34,Wisconsin,Arlington,41365,55V50,41885,245,6.23,1028,364,4658.35,730.7,5.97037103,3.0035477250574574,11.6255611,0.07272561190329929,2
