,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,41730,LH 9700,42604,243,2.27,145,1,4601.48,946.1,6.67195217,3.6782070747265436,12.43173199,0.07487450365931295,2
1,Wisconsin,Marshfield,41730,55V50,42613,243,6.11,1197,365,4584.33,1043.2,9.33561067,2.380932611170002,13.95744484,0.07809265640096812,2
2,Wisconsin,Arlington,41365,55Q27,42251,246,5.37,902,364,4696.73,812.3,6.23955195,0.69399156275177,12.3234737,0.08198279105687593,1
3,Wisconsin,Marshfield,42095,Vernal,42243,235,2.2,130,1,2378.45,477.4,21.77931514,11.244890123236022,25.0703077,0.07578148909835788,1
4,Wisconsin,Marshfield,41365,55V50,41919,268,4.9,1227,365,4810.28,862.2,6.00445267,0.6649162948170723,11.98301728,0.08407249052890435,1
5,Wisconsin,Arlington,41133,55V50,42251,247,6.76,1023,367,4614.61,733.6,6.82553331,1.5360796728805175,11.85945179,0.077610278590164,2
6,Wisconsin,Marshfield,41365,55V50,42240,235,5.9,1050,362,4688.15,759.4,6.95377535,2.4142739659178725,12.87828624,0.07922283851218001,1
7,Kentucky,Lexington,8/9/2012,Arc,9/15/2017,254,4.52,530,360,2976.59,753.3,20.27620784,15.54750722043987,24.4743528,0.28850328112712265,2
8,Wisconsin,Marshfield,41730,55Q27,42240,233,5.52,531,363,4606.2,763.8,5.71704078,1.5734461937764255,11.78600905,0.07922380407693158,1
9,Wisconsin,Arlington,8/9/2012,55V50,41885,261,5.49,928,367,4823.96,778.9,7.34372952,0.5161297440997114,11.56607977,0.07101820150770947,2
10,Kentucky,Lexington,4/5/2016,Saranac AR,9/14/2017,240,6.75,508,1,4709.0,1037.0,21.6186778,16.570970283962932,26.241135,0.2770558069811388,2
11,Wisconsin,Marshfield,42095,55Q27,42243,234,2.39,189,1,2626.24,432.4,15.69313502,10.343477123038202,23.18635048,0.07637094668058711,1
