,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,258,5.92,153,1,3385.18,481.5,20.76230405,14.376804428325611,24.88649761,0.2916101514727742,1
1,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,260,5.61,1000,367,3103.75,754.4,21.23947467,14.96651607958498,25.54176924,0.28507056319492197,2
2,Kentucky,Lexington,3/31/2015,Contender,9/14/2017,251,5.12,242,361,3097.91,760.1,20.81404948,15.16219114461644,25.90211894,0.295706467612404,2
3,Wisconsin,Arlington,41730,55V50,42240,233,5.82,500,365,4808.8,827.1,7.38042472,1.117742760569287,12.43471816,0.08089150255689856,2
4,Wisconsin,Marshfield,41730,55V50,42243,234,1.91,146,1,3065.74,451.8,17.08175244,10.474028931991096,24.20426679,0.07254480327646372,1
5,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,252,4.84,141,1,3023.59,465.5,20.16555049,14.530995268408073,24.636521,0.2915823436130092,1
6,Wisconsin,Arlington,41365,55V50,42251,246,4.89,955,365,4660.17,809.0,7.10495171,1.6317380990346535,11.86887537,0.07844500665237912,2
7,Wisconsin,Marshfield,41730,55V50,41890,250,1.19,213,2,2826.53,506.9,16.20157657,10.800149756138063,21.07134961,0.07588703959890263,1
8,Wisconsin,Marshfield,41730,55V50,42240,231,5.95,196,1,2933.74,505.4,16.38360431,11.497289404607818,23.89233305,0.07376467413214836,1
9,Wisconsin,Arlington,41365,55V50,42240,248,5.53,634,364,4710.57,712.5,6.16228075,2.281804488451259,12.36089091,0.0788116422827668,1
10,Wisconsin,Arlington,41730,55Q27,42240,245,6.21,149,364,4636.32,820.0,7.51401721,1.028564712402318,11.91227193,0.08072477244456201,2
11,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,256,6.62,547,364,3330.79,824.6,21.2309201,15.23049779742458,24.11402061,0.2829450288305054,2
12,Wisconsin,Arlington,41730,55V50,42251,248,6.19,978,364,4559.08,735.5,6.37465716,1.9756942240432607,12.16377673,0.07854551994104124,2
13,Wisconsin,Arlington,41730,55V50,42251,247,6.04,960,364,4564.7,773.5,6.91364861,1.1799826295503721,11.09545568,0.0829812745565924,2
14,Wisconsin,Lexington,41365,55V50,41885,256,5.87,563,363,3196.52,810.1,19.57910944,14.949289388229573,24.27049839,0.2841104209328096,2
15,Kentucky,Lexington,3/31/2015,Caliber,9/14/2017,255,5.22,1148,369,3304.08,739.8,20.85215102,15.645494009280782,26.62643834,0.2878655834869982,1
16,Wisconsin,Marshfield,42095,55V50,42613,237,1.54,153,363,4610.04,1014.2,7.79505164,2.852273158767337,13.30972374,0.08122639781889406,1
17,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,259,6.16,187,1,2882.06,650.9,20.55318446,15.984186490253016,24.49562266,0.2913267884592943,1
18,Wisconsin,Marshfield,41730,55V50,42613,238,4.76,1090,367,4586.48,1040.3,6.88144086,2.2964121186530715,13.2286719,0.08239352165212026,2
19,Wisconsin,Arlington,41365,55V50,42240,240,6.18,527,362,4746.95,750.6,7.16558448,-0.42242215520485726,12.57601816,0.07855151192077675,2
20,Wisconsin,Lexington,8/9/2012,55V50,9/15/2017,241,6.58,637,364,3114.44,808.7,18.64943157,18.822874483703497,26.48077343,0.07177359594033923,2
21,Wisconsin,Arlington,41730,55V50,41885,248,5.87,518,362,4608.39,823.7,7.0519925,1.8481041145457429,12.2736166,0.07625601850806935,1
22,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,256,5.74,977,366,4808.43,754.9,22.4169914,15.276679304575625,25.05221628,0.2822321240028663,2
23,Wisconsin,Marshfield,41730,55V50,42240,246,4.85,511,363,4696.4,776.5,8.30217227,1.9614650655597146,11.73245855,0.07827909267123366,2
24,Wisconsin,Arlington,41730,55Q27,42240,247,6.23,460,364,4679.48,801.0,6.01016434,0.931389629702067,11.16841552,0.08058732857576285,1
25,Wisconsin,Marshfield,41730,55Q27,42243,240,2.73,132,1,2866.42,419.6,16.10109771,10.325978769483216,22.68900395,0.07,1
26,Wisconsin,Arlington,41365,5312,42251,248,5.43,997,365,4631.13,808.8,6.82292305,1.0397105848214294,11.41415922,0.07637272644998082,3
27,Wisconsin,Lexington,8/9/2012,55V50,41885,238,4.9,1177,364,4745.99,774.2,18.99952949,15.184135388114266,24.13613304,0.07579139536087241,1
