,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Marshfield,41730,55Q27,41890,232,4.64,161,5,3140.56,559.4,16.35518148,11.295783861568072,21.95142378,0.08317190028158084,1
1,Kentucky,Lexington,8/9/2012,55V50,9/13/2018,231,5.87,1102,366,4681.67,760.6,7.58793281,0.9696985437759212,24.73377229,0.29793683427985934,1
2,Wisconsin,Marshfield,41730,55V50,41886,247,2.07,130,1,2674.49,128.3,15.97779605,10.872583856110182,22.0138222,0.07710243797019624,1
3,Wisconsin,Marshfield,42095,55V50,42240,230,5.69,130,3,4622.16,1014.7,21.2499713,16.22828495460655,23.741194,0.07189991248459839,1
4,Wisconsin,Arlington,41365,55V50,42251,246,8.33,496,363,4749.39,757.1,5.87562031,0.05762648163762063,11.92047709,0.07678066359934149,2
5,Wisconsin,Arlington,41730,55V50,42604,247,7.94,435,363,4816.89,755.7,6.69329678,-0.19469019384690078,13.05712944,0.07909544908873521,2
6,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,259,7.68,498,366,3290.58,773.0,20.56212517,15.998856883980688,25.18309844,0.2845753858768613,2
7,Kentucky,Lexington,8/9/2012,Ameristand 403T,9/15/2017,256,9.51,552,365,3333.82,798.5,20.4507919,14.551877607933456,25.17697153,0.28839988771341607,2
8,Wisconsin,Arlington,41730,55V50,42249,245,6.68,512,367,4642.31,774.9,7.6379009,1.8145539977070553,12.29945222,0.07985061235688956,2
9,Kentucky,Lexington,3/31/2015,Contender,9/19/2016,257,1.89,133,2,3347.95,366.8,20.40352627,15.562292573470694,23.87613098,0.2863949333413105,1
10,Kentucky,Lexington,8/9/2012,Saranac AR,9/13/2018,224,5.14,511,369,2482.14,789.6,21.64985626,16.992225520380774,24.8555711,0.30243706238959045,1
11,Wisconsin,Arlington,41365,55V50,41885,247,5.17,932,366,4445.25,774.4,6.13559961,-0.21604978643514516,11.50765818,0.07898465327176266,2
12,Wisconsin,Arlington,41730,55V50,42240,244,7.56,506,363,4618.78,774.0,15.92488747,1.016051254913024,24.46427334,0.07993236353992625,3
13,Kentucky,Lexington,8/9/2012,Ameristand 403T,9/15/2017,257,6.7,1188,363,3668.71,864.5,19.88425544,12.522520417686131,23.35139238,0.2875780995112096,2
14,Kentucky,Lexington,8/9/2012,Contender,9/19/2016,260,4.35,1206,367,3369.99,866.0,21.69617138,16.176854288326833,25.51393307,0.2885528885269428,1
15,Wisconsin,Marshfield,42095,55V50,42613,232,2.27,463,364,4644.43,996.8,7.96650802,2.575431635059486,26.9394526,0.07359634801012307,1
16,Kentucky,Lexington,41365,55V50,42240,230,5.4,458,366,4791.42,803.1,20.82525174,15.039772300957141,24.99905042,0.29240319834545886,2
17,Wisconsin,Arlington,41730,55V50,41886,247,3.04,130,1,3058.57,117.1,16.43263592,11.00379431377883,23.4600353,0.07272366752333026,1
18,Wisconsin,Marshfield,41365,55V50,42240,241,5.99,522,361,4723.83,757.4,19.99720027,16.029121320240872,24.61620131,0.2877946125233554,2
19,Wisconsin,Marshfield,41730,55V50,42243,232,2.34,130,1,2762.2,385.9,16.56847537,10.557758536806395,24.26615707,0.07355029128917416,1
20,Wisconsin,Marshfield,41730,55Q27,41919,250,5.67,169,361,3664.93,560.0,15.47599097,10.863214442912302,21.76268004,0.07628153590076911,1
21,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,254,3.16,216,1,2902.3,773.5,19.95601895,14.591439781677654,23.76497413,0.2860239188263837,1
22,Wisconsin,Marshfield,42095,55V50,8/20/2018,230,2.52,130,1,2475.87,109.7,23.17039581,16.42352123826867,26.80472544,0.07,1
23,Wisconsin,Arlington,41730,55V50,42604,233,8.18,573,361,4726.11,779.8,7.1703934,1.5843863554093134,13.03159721,0.08472611663972146,2
