,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Marshfield,41730,55V50,41919,247,4.12,1121,361,3172.52,804.4,16.43525343,10.29890037970784,24.41707944,0.07,1
1,Wisconsin,Marshfield,41730,55V50,9/19/2016,248,1.94,130,4,2676.78,471.6,17.00518867,16.705559112301344,23.65705765,0.07646630344701498,1
2,Wisconsin,Arlington,41730,55V50,42243,247,2.07,164,4,3068.74,258.6,16.08457464,10.074642036612342,23.87669107,0.07,1
3,Wisconsin,Marshfield,41730,55V50,42240,232,5.66,465,361,4532.15,760.2,6.05479147,2.1337917349089497,12.34062817,0.08372528463767781,1
4,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,255,5.93,525,365,3285.5,793.5,19.0268448,15.713504872445897,23.10832697,0.28976649677874755,1
5,Wisconsin,Marshfield,41730,55V50,42240,235,5.03,474,361,4663.69,927.2,6.93611938,2.488956057950995,12.15708569,0.08557587688992634,2
6,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,262,1.71,833,363,4648.11,1025.3,22.31682395,16.82642536215475,24.85436795,0.28922603311930367,1
7,Wisconsin,Arlington,41730,55V50,41919,245,5.92,997,365,4611.91,826.8,5.81748154,1.0688360496825542,11.54679341,0.07857614511620122,1
8,Wisconsin,Marshfield,41730,55V50,41890,247,5.96,130,2,2875.89,710.5,16.53679632,9.864041797554098,24.9186726,0.08263523884490666,1
9,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,259,8.75,969,367,3103.16,817.7,21.25822821,15.124989202449047,24.57132132,0.28673190629130363,1
10,Wisconsin,Arlington,41365,55V50,41885,245,7.16,456,363,4666.74,757.5,6.02429034,1.432640079954049,11.04769526,0.07488361676584161,1
11,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,263,1.75,185,1,3300.67,579.7,20.7579007,16.444636608855546,24.24814449,0.27932418176745505,1
12,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,251,3.1,510,361,3301.77,999.0,21.86441597,16.368924099807742,23.96860886,0.28395867570224437,1
13,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,254,8.41,1092,367,3369.33,928.0,21.49980073,16.046991386453865,25.00856627,0.28333276878662306,1
14,Wisconsin,Marshfield,41730,55V50,42240,247,5.82,632,365,4488.53,762.8,8.13686332,1.9879870290372121,12.27339932,0.0835782665603854,1
15,Wisconsin,Marshfield,41730,55V50,41919,246,5.01,714,363,2823.88,782.5,15.3328549,1.293112434654896,24.1910899,0.0739128064973986,1
16,Wisconsin,Marshfield,41730,55V50,41886,246,5.76,218,1,3241.91,775.5,16.42455821,9.676571048549953,22.79167522,0.07,1
17,Wisconsin,Marshfield,41730,55V50,42240,247,5.21,1165,362,4666.07,773.7,7.40993287,2.169194819441552,13.18501229,0.07622099744344667,1
18,Wisconsin,Arlington,41365,5312,42251,244,7.99,1019,363,4610.85,731.8,6.57336932,1.801840504513319,11.88081402,0.07850556765954596,2
19,Wisconsin,Marshfield,41365,55V50,42240,233,5.13,453,363,4695.34,770.7,6.07561375,-0.37496798901403383,11.96406789,0.08209479331716533,1
20,Wisconsin,Marshfield,42095,Vernal,42243,241,1.94,130,1,3135.6,595.2,17.1649203,10.492493088056829,22.90046851,0.07209805967723548,1
21,Wisconsin,Marshfield,42095,55V50,42243,235,1.43,170,1,2648.12,472.9,17.27459204,1.1978893483650923,24.85703275,0.0823160691348153,1
22,Kentucky,Lexington,3/31/2015,Caliber,9/12/2018,256,5.09,181,363,2887.96,802.3,19.78815117,15.627944481027946,23.40869038,0.2932091847815505,1
23,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,255,2.33,217,1,2882.22,1019.9,20.82017888,15.885210345564575,24.0656126,0.2879743592110875,1
24,Wisconsin,Marshfield,41730,Vernal,41890,247,1.76,130,4,2462.76,545.4,15.49027679,10.223180361140257,20.64884559,0.07814723056913173,1
25,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,262,3.41,142,3,3045.65,624.6,19.08282827,15.52470634565535,23.71131699,0.28278523406315415,1
26,Wisconsin,Marshfield,41730,55V50,42243,247,2.74,130,2,3106.96,555.7,17.62165303,2.9790961739128803,24.95375457,0.07175410714424135,1
27,Kentucky,Lexington,8/9/2012,55V50,9/19/2016,260,8.33,1066,365,2544.28,897.4,20.50101901,16.829691525534226,25.30975234,0.29281605772312214,1
28,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,263,1.26,130,1,3341.9,593.6,21.17929767,16.821972727361548,25.71294736,0.28462663340049993,1
29,Wisconsin,Arlington,41730,55V50,41886,246,5.4,148,7,2750.88,796.1,16.99109245,10.119690681953797,23.23802144,0.07243723511274557,1
30,Wisconsin,Marshfield,41730,55V50,42243,235,2.78,153,1,2288.78,518.8,16.03437223,15.710310842445779,23.65228645,0.0801748902911257,1
31,Kentucky,Lexington,8/9/2012,Caliber,9/18/2014,259,5.17,793,368,4792.55,831.7,21.96749417,15.39880546254491,25.92712874,0.2887823173912025,1
32,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,258,7.96,812,373,2832.86,629.0,21.31890586,15.445378660257125,25.55823421,0.2915236874512943,1
33,Wisconsin,Marshfield,41730,55V50,42240,247,5.41,1030,364,4672.17,818.3,6.58518343,0.6429242762067336,11.81795382,0.07567275327551093,1
34,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,261,5.84,509,362,3151.57,771.9,20.85912879,13.275930656988702,24.84636155,0.28844386355610035,1
35,Wisconsin,Marshfield,41730,55V50,42613,238,7.58,467,363,4773.58,1028.1,7.88017321,1.7039926155342344,12.43869667,0.08342177562474563,1
36,Wisconsin,Marshfield,41730,55Q27,41886,247,2.32,130,1,2869.25,480.0,15.76848852,10.5743755225787,23.85170243,0.0714477120773443,1
37,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,237,2.82,303,5,2649.27,488.1,22.2948435,17.734342489219067,25.40415437,0.2791284002831878,1
38,Wisconsin,Marshfield,41730,55V50,41885,244,6.53,488,364,3151.18,808.3,15.72549073,15.024514852684671,23.62338598,0.08115475799229713,1
39,Wisconsin,Arlington,41365,5312,42251,244,7.02,1026,362,4599.82,666.8,7.65165569,0.5619046839745753,12.20572268,0.08072594852371291,1
40,Wisconsin,Arlington,41730,55V50,42604,233,9.01,574,364,4823.96,1026.8,9.05073405,2.5946190483813063,12.64899191,0.08149128276466847,2
41,Wisconsin,Arlington,41730,Vernal,41886,246,2.67,216,4,3167.81,389.7,15.16979137,10.05372483147001,22.73403304,0.07,1
