,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,41730,55V50,41886,228,2.56,155,4,3090.18,721.8,16.36522648,10.42430065947494,23.12887414,0.07715229770898768,1
1,Wisconsin,Arlington,40664,55V50,41885,245,6.84,743,366,4823.96,795.9,8.47696113,0.4931151325556893,10.94574651,0.07609047106284213,3
2,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,258,5.18,1058,363,3326.66,813.4,19.17390172,14.265296560533784,25.04874867,0.29291135937752777,5
3,Kentucky,Lexington,8/9/2012,Saranac AR,8/12/2013,259,6.11,130,5,3306.96,757.4,16.21349253,15.866657717051945,24.67113013,0.29188581301986694,1
4,Wisconsin,Lexington,41365,55V50,42251,256,4.82,778,370,4761.33,787.0,8.11755714,1.808939153551734,12.35027052,0.07862075339696639,6
5,Wisconsin,Arlington,41730,55V50,42251,246,6.11,509,363,4588.04,799.3,7.07496392,1.848871570589244,12.1508215,0.07847208935904353,3
6,Wisconsin,Marshfield,41365,55V50,41919,280,5.79,508,362,4616.08,764.9,5.53,0.10314573027887586,11.73684181,0.07503734921467961,3
7,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,257,2.38,309,371,2915.68,443.5,19.69814195,16.40704694389638,24.99594988,0.28140126649738895,1
8,Kentucky,Lexington,8/9/2012,GA-505,9/19/2016,265,5.55,910,367,4505.81,581.9,18.3269045,15.247796046226622,25.10743889,0.2855098634037649,1
9,Wisconsin,Marshfield,41730,55V50,41890,246,2.02,140,1,3588.64,564.3,16.30754222,10.527600086822877,24.44326233,0.07462801589137909,2
10,Wisconsin,Marshfield,41365,FSG 424,42240,247,5.76,1035,362,4576.32,756.3,6.27312344,2.783187586067964,12.00293086,0.07,5
11,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,264,3.72,1124,370,3210.57,797.3,20.41292307,17.468485440924642,23.36888743,0.2883056350101672,2
12,Wisconsin,Arlington,41730,55V50,42240,247,7.16,1047,360,4674.84,775.9,6.69356201,1.1810885139450784,12.35372964,0.07872118683540466,5
13,Wisconsin,Arlington,41365,55V50,42251,250,5.76,878,372,4614.22,778.8,5.94030061,-0.08889275785332984,12.07233883,0.07798491848898167,6
14,Kentucky,Lexington,8/9/2012,CW 065030,41885,257,5.88,744,366,4785.68,779.4,21.35392083,15.803992406155997,24.75896653,0.28472363892556596,5
15,Kentucky,Lexington,8/9/2012,55V50,9/14/2017,258,6.6,1147,367,4651.04,730.8,20.46649484,15.12183207455608,24.63415697,0.28420425924834813,2
16,Kentucky,Lexington,4/5/2016,Contender,9/14/2017,257,1.46,130,4,4738.53,1003.5,21.28758139,15.639663831897096,26.87117754,0.28261568198784914,2
17,Wisconsin,Marshfield,41730,AFX103009,41890,258,5.6,179,1,2482.88,805.1,15.79398702,10.18275187095937,23.5880663,0.6527103416093559,1
18,Wisconsin,Marshfield,41730,55V50,42240,238,5.76,511,362,4784.73,756.9,5.60029621,1.1803095533656773,12.4429251,0.08434639774166439,4
19,Wisconsin,Marshfield,41730,55V50,42240,234,5.09,715,363,4697.31,802.6,8.28438826,1.9464550875846456,12.25264057,0.07864922703019568,5
