,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Marshfield,41365,55Q27,42251,244,4.84,1092,363,4703.49,776.4,6.31814386,0.7534984547617694,11.41339038,0.0804584705888462,1
1,Wisconsin,Marshfield,41730,55V50,42240,244,5.3,439,366,3211.32,798.4,18.09692804,9.885905217596093,23.20912548,0.07361000069324472,1
2,Wisconsin,Marshfield,41730,55V50,42240,233,5.4,910,363,4549.39,726.9,6.63658501,1.1350270007506431,11.78503816,0.077285450458878,1
3,Kentucky,Lexington,8/9/2012,55V50,9/18/2014,261,8.74,1251,368,4728.24,775.3,7.31579116,17.278814841700665,12.04928492,0.2839758186658605,2
4,Wisconsin,Marshfield,41365,55V50,42240,231,5.45,909,366,4646.98,786.9,18.9171743,16.274296284194794,25.56163112,0.07672682566077835,1
5,Wisconsin,Arlington,41730,55V50,9/18/2014,246,1.87,157,369,4483.19,773.5,19.99754842,0.9802204754406767,24.82031899,0.0757128503341109,1
6,Wisconsin,Marshfield,41730,55V50,42613,233,5.86,586,361,4728.52,934.4,7.00003313,2.9811147312173736,12.75795629,0.07829419067272739,1
7,Wisconsin,Marshfield,41730,55V50,42251,244,6.53,889,369,4666.94,817.3,7.68039499,1.6034207448507918,11.78552124,0.08010655562754483,1
8,Kentucky,Lexington,8/9/2012,Ameristand 403T,9/19/2016,260,5.68,1124,368,4781.56,786.8,18.99276132,14.83531671689078,24.55960952,0.2885553960346596,1
9,Wisconsin,Arlington,41133,5312,42251,250,6.59,865,367,4653.9,734.0,6.23111291,0.564336545787113,11.65753377,0.07388295182853043,1
10,Kentucky,Lexington,3/31/2015,Contender,9/14/2017,260,4.97,220,363,3203.45,816.6,19.33942129,16.320314983551444,25.80514145,0.28298825108869324,1
11,Kentucky,Lexington,8/9/2012,Saranac AR,8/12/2013,254,5.52,209,363,3158.9,796.5,19.00393004,14.764328533252883,23.65208145,0.30081160201568513,1
12,Kentucky,Lexington,3/31/2015,Saranac AR,9/12/2018,231,4.95,1032,364,4599.78,743.3,17.73788832,15.320356405677455,24.34938055,0.29596261067210866,1
