,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,41730,55V50,42249,244,8.55,1144,361,4648.75,759.0,8.88474448,1.6193101539793793,12.37016639,0.07517251333661852,3
1,Wisconsin,Marshfield,41365,55V50,42240,248,5.34,1205,369,4679.01,726.2,7.17119948,1.8823862495979273,13.3755004,0.08001300473673234,2
2,Kentucky,Lexington,4/5/2017,Saranac AR,9/14/2017,254,5.76,159,5,3049.2,793.9,19.67029717,16.410615373457787,25.55898157,0.29259746575063494,1
3,Wisconsin,Marshfield,41365,FSG 424,42240,233,5.45,470,364,4753.42,741.4,5.87994991,0.40277729529054795,12.49957641,0.08059869609605978,1
4,Kentucky,Lexington,4/5/2017,Saranac AR,8/12/2013,255,5.75,249,1,2979.57,795.0,21.65943042,17.429337179421104,24.99764352,0.29166348943877657,1
5,Wisconsin,Arlington,41133,55V50,42251,245,4.99,1190,365,4723.1,700.5,5.56330177,0.20188801426266223,11.49149943,0.08342937840483453,2
6,Wisconsin,Lexington,41730,55V50,42240,243,4.44,541,365,4644.65,763.3,8.10616725,2.0182627396562998,25.13734214,0.07954455149180027,2
7,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,258,2.86,207,1,2185.67,305.0,22.602497,16.068810441022812,27.09570754,0.2751603420327525,1
8,Kentucky,Lexington,3/31/2015,Caliber,9/14/2017,256,6.76,191,363,3334.68,544.7,20.87977037,16.390110214353378,24.84857275,0.28705362149141217,1
9,Wisconsin,Arlington,41365,55V50,42251,248,7.38,1145,364,4810.33,721.5,7.18819208,0.9169023510520301,13.2875624,0.07991289453033462,1
10,Wisconsin,Arlington,41730,55V50,42604,246,6.22,501,364,4713.8,970.9,7.99836834,2.916311909524336,11.64280394,0.07602942246822411,2
11,Wisconsin,Arlington,41365,55V50,42251,246,5.8,1046,363,4706.6,740.6,5.53,2.492749693693066,12.79766454,0.07674093353337814,1
12,Wisconsin,Arlington,40664,55V50,41885,244,5.69,1047,364,4823.96,804.1,6.19990874,0.31368037607331045,11.84324071,0.07,2
13,Wisconsin,Arlington,41730,55V50,41886,246,2.85,204,8,3196.26,465.2,15.51226404,9.679917408913294,22.5517264,0.07507139398275939,1
