,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,256,5.67,1070,8,3208.97,788.3,21.73353485,16.46848052563016,25.1532769,0.2898678702191187,1
1,Wisconsin,Arlington,41133,5312,42251,244,6.83,967,366,4766.64,797.9,6.94099043,1.6743534818887256,12.6377526,0.08011526255682469,4
2,Kentucky,Lexington,8/9/2012,Saranac AR,9/13/2018,258,6.06,482,361,3119.21,780.6,20.40034477,16.767445253998133,23.56953098,0.2872686008600977,1
3,Wisconsin,Arlington,41730,55Q27,42251,248,6.2,448,361,4717.15,728.6,7.0073961,0.8984781865660184,11.67683598,0.07755091767494826,2
4,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,260,2.81,157,1,3091.7,500.9,20.49045363,16.25190238064091,24.24956249,0.28025399146625857,1
5,Kentucky,Lexington,8/9/2012,Ameristand 403T,9/15/2017,258,6.59,1100,370,3427.48,775.7,19.92523339,14.842764683773979,24.17822326,0.2925774695134183,2
6,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,260,5.99,1179,369,4765.6,805.2,20.97170672,16.820077761255643,24.626176,0.28302976109218214,2
7,Wisconsin,Lexington,8/9/2012,55V50,9/18/2014,260,4.5,960,369,4638.2,731.4,20.30323059,15.573673939067927,26.54159571,0.07325259614970085,2
8,Kentucky,Lexington,3/31/2015,Saranac AR,9/19/2016,260,6.44,130,7,2577.47,457.2,20.26727939,15.331052877965732,23.95354255,0.28086904885639374,1
9,Wisconsin,Marshfield,41730,55V50,41890,234,1.78,188,6,3038.11,536.4,16.25039591,10.201739418128309,23.72711185,0.7,2
10,Wisconsin,Marshfield,41730,55V50,42240,246,6.1,1078,365,4636.49,814.0,8.02469814,1.71901436713339,12.39289005,0.08016169730123554,2
11,Wisconsin,Arlington,41133,5312,42251,245,6.88,1069,365,4791.41,755.4,6.05715568,1.244898727171275,12.88954782,0.0830127750156909,3
12,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,259,6.24,961,367,3312.6,717.5,19.87279594,15.421991450752353,22.76881054,0.2852173203769227,2
13,Wisconsin,Arlington,41365,55Q27,42251,245,5.16,1025,366,4680.99,754.0,6.62987332,1.478866917788255,12.57068031,0.08277852913051201,1
14,Wisconsin,Arlington,40664,Hybriforce-3400,41885,245,5.47,918,365,4792.21,805.7,5.6844575,-0.53,11.53799148,0.07,3
15,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,254,6.72,990,368,4682.4,815.8,21.23891109,16.65862134912361,24.42637349,0.2802059571546369,2
16,Wisconsin,Marshfield,41730,55V50,41890,259,6.32,131,4,2927.6,852.7,15.59900912,14.48240049898012,23.40047999,0.7,2
17,Wisconsin,Marshfield,8/9/2012,55V50,9/15/2017,261,7.05,932,362,3228.39,756.0,20.25750981,15.448839686731334,25.14755698,0.08099521839280538,2
18,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,257,2.9,130,1,2815.07,918.7,22.01419345,16.18313246389134,25.94511934,0.28139081434421165,1
19,Wisconsin,Lexington,8/9/2012,55V50,8/12/2013,231,6.98,485,366,3096.3,794.3,17.51777524,13.783641081134263,24.04016558,0.29059744107886337,4
20,Wisconsin,Marshfield,41730,55V50,42243,235,2.71,213,3,2773.67,600.6,16.13105177,11.291577255796087,24.39551946,0.07,1
21,Wisconsin,Arlington,41730,55Q27,41886,248,2.44,147,1,2693.21,380.9,15.38613797,10.5339257476923,22.3254906,0.07,1
22,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,258,5.44,919,363,2902.43,530.2,20.426108,13.677261272267511,25.593409,0.28436594192695075,2
23,Wisconsin,Marshfield,41730,55V50,42240,235,6.24,1021,364,4823.96,795.8,6.5487085,1.5180708606233262,24.62339038,0.07868305233878259,2
24,Wisconsin,Marshfield,8/9/2012,55V50,8/12/2013,241,6.07,1210,364,4724.45,861.0,7.35699125,0.9215830456261516,25.46509913,0.07911857116198008,2
25,Wisconsin,Marshfield,41730,55V50,41890,267,1.82,233,10,2671.38,528.1,15.62310041,9.861632419478083,24.60350203,0.07582800185174446,1
26,Wisconsin,Marshfield,41730,55Q27,42243,232,2.38,210,1,3111.09,526.1,16.50044021,10.609051742046447,23.89331463,0.07,1
27,Wisconsin,Marshfield,42095,55V50,42613,241,5.27,894,364,4683.25,998.1,8.26833621,2.5503533105225715,12.3726431,0.07406894515708064,2
