,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Marshfield,41365,55V50,42251,238,5.18,786,364,4636.61,751.1,7.2229248,2.10283183647631,12.27094821,0.0779137736513819,2
1,Wisconsin,Arlington,41730,55Q27,42251,247,6.37,738,365,4755.82,744.4,7.32107884,0.982464669227217,12.16160993,0.08009299531987919,2
2,Kentucky,Lexington,8/9/2012,55V50,9/19/2016,261,5.89,961,366,4675.76,771.5,20.51368696,14.371168195495118,23.50529037,0.28479636126146185,3
3,Wisconsin,Arlington,41730,55V50,42240,227,5.67,1166,363,4627.11,754.2,7.20518645,0.7361911975855799,12.77365737,0.0838959317140056,2
4,Wisconsin,Marshfield,42095,55V50,42243,231,2.54,184,7,4651.24,913.8,16.31558958,11.121162096527804,24.86597098,0.0775455305028203,1
5,Wisconsin,Arlington,41365,55V50,41885,248,4.71,814,361,4648.0,794.1,6.65465812,1.385771427332724,11.26912625,0.07514399228984917,2
6,Wisconsin,Marshfield,41730,Vernal,41886,245,4.02,217,1,2840.94,469.7,15.83906988,10.648998643957581,23.52782888,0.07441990060137713,1
7,Wisconsin,Arlington,41730,55V50,42251,247,6.42,1032,364,4675.05,781.5,7.00630945,0.48322675003341287,12.66112284,0.07865458563803954,3
8,Kentucky,Lexington,8/9/2012,Saranac AR,9/13/2018,254,5.43,1024,361,3290.8,802.6,21.38258887,14.208478190111368,24.76467179,0.29549861459965854,2
9,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,257,2.61,213,6,2947.38,561.3,20.03396561,15.292999079506982,24.29248452,0.2862053605039529,1
10,Wisconsin,Marshfield,41365,55V50,42251,244,5.03,950,364,4613.92,782.2,6.47835741,0.8192647618716951,11.69269849,0.0794458368566296,2
11,Kentucky,Lexington,4/5/2016,Contender,9/19/2016,257,2.56,176,3,3062.5,544.7,21.27272159,15.492135454303115,26.42929839,0.2772131311585369,1
12,Wisconsin,Arlington,41730,55V50,42249,245,9.63,1094,360,4721.68,729.9,7.18519381,0.8943277319115265,11.95647617,0.08263433084538248,3
13,Wisconsin,Marshfield,41365,55V50,9/12/2018,255,4.88,983,363,4783.99,825.3,6.87209615,1.7369058026441295,23.59734969,0.08528334095951834,2
