,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Lexington,41730,55V50,41890,260,2.65,130,1,2870.71,450.5,17.93526875,10.470374635779088,24.24286602,0.28285996879131453,1
1,Kentucky,Lexington,41730,55V50,9/14/2017,246,7.75,909,367,4755.61,1043.2,8.37562541,16.82807474593397,12.6326432,0.07088973734769541,2
2,Wisconsin,Marshfield,41730,55Q27,42243,245,1.88,235,1,3127.55,449.0,19.47052315,10.587076679049668,23.71880972,0.07242711112906614,1
3,Wisconsin,Marshfield,41365,55V50,42240,239,5.57,830,372,4628.17,855.6,17.82154688,0.9232731543345271,24.25573154,0.07946008285960501,1
4,Wisconsin,Marshfield,41730,AFX103009,41890,235,5.36,206,7,2729.5,837.8,19.01745672,10.559394258115653,24.22857402,0.6841187910260247,1
5,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,261,6.29,917,359,4794.23,1043.2,19.63624169,16.377103040423492,25.46350797,0.2818812887803951,1
6,Wisconsin,Marshfield,41365,55Q27,41919,249,5.06,157,363,4744.87,845.1,18.32035322,0.5683823796668942,21.9433576,0.07836403082449647,1
7,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,255,5.57,613,360,3441.82,721.9,20.63933163,15.062017767387117,23.86586049,0.2851951531282285,1
8,Wisconsin,Marshfield,42095,HybriForce 3400,8/20/2018,242,1.73,130,4,4541.98,1015.7,20.81142561,16.61231031083018,24.96707088,0.07391160948518793,1
9,Wisconsin,Marshfield,41730,55V50,42240,230,4.62,1119,363,4632.33,760.0,7.73086008,2.3158071721837516,12.47141729,0.07754538127136945,1
10,Wisconsin,Marshfield,42095,55V50,42243,240,1.22,130,5,2264.85,496.3,17.96729752,9.772946064887588,24.54696146,0.07948312191681103,1
11,Wisconsin,Arlington,41730,55V50,42251,245,6.9,482,364,4641.34,720.2,5.92033353,1.5131097147944255,12.71623627,0.07764927949561641,1
12,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,263,5.77,130,1,3315.86,555.4,19.55767725,15.178610193347488,25.18765853,0.27700751354109776,1
13,Kentucky,Lexington,8/9/2012,55V50,9/19/2016,258,6.66,1051,364,4823.96,852.8,19.76498828,16.673342968804185,24.96239825,0.290576681291762,1
