,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,41730,55V50,41885,245,6.82,560,361,2867.89,736.1,17.77529589,0.2734884033548799,11.66906862,0.07259563090074186,2
1,Wisconsin,Arlington,41730,55V50,42251,234,6.93,828,362,4615.29,827.0,6.95506212,2.7837751273056357,12.0666579,0.08152940418886585,2
2,Wisconsin,Arlington,41730,55V50,42251,248,5.51,535,364,4730.46,717.7,6.26246453,1.0013834734206846,12.33269645,0.08231853773899676,1
3,Wisconsin,Arlington,41730,55V50,42249,248,7.73,943,362,4728.69,789.8,5.96795443,0.3907499301666746,12.22434895,0.07738290905169595,2
4,Wisconsin,Marshfield,41730,55V50,42243,241,2.06,130,4,2802.82,120.9,18.01761933,10.391318824277882,21.98631702,0.07,1
5,Wisconsin,Marshfield,41730,55V50,42240,227,5.68,551,367,4792.02,756.4,7.18922647,4.31669920387217,12.12053483,0.07681970735102212,2
6,Wisconsin,Arlington,41730,55V50,41886,245,5.11,547,362,4642.58,766.5,5.53,0.7630254823530995,11.96365228,0.07912340266472552,2
7,Kentucky,Lexington,4/5/2016,Contender,9/19/2016,260,1.36,217,1,3222.07,505.4,20.75855489,17.44545227701778,26.26217152,0.2860135512643071,1
8,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,260,5.46,950,362,3234.51,756.3,19.02098988,15.377027296406503,25.18014053,0.2846289808088362,1
9,Wisconsin,Marshfield,41730,55V50,42240,239,5.64,131,364,4632.16,932.0,20.22994473,1.6194977357711438,12.32391279,0.07513343406665655,2
10,Kentucky,Lexington,3/31/2015,Contender,9/14/2017,256,6.1,1004,365,3268.5,798.9,20.03036655,14.642921849712911,24.91990137,0.28389731084528097,2
11,Wisconsin,Marshfield,41365,55V50,42251,230,5.3,799,364,4608.8,807.1,6.44636335,1.969448721961999,12.40289927,0.08263869489791147,2
12,Kentucky,Lexington,8/9/2012,55V50,9/14/2017,253,4.65,130,1,2800.1,722.6,19.7445476,16.860087116025596,23.57483384,0.2860327856870707,2
13,Wisconsin,Marshfield,41365,55V50,42240,247,4.3,896,363,4644.73,678.8,6.20928234,-0.53,12.72989721,0.08034536056573728,2
14,Kentucky,Lexington,8/9/2012,Caliber,9/12/2018,257,6.08,1102,365,2905.56,782.9,18.8967798,15.688990620198364,25.60377296,0.29183025917127103,1
15,Kentucky,Lexington,8/9/2012,Saranac AR,9/19/2016,259,2.94,130,6,2937.4,486.0,17.51580782,15.422638311865287,24.5619562,0.29574797365193695,1
16,Wisconsin,Arlington,41365,55V50,42604,247,8.16,1005,366,4711.74,1043.2,6.80459579,1.4845435930072926,11.86395372,0.07908535441439156,2
17,Wisconsin,Marshfield,41365,55V50,42240,232,4.52,549,363,4733.1,758.4,6.98869472,2.6899903067922777,12.53256855,0.08326185655060077,1
18,Kentucky,Lexington,3/31/2015,Caliber,9/14/2017,257,6.07,1135,366,3361.81,834.1,19.23795362,14.92727981254176,25.16184484,0.28321491194824083,2
19,Wisconsin,Marshfield,41730,Vernal,42243,236,2.21,130,2,3008.23,441.3,19.20359415,16.028178730413988,24.19342808,0.07092614824709467,1
20,Wisconsin,Arlington,41730,55V50,42240,246,5.62,474,364,4564.27,785.0,7.09882346,3.626807257637261,12.30100401,0.07279268238868909,2
21,Kentucky,Lexington,8/9/2012,Caliber,9/12/2018,254,6.32,1312,365,3103.55,770.9,19.74082558,15.99833837906751,26.07872797,0.30012550842080676,2
22,Wisconsin,Arlington,41365,55V50,42240,229,4.82,525,361,4720.94,766.9,6.85827118,2.1000459291158013,12.36774279,0.08084879770342464,2
23,Wisconsin,Arlington,41730,55V50,42251,245,4.79,1037,364,4574.7,774.5,6.66055795,1.557210939769217,11.92821869,0.07551632666140756,2
24,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,252,1.92,188,2,2717.81,499.0,18.87606663,15.572042397941221,24.93358048,0.28502134092473297,1
25,Wisconsin,Arlington,41730,55V50,42604,242,7.62,831,363,4666.13,1043.2,8.75377237,2.514141812629723,13.27934108,0.07599836428674535,2
26,Wisconsin,Arlington,41730,55V50,42604,245,9.51,548,363,4691.7,1032.0,7.86502359,1.1306045025833025,13.48744495,0.08393857114208525,3
27,Kentucky,Lexington,8/9/2012,55V50,41919,255,4.67,541,362,2905.8,770.7,17.32924867,13.364435442815704,23.13004533,0.301106246296277,2
28,Wisconsin,Arlington,41365,55V50,41885,247,5.03,1111,364,4673.82,669.4,6.67540471,0.9675437178079078,11.46140424,0.07317161028162886,2
29,Wisconsin,Arlington,41365,55V50,41885,248,4.89,927,363,4772.46,792.0,6.73486517,1.5683426085825352,11.36040729,0.07754911458463715,2
30,Wisconsin,Arlington,41730,55V50,42251,245,6.32,1026,364,4673.52,817.7,7.25529386,2.0084500477155203,11.96051277,0.07748169646679451,2
31,Wisconsin,Marshfield,41730,55V50,42240,238,6.06,504,362,3232.47,724.3,18.28820222,1.9117113461847972,24.76971486,0.07988462780436228,1
32,Kentucky,Lexington,8/9/2012,55V50,8/12/2013,263,5.74,1137,362,3145.34,779.2,19.28878991,14.512274460688541,25.11919047,0.29099036271362727,2
33,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,254,5.44,593,361,3201.44,770.4,19.11544503,15.642143208767665,24.30267795,0.2999815465692602,2
34,Kentucky,Lexington,3/31/2015,Saranac AR,9/19/2016,255,1.49,179,4,3070.33,511.0,20.88309662,17.08731808413404,25.76189834,0.2877429349781074,1
35,Wisconsin,Marshfield,41730,55V50,42243,233,1.73,217,1,2653.65,167.6,18.9893571,10.721435790361976,22.17871974,0.07083710235415877,1
36,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,261,6.44,1277,365,3591.28,735.7,20.28915864,15.351425919808417,23.21292925,0.28389917489406513,2
37,Wisconsin,Lexington,41730,55V50,9/19/2016,259,4.59,521,366,2580.13,711.9,20.55666873,17.601967543081308,24.06108962,0.2798489753532417,2
38,Kentucky,Lexington,3/31/2015,Caliber,9/14/2017,257,4.46,877,363,2940.64,840.9,19.12992613,15.786431778873855,25.07888712,0.29089409803917565,1
39,Wisconsin,Arlington,41730,55V50,42604,244,6.99,388,366,4589.22,912.1,7.5791854,2.7294050369852267,13.05511812,0.07484873660429538,2
40,Wisconsin,Arlington,41730,55V50,41886,244,7.73,295,1,3137.91,799.1,5.83180585,0.24342962393967893,10.96082622,0.07721953069551665,1
41,Kentucky,Lexington,3/31/2015,GA-505,9/19/2016,257,1.98,166,4,2716.89,557.3,20.78210956,17.494586444456246,25.8617105,0.28792069096302997,1
42,Kentucky,Lexington,8/9/2012,Saranac AR,9/19/2016,260,2.85,170,4,2934.2,483.6,17.54589225,16.35722863365543,25.95188433,0.29536895532369195,2
43,Wisconsin,Marshfield,42095,55V50,9/14/2017,236,3.11,188,1,4744.42,930.3,20.0705914,16.700663924377267,24.77151165,0.0759933613569916,1
44,Wisconsin,Marshfield,41365,55V50,41919,233,4.53,871,362,4823.96,798.9,7.31379937,0.8445393600149672,11.61668138,0.0806190324458626,1
45,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,259,8.09,1144,367,4719.9,785.2,18.70204301,15.966174933120529,24.6279383,0.283187463306488,2
46,Kentucky,Lexington,4/5/2017,Caliber,9/12/2018,261,4.69,1105,364,4651.09,936.4,20.14495725,15.011778948849688,26.67369496,0.292131531944803,2
47,Wisconsin,Marshfield,41730,Vernal,42240,245,5.45,130,1,3051.97,472.4,19.10159944,14.906457154291767,23.11348141,0.28341700220099486,1
48,Wisconsin,Arlington,41730,55V50,42251,234,5.58,1156,364,4608.43,778.2,18.15139429,0.568784486799577,25.3347938,0.0730650820047779,2
49,Wisconsin,Marshfield,41730,55Q27,41890,238,4.11,130,1,2909.37,533.5,17.61558606,10.081760176717067,23.07692281,0.07807525994689044,1
50,Wisconsin,Arlington,41365,55V50,41885,248,5.35,1047,364,4723.34,760.8,6.54217555,-0.21255974340964312,11.73940087,0.07521244384322107,3
51,Wisconsin,Lexington,41730,55V50,9/19/2016,237,3.06,1055,363,4568.87,773.5,19.01737422,15.705437410481766,24.93819029,0.07904836194948339,2
52,Wisconsin,Arlington,41730,55V50,42604,244,8.41,489,362,4732.78,923.3,7.17737299,1.325495306381468,13.63937456,0.08098568636306619,3
53,Kentucky,Lexington,3/31/2015,Caliber,9/14/2017,254,5.78,1137,363,4659.29,989.7,21.78743393,17.064335054314405,24.98605476,0.2816597750407776,1
54,Kentucky,Lexington,8/9/2012,Saranac AR,9/19/2016,258,2.78,145,2,3008.27,588.5,17.61288066,16.138203329538115,23.37324513,0.2828268471032702,1
55,Wisconsin,Marshfield,41365,55V50,42240,236,5.06,895,362,4546.05,777.1,6.81641554,1.6064372702385648,12.25813686,0.07998660620928065,1
56,Kentucky,Lexington,8/9/2012,Caliber,9/12/2018,260,5.82,1248,363,4765.66,693.9,19.34318036,16.227941658391142,23.94262301,0.2850947875394663,2
57,Wisconsin,Arlington,41365,55V50,41885,245,5.12,1294,365,4729.54,822.2,6.85001433,0.9418089585411044,11.75300703,0.07602209076003692,2
58,Wisconsin,Marshfield,41730,55V50,42243,236,1.19,150,6,2603.75,552.9,19.20407232,16.815832046066756,25.71668441,0.07527824671484754,1
59,Kentucky,Lexington,8/9/2012,55V50,8/12/2013,251,5.66,577,361,4780.68,738.5,19.50356012,15.88072831001018,24.59800173,0.2815514196601778,2
60,Wisconsin,Arlington,41730,55V50,42243,231,1.94,208,1,2958.35,109.7,19.16922038,16.54404326402897,24.13194165,0.08102308152283062,1
61,Kentucky,Lexington,3/31/2015,GA-505,9/12/2018,254,5.03,1074,363,4802.09,1007.9,21.09897177,18.283164294039246,24.97333776,0.2842167876002356,1
62,Wisconsin,Arlington,41730,55Q27,42251,247,4.76,459,361,4721.99,754.3,6.13514393,0.9219182041037208,11.89598012,0.07692505922556024,2
63,Wisconsin,Marshfield,41730,55V50,42240,233,4.05,469,363,2940.98,781.7,18.67723862,16.74714658895206,23.81104025,0.07771700550476243,1
64,Kentucky,Lexington,3/31/2015,Saranac AR,9/19/2016,238,1.86,158,1,2687.25,469.2,19.12772178,14.806969968454158,25.26592302,0.2923943058148389,1
65,Wisconsin,Marshfield,41730,55V50,41890,240,6.08,151,2,3011.27,794.8,18.32971425,16.36294803593148,24.83844303,0.07879419834815385,2
66,Wisconsin,Arlington,41730,55V50,42251,244,9.05,414,362,4781.79,755.2,6.91395083,3.6339805638952782,12.46298685,0.07736234380374224,2
67,Wisconsin,Arlington,41730,55V50,41886,248,2.37,130,2,2817.16,254.3,17.95930461,11.279199608106662,23.39650618,0.08073537361864769,1
68,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,260,5.96,764,362,3133.93,717.5,19.7819384,14.041541762542485,24.29573839,0.29198386710366087,2
69,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,257,1.19,130,1,2537.94,469.8,19.71600526,18.87832738,26.81622333,0.27806155676794064,1
70,Wisconsin,Marshfield,41730,55V50,42243,230,2.07,254,1,2693.53,573.2,18.53531159,15.575118859056975,23.56660377,0.07932912130290826,1
71,Kentucky,Lexington,3/31/2015,Ameristand 403T Plus,9/19/2016,257,1.64,133,1,2503.21,646.9,20.70961052,14.939932221502007,25.61887028,0.28400990432016915,1
72,Wisconsin,Arlington,41365,55V50,42251,246,5.52,930,365,4755.13,763.4,6.15598394,0.29858092948748927,11.96732509,0.0722870208232348,1
73,Wisconsin,Arlington,41730,55V50,41885,250,4.58,485,362,4652.83,811.0,17.31060978,0.598187283959555,24.16756444,0.0812070448536776,2
74,Kentucky,Lexington,8/9/2012,Radiance HD,8/12/2013,258,6.27,1009,364,3158.77,841.6,17.66886921,13.7407078621052,23.95166565,0.2928181329526766,3
75,Wisconsin,Lexington,41730,55V50,9/14/2017,259,1.9,130,3,3243.05,672.5,19.55922848,16.71418102212023,25.52203966,0.0790554924641213,2
76,Wisconsin,Arlington,41365,55V50,41885,245,6.18,1127,361,4704.32,808.2,6.48012669,1.1450300301824443,11.40287274,0.08314151706957429,3
