,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Lexington,4/5/2017,Contender,9/14/2017,255,1.82,168,2,3259.34,1003.4,20.8692203,16.055673299287612,26.10214123,0.2906135767515143,1
1,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,258,2.23,130,1,2813.25,483.9,20.61906782,17.803336702511878,25.78271443,0.2828524210938075,1
2,Wisconsin,Arlington,41730,55V50,42613,246,8.2,1255,363,4615.87,1043.2,7.94639471,1.9182988396493679,13.10161472,0.07249136864601022,4
3,Wisconsin,Arlington,41730,55V50,41886,245,2.52,233,363,2722.61,813.9,18.33288809,1.2077069492148709,25.57450337,0.0747117484410446,1
4,Kentucky,Lexington,8/9/2012,55V50,9/12/2018,256,5.61,1259,362,3029.81,778.7,19.43977383,15.594293697841971,24.32266094,0.29108108501857805,2
5,Wisconsin,Marshfield,41730,55V50,41890,261,2.32,178,1,2760.89,338.4,19.88726109,11.191022843210943,25.26878551,0.07568413434379366,1
6,Wisconsin,Arlington,8/9/2012,55V50,42604,235,7.49,1104,362,4680.01,795.6,7.52699733,1.6568615580380495,13.35130754,0.07310856145001181,3
7,Kentucky,Lexington,3/31/2015,Contender,9/19/2016,262,2.14,242,1,3169.28,502.4,20.46004958,16.261044677187023,26.20572263,0.28968158629129587,1
8,Wisconsin,Lexington,42095,55V50,9/14/2017,237,2.28,130,1,4560.07,1001.8,20.47217783,16.0823642439952,25.73267844,0.07270356354967877,1
9,Wisconsin,Marshfield,41730,55V50,42243,238,1.71,144,1,3205.83,271.7,18.7295736,10.336423702616909,25.87115553,0.07743313296131564,1
10,Kentucky,Lexington,8/9/2012,Saranac AR,9/12/2018,262,6.02,936,362,2734.58,792.1,18.78995157,15.558182719361167,24.31575551,0.29085380417662765,2
