,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,41730,55V50,42240,234,6.06,775,366,4599.97,929.9,7.51173039,2.3230473476663924,13.18447525,0.08536123512267009,7
1,Kentucky,Lexington,8/9/2012,Saranac AR,41890,259,6.04,130,2,3217.01,529.8,17.21294442,16.664058326028442,24.47469826,0.2909498507921055,2
2,Kentucky,Lexington,8/9/2012,Contender,9/19/2016,255,6.51,508,364,4701.94,603.5,17.00878842,15.510214889615646,25.32239189,0.28076608385566937,3
3,Wisconsin,Marshfield,41365,55V50,42240,262,6.45,130,366,4710.61,440.0,18.13038522,14.32163979303807,24.84967323,0.07569107416026113,3
4,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,260,6.3,1020,367,2810.81,842.6,16.69714777,13.890789157730072,24.85639223,0.28764489554346834,3
5,Wisconsin,Marshfield,41365,55V50,41919,249,5.57,1103,365,4716.61,772.1,7.09242105,0.7800977654047232,12.21915787,0.07411077337192744,5
6,Wisconsin,Lexington,41730,55V50,42604,230,7.2,530,365,4648.97,770.0,7.34386804,0.49934244914234105,12.95028739,0.07887031563906359,7
7,Wisconsin,Arlington,41365,55V50,42251,246,5.99,980,365,4808.27,796.9,6.29130263,-0.06273366865053132,11.25252959,0.08108690102908872,7
8,Wisconsin,Marshfield,41730,55Q27,41886,246,5.34,255,1,3038.73,598.0,18.70923398,10.372355180958017,23.22408664,0.07656747965427427,2
9,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,259,5.88,1160,364,3310.26,836.6,19.71817378,14.131852348162537,26.51349517,0.28296077354305116,6
10,Wisconsin,Marshfield,41730,55V50,42243,257,2.4,151,1,2877.9,593.5,18.82481139,14.65026526460171,24.65092018,0.287708566762202,2
11,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,261,5.05,1268,363,4676.07,751.5,19.79113199,13.942627360138388,23.54233438,0.2945783015140024,5
12,Wisconsin,Arlington,41730,55V50,42249,245,9.1,455,366,4673.05,763.6,5.83901581,1.1924359266777027,12.53489111,0.0782259327479245,7
13,Wisconsin,Arlington,8/9/2012,55V50,41885,246,6.23,456,364,4823.96,807.0,7.5164541,-0.059960815255626576,11.68168744,0.07481111407325958,6
14,Wisconsin,Marshfield,41730,55Q27,42251,248,5.41,983,364,4480.22,715.6,7.27914906,1.0767132478536716,11.27255613,0.08021544248790043,4
15,Wisconsin,Marshfield,41365,55V50,42240,237,4.48,1100,368,4823.96,1043.2,7.61950319,2.025232168353707,13.33926582,0.07897239027498201,6
16,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,258,5.72,826,363,4823.96,955.7,18.52760078,15.124023757962282,27.1486062,0.2792381163225996,7
17,Wisconsin,Marshfield,41730,55Q27,41890,247,1.54,246,1,2904.05,548.7,18.06784423,10.570989562400097,23.85553852,0.07763848877261721,1
18,Wisconsin,Arlington,41730,55Q27,41886,245,6.06,130,3,2930.82,323.9,19.09916884,10.124896256650999,22.83642291,0.07898868445077366,1
19,Wisconsin,Marshfield,8/9/2012,55V50,42240,265,6.7,1088,363,4645.29,788.9,17.39556999,15.013269416259854,23.88459668,0.07855849117342686,2
20,Wisconsin,Arlington,41730,55V50,41885,249,5.59,130,5,2792.86,466.5,15.66746854,10.43516180406027,23.15156899,0.08205704384092384,2
