,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Marshfield,41730,Saranac AR,41890,256,1.89,170,1,3149.97,562.9,17.85719735,9.722201658723714,23.71225703,0.6792145079392706,2
1,Wisconsin,Marshfield,42095,55V50,42243,233,2.11,130,1,2964.32,457.2,19.80901635,17.433158070892382,24.35513619,0.07384224422288646,1
2,Kentucky,Lexington,4/5/2017,Contender,9/14/2017,257,2.2,193,1,3333.27,1029.0,19.56806797,14.733953082315791,27.00023339,0.2823115884586797,3
3,Wisconsin,Marshfield,41365,55V50,42251,247,5.41,1231,363,4728.46,800.0,7.94842371,1.175247734553007,13.26398702,0.07808212834517103,6
4,Wisconsin,Arlington,41133,55V50,42251,246,5.24,970,365,4678.9,775.2,6.27335187,-0.27294937045744994,11.35845099,0.08008000632615289,6
5,Kentucky,Lexington,4/5/2016,55V50,9/19/2016,258,2.41,286,1,3150.0,462.4,21.5122102,14.282334443617966,25.42195502,0.2813002192349257,2
6,Wisconsin,Marshfield,41365,55V50,41919,265,5.74,516,363,4823.96,828.3,6.80406023,-0.08494090300554524,12.07469004,0.07198421259081496,7
7,Wisconsin,Arlington,41365,55V50,41885,247,5.33,741,362,4823.96,725.5,5.99041159,0.6987210907561765,11.79050179,0.07296728342945803,6
8,Wisconsin,Lexington,41730,55V50,9/14/2017,253,5.19,133,1,3235.01,753.3,19.7501018,15.275264787122714,24.53374474,0.2834992653205622,1
9,Wisconsin,Marshfield,41730,55V50,42240,245,6.16,456,366,4596.59,767.7,6.47052998,1.9662786177247829,12.58959922,0.07582960609268248,2
10,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,253,5.12,1013,365,3140.59,724.9,19.63026216,15.784959875689884,25.59584549,0.28644192745048347,6
11,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,256,4.21,1109,364,4807.44,825.9,20.45446573,15.87542000302395,25.78906101,0.2906869925240107,5
12,Wisconsin,Marshfield,41730,55V50,42243,236,1.19,131,3,3314.19,432.1,18.5224968,16.05979618060779,25.49680671,0.07856995768954131,2
13,Wisconsin,Arlington,41365,55V50,41885,246,5.53,860,365,4602.89,797.2,5.76704796,-0.2852945197183365,11.15669905,0.07137634397721943,6
14,Wisconsin,Arlington,41730,55V50,42251,245,5.1,497,362,4715.95,761.9,6.00283112,1.3405572089635795,10.97380013,0.07873293887800928,2
15,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,264,5.33,193,4,3045.53,594.5,20.71224213,16.35113112014837,26.10623715,0.2839582569087115,1
16,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,257,5.21,222,361,2994.2,735.1,20.2406988,14.796106713317894,23.8527745,0.2828534168156009,7
17,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,258,5.2,1020,361,3399.08,740.3,20.99531562,14.939131833715452,25.18799879,0.2908567825116034,7
18,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,255,5.11,592,362,3021.09,820.8,19.74817348,14.509769346109723,24.09842363,0.2931183161512867,1
19,Wisconsin,Arlington,41365,55V50,42251,245,6.18,971,363,4674.0,751.1,6.93063115,2.0093973231858504,11.8778752,0.0722205285275187,5
20,Wisconsin,Arlington,41365,5312,42251,243,5.16,447,362,4801.01,755.0,5.89979682,1.4723919743566587,13.09695596,0.08310982639466911,6
21,Wisconsin,Marshfield,42095,55V50,42613,240,4.85,732,363,4606.38,1043.2,7.5154424,1.1508545013105693,13.34224798,0.08029085056733047,6
22,Wisconsin,Arlington,41365,5312,41885,246,5.54,1112,364,4811.47,755.2,6.26394107,0.2976846021339947,11.18462286,0.0715298612819815,8
23,Wisconsin,Marshfield,41730,55V50,8/12/2013,255,5.43,157,2,2733.2,515.1,16.56754961,10.824490815505031,22.41020862,0.6950311836089548,7
24,Wisconsin,Arlington,41730,55V50,41886,249,1.68,154,1,2983.61,109.7,18.75834779,11.732488412814085,23.26676625,0.07563930732433924,1
25,Wisconsin,Marshfield,41365,55V50,41919,259,6.07,497,362,3167.83,810.8,6.10106006,0.5229415001928929,10.92,0.07916677932645799,6
26,Kentucky,Lexington,4/5/2017,Saranac AR,9/14/2017,253,2.12,236,1,3021.54,483.7,20.56021866,15.37353156347713,26.68184408,0.28222649473361033,2
27,Wisconsin,Marshfield,41730,Vernal,42240,235,2.83,142,5,4581.81,299.1,18.01708827,1.2477136701418008,23.41321322,0.07846093102186437,4
28,Wisconsin,Marshfield,41730,55V50,42240,246,1.7,235,5,4607.36,539.1,19.88105458,2.0702938505340605,24.68615862,0.08170559997704642,2
29,Wisconsin,Arlington,41365,55V50,42251,245,6.51,1136,368,4551.03,736.4,7.26949288,0.8994044966079754,12.90427396,0.07467735805255325,7
30,Wisconsin,Arlington,41730,55V50,41886,245,1.93,130,3,3042.68,275.9,19.16569678,10.701951928095927,23.50640247,0.07,1
31,Wisconsin,Marshfield,41365,55V50,41919,247,6.7,1213,363,4709.89,817.2,6.92255447,0.2501247601364742,12.5039422,0.07547630445051735,5
32,Wisconsin,Marshfield,41730,Vernal,41890,240,1.19,145,4,3208.93,539.7,16.103371,10.810422739370198,22.84659629,0.07092626253282952,3
33,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,255,4.61,166,3,3053.15,573.6,19.83947088,14.128805438983068,24.97861554,0.2890782228611502,4
34,Wisconsin,Arlington,41365,55V50,42251,245,6.11,744,365,4578.33,757.7,6.33386037,1.084258070013905,12.36254919,0.0727775551476061,6
35,Wisconsin,Marshfield,42095,Saranac AR,42243,237,2.33,130,1,2595.2,490.5,19.60093041,15.59490962678776,25.24746016,0.07171470042273348,1
36,Wisconsin,Arlington,41730,55Q27,42251,246,4.76,130,4,2828.95,807.8,19.18004102,9.511418343808616,22.78734226,0.0702522414614662,6
37,Wisconsin,Marshfield,41365,55V50,41919,264,5.63,518,364,4721.34,803.6,6.94629869,0.46391758102119107,11.71152791,0.07875343829916101,6
38,Wisconsin,Arlington,41365,5312,42251,245,4.16,921,363,4708.76,742.7,7.51414517,1.752796483742141,13.07265271,0.07462704318742613,5
