,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,262,5.87,856,365,3265.56,777.0,20.92761296,15.056665937940501,26.03672389,0.2846287932310775,1
1,Wisconsin,Arlington,41730,55V50,9/19/2016,241,5.52,1071,365,4652.92,883.6,21.02618253,3.5578320118133617,13.03270774,0.07541248351981326,1
2,Kentucky,Lexington,8/9/2012,Saranac AR,9/13/2018,255,4.85,512,368,3187.98,835.2,20.88017048,14.1533855423066,23.98329795,0.2959727980365013,1
3,Wisconsin,Arlington,41730,55V50,41886,246,2.83,180,1,2387.42,184.8,15.85126422,10.39208396738832,24.61238962,0.07301338359810496,1
4,Wisconsin,Arlington,41730,55Q27,41886,246,2.5,130,1,2486.18,224.1,15.39696423,10.043584414553505,21.17290255,0.07153420982867117,1
5,Wisconsin,Marshfield,41365,55V50,9/19/2016,243,5.21,984,365,4595.69,544.5,7.20580971,-0.23884968551123875,13.36229196,0.07589034023115175,1
6,Wisconsin,Marshfield,41730,55V50,42613,230,5.83,923,363,4686.82,942.8,6.56593367,2.9921362478736375,10.92,0.07765709094838617,1
7,Kentucky,Lexington,41730,55V50,9/15/2017,259,5.96,796,362,2938.6,765.5,21.34407633,14.89993871578858,25.79728947,0.2892100740845685,1
8,Kentucky,Lexington,8/9/2012,Saranac AR,9/12/2018,259,4.57,499,367,2637.63,746.3,17.05560768,15.575409020540503,23.74272255,0.29434133647178634,1
9,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,255,5.68,489,363,3076.45,733.9,19.64500559,16.239468535252104,25.68552415,0.28593761853991817,1
10,Wisconsin,Arlington,8/9/2012,55V50,41885,246,5.82,586,361,4688.29,775.0,6.23087625,1.2498554416704735,11.60788582,0.07405488464891981,1
11,Wisconsin,Lexington,8/9/2012,55V50,41919,257,5.33,937,357,4640.08,800.6,6.60224174,16.255881721075095,24.71211511,0.2960233963344171,1
12,Wisconsin,Arlington,41730,55V50,41890,249,5.29,130,366,2785.13,504.5,21.0536675,15.73237934555255,23.6802409,0.07719165207309675,1
13,Kentucky,Lexington,4/5/2016,Caliber,9/14/2017,258,6.04,1057,365,4784.19,1043.2,21.22698169,15.041761232505603,24.64027513,0.29165973202722295,1
14,Wisconsin,Marshfield,41730,55V50,42240,235,4.98,170,8,4797.62,807.7,17.15571759,2.2822338723854463,24.12143697,0.07275886463697691,1
