,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Lexington,3/31/2015,Caliber,9/14/2017,255,5.71,1045,362,3423.83,781.1,20.96384866,16.164047762871718,25.80048464,0.28692455009546763,1
1,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,260,5.3,1062,360,3405.4,745.6,20.86004028,14.553711373680596,23.50630588,0.2939801381445654,1
2,Kentucky,Lexington,8/9/2012,55V50,9/14/2017,266,5.65,944,364,4500.24,793.2,20.62924931,15.516139971889015,23.66638178,0.2789049477062951,1
3,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,257,5.34,899,368,2655.66,998.3,21.9442453,15.995129490701725,26.13866294,0.28344430760647044,1
4,Kentucky,Lexington,8/9/2012,55V50,41885,256,5.21,854,366,4811.29,806.0,18.76036896,15.0710428628586,24.51955776,0.2866988831891635,1
5,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,260,5.28,998,363,4527.29,753.8,20.68638637,16.759835867433825,25.20829505,0.2824844603149221,2
6,Wisconsin,Marshfield,41365,55Q27,41886,249,4.67,130,10,2879.28,227.2,16.27304294,10.185584088162923,22.32716423,0.07867029870385997,1
7,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,257,1.55,130,2,2255.45,509.3,21.39694109,17.383587810074737,26.9271964,0.28257571820232835,1
8,Wisconsin,Lexington,41365,55V50,41885,260,5.03,608,362,4758.69,838.2,20.95925226,1.4149593634936168,22.76345461,0.07453756203058763,1
9,Wisconsin,Lexington,8/9/2012,55V50,9/15/2017,259,5.74,863,365,4721.87,761.7,19.67297781,1.3431219917743848,24.37243592,0.2852484982016544,1
10,Wisconsin,Arlington,41730,55V50,42249,246,6.53,508,368,4698.12,739.5,7.50279697,1.2606120692647296,12.70215267,0.07204916806533232,1
11,Kentucky,Lexington,8/9/2012,Saranac AR,9/13/2018,256,5.35,1141,366,2900.89,813.5,20.22926886,15.326958840211894,24.04733028,0.2958335663785944,1
12,Wisconsin,Arlington,41730,55Q27,41886,245,1.76,160,2,3007.75,279.0,15.74214595,11.007660944867322,24.53844365,0.07326737100650997,1
13,Wisconsin,Marshfield,41730,55Q27,42240,246,4.36,202,361,4510.21,790.5,7.37166124,0.8581113363277674,11.46377354,0.07819694650779116,1
14,Wisconsin,Arlington,41730,55V50,42251,247,6.36,856,360,4709.83,792.2,7.16395479,2.1677109384718714,24.39280528,0.07630254217554445,1
15,Wisconsin,Arlington,41365,55V50,42251,247,6.56,862,366,4739.19,776.4,6.01135389,1.4338092565073228,11.97993569,0.07151469047512775,1
16,Wisconsin,Arlington,41365,55V50,42251,247,6.04,1015,365,4676.32,717.8,7.18209582,1.196884175591228,11.59707921,0.07841316608914725,1
17,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,252,5.23,757,362,4637.11,908.7,20.01011361,16.1621179906086,25.24936384,0.2821391775141323,1
18,Wisconsin,Marshfield,41730,55Q27,41886,247,5.68,130,5,3033.46,273.1,15.86878809,10.188599232966393,23.44558551,0.08048691057015876,1
19,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,261,5.64,169,364,3036.49,768.0,21.68617714,15.757885481399784,25.96417613,0.29222958271993055,1
20,Wisconsin,Arlington,41365,5312,42251,246,6.3,855,362,4711.35,766.2,6.02068192,1.2744312911657922,12.33862314,0.08070749053630567,2
21,Kentucky,Lexington,8/9/2012,Saranac AR,9/13/2018,258,6.79,508,363,3180.8,859.9,21.83783963,15.607026683678345,26.43650897,0.2962970097739038,1
22,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,256,1.69,130,1,2575.66,443.0,22.58735657,16.323429554601468,25.35192991,0.2768180494769126,1
23,Kentucky,Lexington,8/9/2012,Ameristand 403T,9/15/2017,261,4.93,978,370,4716.26,800.0,20.80093298,15.085751694128385,25.14728693,0.2822393810716565,2
24,Wisconsin,Arlington,41365,5312,42251,247,5.22,949,364,4738.11,800.8,6.86756047,1.7538996773710585,11.46587393,0.08006525359200836,1
25,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,258,1.98,139,3,2981.17,452.7,20.60864929,15.742224025949746,24.01488681,0.28648051915322176,1
26,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,258,1.91,130,1,2903.97,479.8,20.23772641,14.96489554179656,24.56808735,0.2811364183550955,1
27,Wisconsin,Arlington,41730,55V50,42249,233,6.8,433,365,4676.24,779.0,6.54791163,0.8723946627037082,10.92,0.07727678661077457,1
28,Kentucky,Lexington,3/31/2015,Contender,9/14/2017,258,4.52,1144,360,2581.17,839.4,21.26408636,16.518964738802506,24.02222349,0.29051484879394773,1
29,Wisconsin,Marshfield,41365,55V50,41919,245,4.98,678,362,4754.64,807.6,5.53,0.12685181604811424,12.10427883,0.08053610929554728,1
30,Wisconsin,Arlington,41730,55V50,42613,230,6.18,756,364,4658.04,1029.2,8.03666385,1.8652983888068233,13.23194765,0.07883123867210248,1
31,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,261,6.79,152,1,3100.44,460.5,20.80971849,16.942701640255354,24.67473986,0.28501491066640144,1
32,Wisconsin,Marshfield,41365,55V50,41919,246,5.38,1148,363,4707.33,786.7,5.67172239,0.0634711317149137,11.90771231,0.07885917238391098,1
33,Wisconsin,Marshfield,41365,55V50,41919,247,5.76,891,363,4690.43,806.4,5.8543615,0.9705826941545384,23.95680005,0.07786463449672812,1
34,Wisconsin,Arlington,41730,55V50,42240,245,5.76,769,365,3135.52,709.6,19.14662843,1.477953556066385,24.71448008,0.07366851613325967,2
35,Kentucky,Lexington,4/5/2016,55V50,9/19/2016,243,5.84,1007,365,4554.93,1030.0,19.72243112,16.404543693069183,26.31188829,0.2835151102403,1
36,Kentucky,Lexington,8/9/2012,Saranac AR,9/13/2018,257,6.08,513,364,2994.1,792.7,21.99815559,15.316002287421657,25.51732483,0.2957036253109707,1
37,Wisconsin,Arlington,41730,55V50,42249,245,5.31,511,366,4791.56,781.7,6.63477181,1.3916075404521668,12.97954727,0.07688564184580603,1
38,Wisconsin,Arlington,41365,55V50,42251,243,5.19,831,366,4814.29,805.3,7.03096037,0.6449846738679893,12.53296656,0.08512834084824898,1
39,Wisconsin,Arlington,41730,55V50,42613,242,9.66,555,365,4471.34,977.1,6.95409968,2.1792667175012665,12.39985709,0.08000150219689825,2
40,Kentucky,Lexington,3/31/2015,Contender,9/14/2017,259,2.21,130,1,2998.61,602.5,19.5587844,16.30007141978915,24.11536385,0.2831859785441376,1
41,Wisconsin,Arlington,41365,55Q27,42240,244,6.3,1220,363,4508.49,780.7,7.35814679,1.312229059341498,11.41994926,0.07727368417338387,1
42,Wisconsin,Marshfield,41730,55V50,8/12/2013,236,6.27,528,363,2734.64,742.7,16.42087034,15.945948978391625,24.81265825,0.2930392661738206,1
43,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,258,5.27,815,363,2769.8,796.5,20.3355624,15.455780150578907,24.25596414,0.2838067173649861,1
44,Kentucky,Lexington,3/31/2015,Saranac AR,9/17/2015,256,1.84,150,2,2671.38,561.3,22.07801204,16.05523913473299,25.42877353,0.2822620633345191,1
45,Wisconsin,Marshfield,41730,55V50,42240,233,3.52,185,1,2801.26,788.5,20.73728901,10.971259227805986,26.41829161,0.0816819062275581,1
46,Wisconsin,Marshfield,41730,55V50,42240,239,6.53,508,366,4708.91,734.1,8.01688858,1.8563963858627304,12.53733127,0.07941320920404973,2
47,Wisconsin,Arlington,41730,55V50,9/14/2017,238,7.77,130,359,3365.18,719.2,20.49501428,10.658153845667334,24.58737878,0.0770135916879607,1
48,Wisconsin,Marshfield,41730,55Q27,41886,245,5.83,130,363,4566.36,796.3,7.5500469,0.7947101889500559,23.79279506,0.07618296747354864,1
49,Wisconsin,Arlington,41365,55V50,42251,244,5.03,941,363,4572.28,708.8,6.89594018,1.4729413632182196,11.96950383,0.07727534202957442,2
50,Wisconsin,Marshfield,41730,55V50,42613,236,5.99,569,364,4600.02,1016.1,6.78425534,0.790782669332927,12.56611546,0.07833311616098584,1
51,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,253,5.59,936,363,3303.59,757.4,20.20206232,15.76639285208567,25.37024539,0.2898870445862984,1
