,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,41730,55V50,42604,236,5.58,1123,366,4823.96,1043.2,7.6278808,1.798096897376114,12.87280346,0.07130118394426137,2
1,Wisconsin,Arlington,41730,55V50,41886,232,5.32,238,1,3123.55,773.7,15.90660092,10.52866424237821,24.5048785,0.07267586638421052,1
2,Wisconsin,Arlington,41365,55V50,41885,246,6.78,1100,365,4750.98,799.8,6.81657978,-0.31911126259201605,12.32711747,0.07361758730926585,3
3,Kentucky,Lexington,8/9/2012,Ameristand 403T,8/12/2013,255,7.79,539,367,3006.52,760.7,21.29616226,17.108115231128245,23.36859455,0.29259234022478187,3
4,Kentucky,Lexington,3/31/2015,Contender,9/14/2017,257,5.63,1077,363,4764.72,808.8,20.75277461,15.694625001506573,24.47611836,0.29072337617012023,1
5,Wisconsin,Arlington,41730,55V50,42251,246,5.52,910,363,4596.23,737.6,6.61324727,2.509032923513381,12.2753112,0.0819550162856214,2
6,Wisconsin,Arlington,41133,55V50,41885,246,6.82,845,364,4802.2,649.4,6.01122502,0.18340789530132184,11.81415824,0.07441396636230062,3
7,Wisconsin,Arlington,41365,FSG 424,42251,246,5.77,1101,365,4746.15,725.6,6.76849635,1.5727395148231873,11.75846864,0.08133254994263109,2
8,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,256,6.49,483,363,4660.29,1016.6,22.14217343,16.695955725253427,24.41950108,0.28213564819281073,2
9,Wisconsin,Arlington,41365,55V50,42251,235,4.89,1014,367,4589.0,805.3,7.70205701,2.3217582425258394,11.85336726,0.07379270598542674,2
10,Wisconsin,Marshfield,41730,Vernal,41890,248,2.6,130,4,2581.17,495.3,16.08775221,10.802307886825677,22.15686258,0.07421398300458187,1
11,Wisconsin,Lexington,3/31/2015,55V50,41890,257,1.77,137,2,2739.06,562.4,21.83160981,9.660030756960042,25.53857586,0.28293528792148914,1
12,Wisconsin,Arlington,41730,55V50,42251,240,8.28,441,361,4788.46,796.8,6.44285466,2.046045937750793,12.08281099,0.0702048612493806,2
13,Wisconsin,Arlington,41730,55V50,42251,245,7.45,565,362,4706.32,758.4,6.72276939,0.7283639157660704,12.61637853,0.0737726052243754,2
14,Wisconsin,Arlington,41730,55V50,42251,246,5.62,509,365,4718.89,784.1,6.93168837,1.2716815665767585,11.55643848,0.07124328272244183,2
15,Wisconsin,Marshfield,41365,55V50,42240,233,5.16,870,365,4581.35,733.6,6.28212643,1.0617207003992342,12.69207523,0.07297248059357057,2
16,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,254,5.89,1418,363,3329.41,790.9,20.98262963,16.68245277359979,25.26059695,0.28401769127609217,2
17,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,255,7.31,1023,369,4793.67,749.2,20.72793782,15.938466138540942,23.06614784,0.2878333496009686,2
18,Wisconsin,Marshfield,41730,55V50,42240,231,5.93,526,363,4607.81,803.7,7.08398483,1.8598604653363502,11.5945282,0.08572639197216199,1
19,Wisconsin,Marshfield,41730,55V50,41886,246,2.18,148,1,3050.25,125.8,16.56547865,10.338172135877787,22.91663631,0.0718163631021717,1
20,Wisconsin,Marshfield,41365,55V50,42240,235,5.39,1166,364,4689.72,746.4,6.84966635,2.632365836007546,11.66103705,0.07475896669143316,2
21,Wisconsin,Arlington,41730,55V50,41886,246,2.38,300,1,3203.64,243.7,16.43838378,10.841924516070032,24.12126088,0.07670673937821015,1
22,Wisconsin,Arlington,41730,55V50,41886,247,7.72,457,362,4671.89,766.7,6.66000708,2.9759022697940827,11.49758907,0.07677055438037332,2
23,Wisconsin,Arlington,41730,55V50,42251,236,5.29,750,366,4747.8,953.4,7.53882798,1.9320870914240962,12.76140282,0.07530612248607818,3
24,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,255,5.82,1165,367,3121.36,783.7,20.87787201,13.355631909516774,25.145625,0.2862232404033541,3
25,Kentucky,Lexington,3/31/2015,Contender,9/19/2016,259,4.57,953,363,2972.06,1011.2,21.84037448,17.091226426218014,24.97834616,0.27940990922000997,2
26,Kentucky,Lexington,4/5/2016,Caliber,9/14/2017,256,6.41,665,358,2673.75,713.0,20.12402689,15.244770486675662,26.03604153,0.28473491895126024,1
27,Wisconsin,Marshfield,41365,55V50,42240,239,5.84,1061,362,4652.51,735.1,6.21380869,0.20099758370460274,11.76384471,0.08220283066033268,2
28,Wisconsin,Marshfield,41730,55Q27,42240,235,5.02,510,367,3334.53,747.5,16.15792734,1.286474164151794,24.75487313,0.08572037635362595,2
29,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,256,6.18,571,362,3162.42,793.2,21.86935729,16.071427662065414,24.02368423,0.2942233707382662,3
