,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
annual,Georgia,Athens,10/10/2007,TS 4010,12/5/2008,340,3.35,422,0,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465
annual,Georgia,Athens,10/10/2007,BaraWet 501,12/5/2008,340,2.99,422,0,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465
annual,Georgia,Athens,10/10/2007,GA-505,12/5/2008,340,3.08,422,0,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465
annual,Georgia,Athens,10/10/2007,Bulldog 805,12/5/2008,340,3.1,422,0,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465
annual,Georgia,Athens,10/10/2007,Phoenix,12/5/2008,340,3.13,422,0,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465
annual,Georgia,Athens,10/10/2007,Evermore,12/5/2008,340,3.15,422,0,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465
annual,Georgia,Athens,10/10/2007,Attention II,12/5/2008,340,3.1,422,0,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465
annual,Georgia,Athens,10/10/2007,Bara 503,12/5/2008,340,3.08,422,0,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465
annual,Georgia,Athens,10/10/2007,CW 500,12/5/2008,340,3.04,422,0,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465
annual,Georgia,Athens,10/10/2007,Hybri Force 600,12/5/2008,340,3.19,422,0,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465
annual,Georgia,Athens,10/10/2007,Hybri Force 700,12/5/2008,340,3.04,422,0,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465
annual,Georgia,Athens,10/10/2007,CW 35106,12/5/2008,340,3.04,422,0,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465
annual,Georgia,Athens,10/10/2007,BaraWet 501,10/22/2009,,6.26,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391
annual,Georgia,Athens,10/10/2007,GA-505,10/22/2009,,6.2,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391
annual,Georgia,Athens,10/10/2007,CW 500,10/22/2009,,5.98,743,409,2901.72,837.424,20.94585878,15.85034906,26.75858797,0.133986739
annual,Georgia,Athens,10/10/2007,Evermore,10/22/2009,,5.7,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391
annual,Georgia,Athens,10/10/2007,Phoenix,10/22/2009,,5.59,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391
annual,Georgia,Athens,10/10/2007,Bara 503,10/22/2009,,5.62,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391
annual,Georgia,Athens,10/10/2007,Attention II,10/22/2009,,5.63,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391
annual,Georgia,Athens,10/10/2007,Bulldog 805,10/22/2009,,5.41,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391
annual,Georgia,Athens,10/10/2007,Hybri Force 700,10/22/2009,,5.47,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391
annual,Georgia,Athens,10/10/2007,TS 4010,10/22/2009,,5.45,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391
annual,Georgia,Athens,10/10/2007,Hybri Force 600,10/22/2009,,5.61,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391
annual,Georgia,Athens,10/10/2007,CW 35106,10/22/2009,,5.44,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391
annual,Georgia,Athens,10/10/2007,BaraWet 501,11/1/2010,305,6.5,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673
annual,Georgia,Athens,10/10/2007,CW 500,11/1/2010,305,6.57,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673
annual,Georgia,Athens,10/10/2007,Phoenix,11/1/2010,305,6.76,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673
annual,Georgia,Athens,10/10/2007,GA-505,11/1/2010,305,6.83,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673
annual,Georgia,Athens,10/10/2007,Evermore,11/1/2010,305,6.8,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673
annual,Georgia,Athens,10/10/2007,Bara 503,11/1/2010,305,6.72,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673
annual,Georgia,Athens,10/10/2007,TS 4010,11/1/2010,305,6.57,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673
annual,Georgia,Athens,10/10/2007,Attention II,11/1/2010,305,6.56,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673
annual,Georgia,Athens,10/10/2007,Bulldog 805,11/1/2010,305,6.82,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673
annual,Georgia,Athens,10/10/2007,Hybri Force 700,11/1/2010,305,6.72,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673
