State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
Georgia,Athens,10/10/2007,TS 4010,12/5/2008,340,3.35,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.475449483,4.568452381,-0.825817756,2
Georgia,Athens,10/10/2007,BaraWet 501,12/5/2008,340,2.99,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.475449483,4.568452381,-1.069811199,1
Georgia,Athens,10/10/2007,GA-505,12/5/2008,340,3.08,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.475449483,4.568452381,-1.008812839,1
Georgia,Athens,10/10/2007,Bulldog 805,12/5/2008,340,3.1,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.475449483,4.568452381,-0.995257647,2
Georgia,Athens,10/10/2007,Phoenix,12/5/2008,340,3.13,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.475449483,4.568452381,-0.97492486,2
Georgia,Athens,10/10/2007,Evermore,12/5/2008,340,3.15,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.475449483,4.568452381,-0.961369669,2
Georgia,Athens,10/10/2007,Attention II,12/5/2008,340,3.1,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.475449483,4.568452381,-0.995257647,2
Georgia,Athens,10/10/2007,Bara 503,12/5/2008,340,3.08,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.475449483,4.568452381,-1.008812839,1
Georgia,Athens,10/10/2007,CW 500,12/5/2008,340,3.04,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.475449483,4.568452381,-1.035923221,1
Georgia,Athens,10/10/2007,Hybri Force 600,12/5/2008,340,3.19,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.475449483,4.568452381,-0.934259286,2
Georgia,Athens,10/10/2007,Hybri Force 700,12/5/2008,340,3.04,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.475449483,4.568452381,-1.035923221,1
Georgia,Athens,10/10/2007,CW 35106,12/5/2008,340,3.04,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.475449483,4.568452381,-1.035923221,1
Georgia,Athens,10/10/2007,BaraWet 501,10/22/2009,296,6.26,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.475449483,4.568452381,1.146462579,3
Georgia,Athens,10/10/2007,GA-505,10/22/2009,296,6.2,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.475449483,4.568452381,1.105797005,3
Georgia,Athens,10/10/2007,CW 500,10/22/2009,296,5.98,743,409,2901.72,837.424,20.94585878,15.85034906,26.75858797,0.133986739,1.475449483,4.568452381,0.956689901,2
Georgia,Athens,10/10/2007,Evermore,10/22/2009,296,5.7,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.475449483,4.568452381,0.766917222,2
Georgia,Athens,10/10/2007,Phoenix,10/22/2009,296,5.59,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.475449483,4.568452381,0.69236367,2
Georgia,Athens,10/10/2007,Bara 503,10/22/2009,296,5.62,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.475449483,4.568452381,0.712696457,2
Georgia,Athens,10/10/2007,Attention II,10/22/2009,296,5.63,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.475449483,4.568452381,0.719474053,2
Georgia,Athens,10/10/2007,Bulldog 805,10/22/2009,296,5.41,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.475449483,4.568452381,0.570366948,2
Georgia,Athens,10/10/2007,Hybri Force 700,10/22/2009,296,5.47,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.475449483,4.568452381,0.611032522,2
Georgia,Athens,10/10/2007,TS 4010,10/22/2009,296,5.45,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.475449483,4.568452381,0.597477331,2
Georgia,Athens,10/10/2007,Hybri Force 600,10/22/2009,296,5.61,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.475449483,4.568452381,0.705918861,2
Georgia,Athens,10/10/2007,CW 35106,10/22/2009,296,5.44,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.475449483,4.568452381,0.590699735,2
Georgia,Athens,10/10/2007,BaraWet 501,11/1/2010,305,6.5,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673,1.475449483,4.568452381,1.309124875,3
Georgia,Athens,10/10/2007,CW 500,11/1/2010,305,6.57,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673,1.475449483,4.568452381,1.356568044,3
Georgia,Athens,10/10/2007,Phoenix,11/1/2010,305,6.76,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673,1.475449483,4.568452381,1.485342361,3
Georgia,Athens,10/10/2007,GA-505,11/1/2010,305,6.83,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673,1.475449483,4.568452381,1.532785531,3
Georgia,Athens,10/10/2007,Evermore,11/1/2010,305,6.8,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673,1.475449483,4.568452381,1.512452744,3
Georgia,Athens,10/10/2007,Bara 503,11/1/2010,305,6.72,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673,1.475449483,4.568452381,1.458231979,3
