State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
Georgia,Athens,10/10/2007,TS 4010,12/5/2008,340,3.35,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.625241061,4.706666667,-0.834747964,2
Georgia,Athens,10/10/2007,BaraWet 501,12/5/2008,340,2.99,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.625241061,4.706666667,-1.056253567,1
Georgia,Athens,10/10/2007,GA-505,12/5/2008,340,3.08,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.625241061,4.706666667,-1.000877166,1
Georgia,Athens,10/10/2007,Bulldog 805,12/5/2008,340,3.1,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.625241061,4.706666667,-0.988571299,2
Georgia,Athens,10/10/2007,Phoenix,12/5/2008,340,3.13,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.625241061,4.706666667,-0.970112499,2
Georgia,Athens,10/10/2007,Evermore,12/5/2008,340,3.15,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.625241061,4.706666667,-0.957806632,2
Georgia,Athens,10/10/2007,BaraWet 501,10/22/2009,296,6.26,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.625241061,4.706666667,0.955755654,2
Georgia,Athens,10/10/2007,GA-505,10/22/2009,296,6.2,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.625241061,4.706666667,0.918838054,2
Georgia,Athens,10/10/2007,CW 500,10/22/2009,296,5.98,743,409,2901.72,837.424,20.94585878,15.85034906,26.75858797,0.133986739,1.625241061,4.706666667,0.783473519,2
Georgia,Athens,10/10/2007,Evermore,10/22/2009,296,5.7,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.625241061,4.706666667,0.611191384,2
