State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
Kentucky,Lexington,3/31/2015,Caliber,9/17/2015,260,2.08,170,1,2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,2.08282129,5.981551724,-1.873205225,1
Kentucky,Lexington,3/31/2015,FSG-426,9/17/2015,260,1.96,170,1,2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,2.08282129,5.981551724,-1.930819386,1
Kentucky,Lexington,3/31/2015,Fierce,9/17/2015,260,1.91,170,1,2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,2.08282129,5.981551724,-1.954825286,1
Kentucky,Lexington,3/31/2015,Contender,9/17/2015,260,2.02,170,1,2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,2.08282129,5.981551724,-1.902012305,1
Kentucky,Lexington,3/31/2015,Ameristand 427TQ,9/17/2015,260,2.09,170,1,2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,2.08282129,5.981551724,-1.868404045,1
Kentucky,Lexington,3/31/2015,Ameristand 403T Plus,9/17/2015,260,2.1,170,1,2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,2.08282129,5.981551724,-1.863602865,1
Kentucky,Lexington,3/31/2015,Buffalo,9/17/2015,260,1.97,170,1,2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,2.08282129,5.981551724,-1.926018206,1
Kentucky,Lexington,3/31/2015,Saranac AR,9/17/2015,260,1.91,170,1,2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,2.08282129,5.981551724,-1.954825286,1
Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,9/19/2016,263,2.32,167,1,2361.12,404,23.79017857,18.87832738,29.25310714,0.273233214,2.08282129,5.981551724,-1.757976904,1
Kentucky,Lexington,4/5/2016,FSG 415BR,9/19/2016,263,2.02,167,1,2361.12,404,23.79017857,18.87832738,29.25310714,0.273233214,2.08282129,5.981551724,-1.902012305,1
