State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
Wisconsin,Marshfield,42095,Vernal,42243,239,1.19,148,1,2883,453.6,16.84,11.08,22.62,0.07,1
Kentucky,Lexington,4/12/2018,NF11ALF006,8/20/2018,232,1.3,130,1,1856.67,440.3,23.38475,18.56275,28.45425,0.2729625,1
Wisconsin,Marshfield,42095,FF42.A2,42243,239,1.32,148,1,2883,453.6,16.84,11.08,22.62,0.07,1
Kentucky,Lexington,4/12/2018,BYS5028,8/20/2018,232,1.34,130,1,1856.67,440.3,23.38475,18.56275,28.45425,0.2729625,1
Wisconsin,Marshfield,42095,55Q27,42243,239,1.35,148,1,2883,453.6,16.84,11.08,22.62,0.07,1
Wisconsin,Marshfield,42095,54Q14,42243,239,1.36,148,1,2883,453.6,16.84,11.08,22.62,0.07,1
Kentucky,Lexington,4/12/2018,Ameristand 403T Plus,8/20/2018,232,1.47,130,1,1856.67,440.3,23.38475,18.56275,28.45425,0.2729625,1
Wisconsin,Marshfield,42095,55V50,42243,239,1.49,148,1,2883,453.6,16.84,11.08,22.62,0.07,1
Wisconsin,Marshfield,42095,HybriForce 3400,42243,239,1.52,148,1,2883,453.6,16.84,11.08,22.62,0.07,1
Kentucky,Lexington,4/12/2018,Saranac AR,8/20/2018,232,1.53,130,1,1856.67,440.3,23.38475,18.56275,28.45425,0.2729625,1
Wisconsin,Marshfield,42095,MS Sunstra 144110*,42243,239,1.54,148,1,2883,453.6,16.84,11.08,22.62,0.07,1
Wisconsin,Marshfield,42095,MS Sunstra 145154*,42243,239,1.61,148,1,2883,453.6,16.84,11.08,22.62,0.07,1
Wisconsin,Marshfield,42095,MS Sunstra 145159*,42243,239,1.61,148,1,2883,453.6,16.84,11.08,22.62,0.07,1
Wisconsin,Marshfield,42095,MS Sunstra 144142*,42243,239,1.73,148,1,2883,453.6,16.84,11.08,22.62,0.07,1
Kentucky,Lexington,4/5/2017,NF11ALF006,9/14/2017,257,1.81,162,1,4823.96,1043.2,21.42811224,16.16062925,26.57404762,0.277992619,1
Kentucky,Lexington,3/31/2015,Fierce,9/17/2015,260,1.91,170,1,2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,1
Kentucky,Lexington,3/31/2015,Saranac AR,9/17/2015,260,1.91,170,1,2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,1
Wisconsin,Marshfield,41730,AFX064022,41890,251,1.93,160,1,2781,548.5,16.14,10.44,21.8,0.7,1
Kentucky,Lexington,3/31/2015,FSG-426,9/17/2015,260,1.96,170,1,2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,1
Kentucky,Lexington,4/5/2017,Saranac AR,9/14/2017,257,1.96,162,1,4823.96,1043.2,21.42811224,16.16062925,26.57404762,0.277992619,1
Kentucky,Lexington,3/31/2015,Buffalo,9/17/2015,260,1.97,170,1,2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,1
Wisconsin,Marshfield,41730,Nuton,41890,251,1.97,160,1,2781,548.5,16.14,10.44,21.8,0.7,1
Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,263,1.99,167,1,2361.12,404,23.79017857,18.87832738,29.25310714,0.273233214,1
Kentucky,Lexington,4/5/2017,GA-505,9/14/2017,257,1.99,162,1,4823.96,1043.2,21.42811224,16.16062925,26.57404762,0.277992619,1
Kentucky,Lexington,3/31/2015,Contender,9/17/2015,260,2.02,170,1,2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,1
Kentucky,Lexington,4/5/2016,FSG 415BR,9/19/2016,263,2.02,167,1,2361.12,404,23.79017857,18.87832738,29.25310714,0.273233214,1
Kentucky,Lexington,4/5/2016,NF11ALF006,9/19/2016,263,2.03,167,1,2361.12,404,23.79017857,18.87832738,29.25310714,0.273233214,1
Wisconsin,Marshfield,41730,AFX103009,41890,251,2.03,160,1,2781,548.5,16.14,10.44,21.8,0.7,1
Kentucky,Lexington,4/5/2016,AFX095005,9/19/2016,263,2.07,167,1,2361.12,404,23.79017857,18.87832738,29.25310714,0.273233214,1
Wisconsin,Marshfield,41730,X13-9202B,41890,251,2.07,160,1,2781,548.5,16.14,10.44,21.8,0.7,1
Kentucky,Lexington,3/31/2015,Caliber,9/17/2015,260,2.08,170,1,2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,1
