Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
1.615,3.607578698,16.45076001,4320.03,589529.46,1
1.58,2.977616548,15.74789835,5426.99,762918.99,1
1.223333333,3.016331711,15.80458819,5420.95,1083330.58,0
1.4975,3.607578698,16.45076001,4320.03,589529.46,1
1.64,2.977616548,15.74789835,5426.99,762918.99,1
1.066666667,3.016331711,15.80458819,5420.95,1083330.58,0
1.895,2.623295278,15.39917584,9329.6,1492976.59,2
1.656666667,2.778061756,14.72956264,2940.94,424374.67,1
1.6,3.061676727,16.83861649,2759.31,391732.39,1
1.31,2.288574538,13.99293568,4458.14,739087.28,1
1.2075,3.943957246,16.40337541,7223.81,1026752.66,0
1.325,1.91720147,13.66144478,8956.75,1448202.96,1
1.955,3.248629719,15.6710047,10868.15,1515468.66,2
3.01,3.374076464,15.72111539,3126.25,430095.61,2
2.326666667,1.560594971,15.35378818,5749.1,1109941.17,2
2.015,2.309735594,14.7785379,7132.56,1021534.34,2
1.105,0.568419365,14.19299598,2702.11,500521.2,0
2.02,2.314448466,14.38057176,11113.79,1488887.99,2
2.556666667,0.647127941,13.68111164,6753.96,1090064.9,2
2.175,2.623295278,15.39917584,9329.6,1492976.59,2
1.64,3.607578698,16.45076001,4320.03,589529.46,1
1.783333333,2.977616548,15.74789835,5426.99,762918.99,2
1.41,3.016331711,15.80458819,5420.95,1083330.58,1
1.62,3.061676727,16.83861649,2759.31,391732.39,1
1.0925,3.943957246,16.40337541,7223.81,1026752.66,0
1.783333333,2.368443049,16.09306567,3957.57,766959.08,2
1.8375,3.248629719,15.6710047,10868.15,1515468.66,2
1.48,1.560594971,15.35378818,5749.1,1109941.17,1
1.65,3.061676727,16.83861649,2759.31,391732.39,1
1.1175,3.943957246,16.40337541,7223.81,1026752.66,0
1.636666667,2.368443049,16.09306567,3957.57,766959.08,1
1.945,3.248629719,15.6710047,10868.15,1515468.66,2
1.58,1.560594971,15.35378818,5749.1,1109941.17,1
1.786666667,3.061676727,16.83861649,2759.31,391732.39,2
1.3075,3.943957246,16.40337541,7223.81,1026752.66,1
2.185,3.248629719,15.6710047,10868.15,1515468.66,2
1.4575,4.032111034,16.06333101,7281.4,1039989.14,1
