Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class,avg,std,num stds
1.306666667,2.478549891,16.53869278,1942.04,448238.73,0,1.602,0.531074278,-0.556105511
0.79,2.551234811,16.17815293,2549.88,487735.95,0,1.602,0.531074278,-1.528976329
1.445,1.527801999,15.48000585,2589.89,508314.5,1,1.602,0.531074278,-0.295627197
1.36,3.662923851,16.45992748,2602.98,399860.42,1,1.602,0.531074278,-0.455680137
1.105,0.568419365,14.19299598,2702.11,500521.2,0,1.602,0.531074278,-0.93583896
2.036666667,2.222301678,14.34991278,3278.3,417278.53,2,1.602,0.531074278,0.818466803
1.31,1.776274836,15.11746058,3683.34,724654.24,0,1.602,0.531074278,-0.549828926
1.783333333,2.368443049,16.09306567,3957.57,766959.08,1,1.602,0.531074278,0.341446273
2.326666667,1.560594971,15.35378818,5749.1,1109941.17,2,1.602,0.531074278,1.364529778
2.556666667,0.647127941,13.68111164,6753.96,1090064.9,2,1.602,0.531074278,1.797614206
