Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class,avg,std,num stds
0.526666667,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-2.153698213
0.523333333,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-2.161450418
0.456666667,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-2.316494472
0.53,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-2.145946011
0.6,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-1.983149752
0.543333333,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-2.114937201
0.49,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-2.238972445
0.543333333,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-2.114937201
0.503333333,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-2.207963634
0.53,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-2.145946011
0.436666667,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-2.363007689
0.556666667,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-2.083928388
0.486666667,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-2.246724647
0.616666667,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-1.944388737
0.55,2.88299789,14.95657328,2064.15,419077.34,0,1.452725263,0.429985311,-2.099432794
1.283333333,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.393948178
1.213333333,2.96085018,15.52055799,2209.6,443157.71,0,1.452725263,0.429985311,-0.556744437
1.273333333,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.417204786
1.376666667,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.176886497
1.32,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.308673946
1.15,2.96085018,15.52055799,2209.6,443157.71,0,1.452725263,0.429985311,-0.704036289
1.203333333,2.96085018,15.52055799,2209.6,443157.71,0,1.452725263,0.429985311,-0.580001045
1.266666667,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.43270919
1.236666667,2.96085018,15.52055799,2209.6,443157.71,0,1.452725263,0.429985311,-0.502479015
1.266666667,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.43270919
1.25,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.471470205
1.31,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.331930554
1.283333333,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.393948178
1.333333333,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.277665135
1.303333333,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.347434961
1.2,2.96085018,15.52055799,2209.6,443157.71,0,1.452725263,0.429985311,-0.587753247
1.243333333,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.486974611
1.33,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.285417338
1.32,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.308673946
1.323333333,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.300921744
1.323333333,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.300921744
1.27,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.424956988
1.126666667,2.96085018,15.52055799,2209.6,443157.71,0,1.452725263,0.429985311,-0.758301708
1.266666667,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.43270919
1.2,2.96085018,15.52055799,2209.6,443157.71,0,1.452725263,0.429985311,-0.587753247
1.316666667,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.316426148
1.256666667,2.96085018,15.52055799,2209.6,443157.71,1,1.452725263,0.429985311,-0.455965798
1.295,1.420974834,13.38907371,2462.21,486945.56,1,1.452725263,0.429985311,-0.366815467
