,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Lancaster,41730,Legendairy XHD,41885,243,2.91,778,27,2965.4,824.0,23.79017857,18.87832738,17.60210576,0.12198907603977062,1
1,Wisconsin,Lexington,41730,54Q14,41890,246,8.11,130,1,4382.23,538.6,5.53,5.413101907035566,18.68590359,0.07,1
2,Kentucky,Lexington,4/5/2017,55Q27,41885,247,7.89,575,347,4823.96,766.5,5.53,3.547439819492845,17.75151343,0.22523309538644345,3
3,Kentucky,Marshfield,41133, AFX h134093* ,9/15/2017,242,1.98,1181,1,4823.96,824.0,5.53,18.87832738,23.46270566,0.2489242184412003,1
4,Wisconsin,Marshfield,8/9/2012, AFX h134092 ,9/18/2014,257,6.51,572,332,4727.38,833.3,5.53,5.995843180873674,10.92,0.7,1
5,Kentucky,Lexington,41365, AFX  095026* ,41885,224,6.81,438,328,4820.93,912.9,5.53,18.87832738,11.57743981,0.2662936452494524,3
6,Wisconsin,Lexington,8/9/2012, AFX h134091 ,42604,247,6.34,936,338,4774.65,443.8,5.53,4.767438551782883,17.18734961,0.07,2
7,Kentucky,Marshfield,8/9/2012,55V50,41919,251,2.16,480,1,4823.96,745.2,12.93774407,-0.53,22.28250778,0.27091056265768737,3
8,Wisconsin,Marshfield,40664,DKA41-18RR,9/16/2015,240,7.4,130,378,2678.97,765.4,7.07404875,5.5263080978764805,22.28630557,0.07,2
9,Wisconsin,Arlington,42095,msSunstra-145159*,9/13/2018,245,7.61,951,378,4823.96,615.0,5.53,3.9654169659148,10.92,0.25130202605612967,3
10,Kentucky,Marshfield,3/31/2015,FSG-426,41889,255,7.91,337,391,3016.37,584.4,10.41162495,17.035852824662513,10.92,0.42510055563391125,1
11,Kentucky,Arlington,41730,6472A,42243,266,6.56,130,370,4550.96,880.4,15.86769334,16.308983194081094,22.44410395,0.2604182080012103,1
12,Kentucky,Marshfield,41365,Hybriforce-3400,42251,246,10.6,434,354,4823.96,578.2,15.07626268,5.965275087595216,20.62324131,0.07259831998080779,2
13,Wisconsin,Lexington,8/9/2012,GA-ALFG-1,41890,243,7.08,1472,1,4678.92,757.4,18.4036066,14.423574439392768,19.32713395,0.08212532472437145,3
14,Kentucky,Lexington,41133,Evermore,41890,253,9.8,130,323,4823.96,811.2,15.71852947,1.1086998863289645,17.42035336,0.7,3
15,Kentucky,Lexington,41730,AFX h134093,42240,250,8.82,415,345,3160.36,772.8,22.11092471,0.30933749978308134,10.92,0.08043707488338017,1
16,Wisconsin,Arlington,41730,GA-ALFG-1,41885,258,7.47,254,368,4802.32,697.9,7.59874344,10.015080314149651,21.69415711,0.25834893062488007,1
17,Wisconsin,Marshfield,41133,55Q27,9/19/2016,243,4.82,131,341,4285.87,839.2,14.21669436,10.175485789914198,23.281543,0.07,1
18,Kentucky,Lexington,42095,5312,41890,259,7.14,137,360,4553.96,810.3,5.53,3.057736902807496,10.92,0.07161470517813143,2
19,Wisconsin,Marshfield,41133,ONEIDA VR,9/19/2016,249,2.77,452,1,1986.43,605.7,15.84087434,2.7315420208444534,25.07123982,0.07,3
20,Wisconsin,Marshfield,42095,CW 085028,9/15/2017,256,4.67,438,358,4153.56,897.5,18.78076882,1.6596394799229068,20.66578182,0.22876989315201612,2
21,Kentucky,Marshfield,41133,MS Sunstra 145154,9/15/2017,252,7.77,130,1,4674.35,848.8,5.53,3.363646621806913,10.92,0.07,1
22,Wisconsin,Arlington,41730,DG 4210,9/13/2018,234,5.07,867,1,4415.57,867.2,5.53,0.4689533501319316,18.95137177,0.2913516474330156,3
23,Wisconsin,Marshfield,4/5/2017,Contender,42251,224,1.48,1089,402,4639.94,865.2,16.79467738,13.846298305137276,10.92,0.2871704814616703,2
24,Kentucky,Marshfield,41730,AFX 095023,9/19/2016,241,5.67,130,355,4512.94,460.0,23.34361029,0.24693042224532014,18.63426449,0.27608407160705817,2
25,Wisconsin,Lexington,42095,Contender,41885,232,2.83,617,365,4543.02,602.2,5.53,18.705882174131887,24.07524038,0.2661042473256732,1
26,Wisconsin,Marshfield,41730,Phoenix,41885,254,7.14,130,359,4527.85,829.5,22.81750186,11.755252628169512,14.7383845,0.07,3
27,Wisconsin,Marshfield,42095,Nuton,42604,227,5.12,1007,352,3065.43,852.3,7.99331179,18.10636339534676,11.80029875,0.07,1
28,Wisconsin,Arlington,41730,GA-497HD,9/19/2016,248,5.78,130,339,4294.19,877.8,6.35561917,2.4398655526608097,10.99676545,0.6638617078209216,1
29,Kentucky,Lexington,41730,CW 085028,42604,251,7.97,130,1,4299.32,1043.2,18.75506202,2.537380039289766,12.61244344,0.24376356712788141,1
30,Kentucky,Lexington,8/9/2012,Ameristand 403T,9/19/2016,247,3.22,445,1,4516.65,912.4,5.53,10.700780902361796,21.80700303,0.2515828763853812,3
31,Wisconsin,Arlington,4/5/2017,FF42.A2,42240,250,10.6,697,57,2772.91,866.0,14.2600646,1.55130592236252,11.76903235,0.43240866065577716,2
