,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Lexington,41365,SW 4332,42604,266,4.98,1135,1,2579.94,307.9,8.44583691,10.409512767339786,10.92,0.07088007548359855,1
1,Kentucky,Lexington,4/12/2018,Evermore,42240,263,10.6,2225,372,4823.96,755.7,6.48909418,4.349561087275093,11.67327895,0.11999447270535298,2
2,Wisconsin,Marshfield,41730,DSD06-M*,41890,250,3.68,1230,331,4511.77,870.1,23.79017857,11.62623121746783,24.95330072,0.08813043667109212,1
3,Wisconsin,Marshfield,42095,MSSUNSTRA-D11*,42249,257,9.59,193,1,2937.16,890.9,21.19247368,12.028682182094954,28.69482886,0.09506623971307276,2
4,Kentucky,Arlington,42095,Saranac AR,9/17/2015,249,4.6,322,368,2990.52,812.3,23.79017857,11.384200501943056,10.92,0.2536568934381423,2
5,Wisconsin,Arlington,8/9/2012,AFX 095026,9/19/2016,265,1.28,469,306,4708.76,649.5,19.15601221,6.746747642989076,22.97839006,0.07,1
6,Kentucky,Arlington,41133,FSG 415BR,41890,247,10.12,1304,1,4264.12,1043.2,5.53,0.675522173029821,25.07763122,0.5042886522406201,2
7,Kentucky,Lexington,8/9/2012,Rebound 6XT,42240,268,10.6,1332,1,3211.02,180.4,19.80728721,14.989582256608223,10.92,0.4366712294387408,3
8,Kentucky,Lexington,4/5/2016,Caliber,9/14/2017,253,10.6,1125,1,3867.69,750.5,23.79017857,9.47715508835555,23.36227943,0.2747280469721807,1
9,Kentucky,Lexington,41730,Lancer,42604,249,8.06,850,8,3836.44,867.9,8.07118109,17.87433835688103,10.92,0.07794478078154372,1
10,Wisconsin,Marshfield,41133,Caliber,42251,250,6.16,130,319,4615.16,854.5,20.30143978,16.3821671296361,22.49498429,0.28519265047046877,3
11,Kentucky,Lexington,4/5/2017,Saranac AR,9/14/2017,269,10.6,577,1,4823.96,813.4,17.22967688,0.9353965434521804,24.35155586,0.07,2
12,Kentucky,Marshfield,41730,Saranac AR,42247,265,7.21,323,1,4765.71,823.7,23.74320239,-0.53,23.80420162,0.09838212341895329,1
13,Kentucky,Lexington,41730,Lancer,42251,263,4.79,587,4,3292.35,905.7,22.58745924,14.6711000870846,10.92,0.2680977405720137,2
14,Wisconsin,Marshfield,4/5/2017,Caliber,41885,247,9.02,1402,326,4762.62,183.3,16.0337746,17.846883725382753,12.93585532,0.07965218657727917,3
15,Kentucky,Lexington,41730,5312,9/18/2014,250,7.21,386,1,4785.6,710.8,15.51354409,9.498016999641983,10.92,0.23706480036957478,2
16,Kentucky,Arlington,41365,5312,8/12/2013,254,3.54,994,353,4435.04,902.8,11.58104309,9.445336373037334,23.61393846,0.2807423612877947,1
17,Wisconsin,Arlington,41133,X13-9202B*,42243,258,10.6,305,19,2420.82,767.7,21.09603874,12.984064910432133,23.29123345,0.2872286135205314,1
18,Kentucky,Lexington,41730,Evermore,9/19/2016,249,5.5,413,320,4181.76,913.7,19.39484346,0.17946280398755943,22.73035267,0.2418601450379146,3
