,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Lexington,40664,Mssunstra-B15,42251,253,3.35,232,36,4669.05,437.8,11.17479885,-0.53,10.92,0.27271043819078167,1
1,Wisconsin,Marshfield,4/5/2016,Contender,41890,242,4.12,975,394,4823.96,440.6,21.76391154,17.975780744262174,12.71900202,0.2318725919901101,2
2,Wisconsin,Arlington,4/12/2018,Caliber,42604,243,7.85,1500,56,3266.59,720.8,20.21338173,11.556381929125788,10.92,0.08409769726384397,2
3,Wisconsin,Lexington,4/5/2016,HybriForce 3400,42604,246,1.29,1604,343,3226.71,648.2,6.99197493,13.40732212645154,26.42036985,0.312265061401274,1
4,Wisconsin,Arlington,40664,Ameristand 403T,42605,250,1.58,180,41,3927.55,757.8,8.7738132,14.179113202162412,11.62841282,0.28431333877395626,2
5,Wisconsin,Arlington,4/5/2017,PGI 212,42605,257,7.61,1206,380,4582.51,339.4,16.19487416,2.388673305900381,10.92,0.3127502658284344,1
6,Wisconsin,Arlington,3/31/2015,FSG-426,42605,253,3.04,258,366,3447.67,793.2,15.34281841,11.157945639662977,21.0565725,0.2728300724454079,2
7,Kentucky,Lancaster,8/9/2012,Mariner IV,42240,241,1.19,130,29,2996.35,191.2,23.79017857,11.917154840881734,22.85773704,0.3242628604705123,1
8,Wisconsin,Marshfield,41365,SW 4351,42240,241,9.59,1587,1,2080.65,726.4,23.77071614,12.155995167383013,10.92,0.31686624939295643,1
9,Wisconsin,Arlington,41730,Legendairy XHD,42613,224,10.6,130,30,4327.21,1043.2,17.19374079,-0.53,23.01970486,0.07,1
10,Wisconsin,Lancaster,4/5/2016,VERNAL,42247,254,2.8,1305,1,3256.33,318.8,21.6683377,15.944124007544847,15.98406721,0.33264798447145716,1
11,Kentucky,Lexington,4/5/2016,Ameristand 427TQ,41886,246,6.25,130,1,3715.92,109.7,22.01717682,-0.53,29.25310714,0.08847490930225858,1
12,Wisconsin,Marshfield,41730,HYBRIFORCE-3400QR**,42613,240,8.88,195,354,4823.96,698.4,5.53,1.1636181538234096,20.44881921,0.34040696589560404,2
